Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9
INS,T,1,1,1.11253692925497e-308,0.129376438419931,0.00438729914371597,2.6191895433593e-05,0.00817136900980825,0.00487345819270223,0.00648018054976318,0.000404014822221622,0.000399761979931712
INS,T,1,2,0.000674409972843203,0.0968961031581827,0.00259345099722576,9.38730950383404e-05,0.0276046295743249,9.17715112946268e-14,0.000534839783019837,0,0.00038645027851304
INS,T,1,3,0.00108212499115233,0.0601850400755428,1.49888504457189e-255,0.00435434244036512,0.0185470976044952,0.000876114466800147,3.46294938934587e-28,1.86534792543232e-301,0.000770332983521865
INS,T,1,4,0.00349316049574027,0.019322990818286,1.2380665083006e-144,0.0169006904661588,0.0132443157119387,0.000300577686448669,6.05358610055425e-168,1.59275405965538e-163,0.00114089315077461
INS,T,1,5+,0.00316396591540255,1.51531221974586e-15,2.34643165110752e-131,0.899202238119553,8.98641472336466e-06,3.66027335672593e-05,0.00287012373620983,8.94732782326181e-81,4.40606900343486e-07
DEL,repeats,2,0,0.000106945640794319,4.57765244682357e-05,0,0.000171699492081995,0.0302203212905954,0.010282790059812,0.0163104510471565,0.0747021276546239,0.00120411299515729
DEL,repeats,2,1,0.00330800936256841,0.00886130940612344,0.00520778099257204,2.80051834068163e-05,0.0173792579761518,0.0126487455694735,0.00495286630771719,0.241704985891256,0.00154308382236057
DEL,repeats,2,2,0.00183010071546727,0.0131421458876758,0.00290792207187499,2.60546984079171e-12,0.00289413696019387,1.11253693082507e-308,0.00150585944820841,0.0576828495162901,0.00185667649329237
DEL,repeats,2,3,0.000772985816630518,0.0073199980100073,0.000545594427585535,0.000113499823393504,0,0,0,0.0127097141781997,9.69423371795333e-05
DEL,repeats,2,4,0.000865880698669005,0.0041517037224595,0,0,0.000557572234777947,0,0,0.00291727794257116,0
DEL,repeats,2,5+,0,0.00253767616406389,0,0,0.0287336627507438,0,0,0,0
DEL,repeats,3,0,1.31736514930714e-05,1.96553427022056e-05,0.00112762150506953,7.50989005795248e-05,0.0195948158515802,0.0136582309168774,0.00253879888307213,0.00436213787515215,0.000937276029101159
DEL,repeats,3,1,0.00488339804234103,5.80510448521803e-299,0.00341247007000498,0.00465598157411386,0.00257263492253554,0.00128716752308607,0.00187686590104257,0.100746004053334,0.00536608662170499
DEL,repeats,3,2,0.00235988327806914,0,0.00103251412963573,0.000396912492110736,0.00018203742737829,0,0,0.0219380919750027,0.000637785089687974
DEL,repeats,3,3,0.000454169812279395,0,0.000538242832850817,0.000111194996564877,4.57277437883376e-05,0,0,0.00450367150731913,0
DEL,repeats,3,4,0,0.00038954642159202,0,0,0.00772152609542219,0,0,0,0
DEL,repeats,3,5+,0,0.000757039418866706,0,0,0.0112646358890608,0,0,0,0
DEL,repeats,4,0,8.88168562047478e-06,3.44280448148865e-94,0,2.82883809601403e-05,0.0122942911071132,0.00808283394166646,0.000878623510716498,0.00749310105699434,0.00247565749722126
DEL,repeats,4,1,0.00207598051628581,2.38426012642825e-250,0,0.000479256144191767,0.000207311765707324,0.00197649176643632,0.0027210063393811,0.0662103192002385,0.00283145692835278
DEL,repeats,4,2,0.000481293964355554,0,0.000463153888489917,0,0,0,0,0.011385462812028,0.000208013489306996
DEL,repeats,4,3,5.02451673902539e-07,0,0,0,0.00496026212604582,0,0,0.00335921303120576,0
DEL,repeats,4,4,0,6.036948306856e-05,0,0,0.00615896274926241,0,0,0,0
DEL,repeats,4,5+,0.000202974958955351,0,0,0,0.00154570350965242,0,0,7.28819104795554e-05,0
DEL,repeats,5+,0,2.04764116833478e-05,0.000932742977911266,6.62679875907109e-66,0,0.0148167161315763,0.290994878084394,1.08687185367813e-56,0.00200270994630891,0.020105372802463
DEL,repeats,5+,1,0.00298820864306231,0,0.000626962145380188,2.16788150075419e-187,7.69716994709348e-85,0,0,0.0131554447867194,0.00752319434200066
DEL,repeats,5+,2,0.000411397579005499,0,0,3.36037222604067e-303,2.38190144014907e-87,0,0,0.00217056981112459,0.000216294164372583
DEL,repeats,5+,3,0.000144225042700992,0,0,0,0,0,0,0.00049194277807769,0
DEL,repeats,5+,4,7.44615146657987e-05,0,0,0,0,0,0,2.95277798072082e-05,0
DEL,repeats,5+,5+,2.56859378268232e-05,0,3.9074995571971e-05,1.98934138054641e-06,0.000131766289463684,0,0,2.79433946076255e-05,0
INS,repeats,2,0,0.00034992613960448,0.00226666374355794,0.0367546622125343,0.000289443341388882,0.00877569284166714,0.00156569775912892,0.00112576428008567,4.01389387438238e-131,0.00203298758520512
INS,repeats,2,1,0.000263253135225799,0.00304728258567703,0,0,0.0218290880725594,0.00123111723992314,0.00162663303963619,0,7.49533661226953e-146
INS,repeats,2,2,0.00106560092849822,0.00182537979900177,0.00214951159597794,7.70041768271495e-05,0.00865707877530289,0,0,0,0.000640841679397482
INS,repeats,2,3,0.000426013178321883,0.00123679457132605,0.00123578579015693,0.000297045230415139,0.0012368993483058,0,0,1.26456012632629e-253,0.000288429362758901
INS,repeats,2,4,0.00200161936235364,3.78223090742704e-281,0.00298090798378799,0.00278504588849568,0,0,0,0,0
INS,repeats,2,5+,0.013677728050637,0,0,0.0180951104888545,0.00109834401377288,0.00132520197639492,1.74236117113175e-179,3.17257489284358e-24,0.000425687655325324
INS,repeats,3,0,5.48977176124598e-05,0.000124031544864435,0.0105771168096909,0,0.00490632059264663,0,0,0,0.00127331659683229
INS,repeats,3,1,0.00125593825078624,0.000624113959030199,0.00467819607065264,0.000135045315318103,0.00815019960434525,2.56067615787773e-153,1.23385064522465e-221,0,0.000127282990098585
INS,repeats,3,2,0.000208755508032058,2.07770154910358e-05,0.000290409248711505,1.78709519089389e-258,0.00079998349072669,0,0,0.000330047185572317,0.000586909479388232
INS,repeats,3,3,1.90270253997982e-05,0,0.000273870231689934,6.86435728677233e-05,0,0,0,0,3.66160700620933e-06
INS,repeats,3,4,0.000150664984679153,0,0.00063358411683278,1.85378413411728e-06,0,0,0,0,0
INS,repeats,3,5+,0.00200114662937972,0,0.00290254025175752,0.000756049695425411,0,0,0,0,0
INS,repeats,4,0,1.31332587800816e-05,0,0.00953768727116588,0,0.00324118383232315,0,0,0,0.00150598485033401
INS,repeats,4,1,0.00120792409613699,0.000435578345952496,0.0025879987535998,0.000714796907363407,0.00470252255568677,0.000962075081959257,1.29545324280887e-165,0.00119325155870472,0.0005119565543549
INS,repeats,4,2,2.08501341450327e-05,0,0,3.17167421382544e-05,6.22366237359863e-06,0,0,6.54863229510005e-05,0.000231612301545535
INS,repeats,4,3,0.00015872860783617,0,0.00111707863179588,2.11773307892114e-05,0,0,0,0,3.42281662723861e-06
INS,repeats,4,4,0.000298484404147339,0,0.00248545000246412,6.36539608382993e-05,0,0,0,2.71244191826263e-05,0
INS,repeats,4,5+,0.00224245313367731,0,1.30465040690549e-19,0.000884649622934765,0.000584300935414212,0.000337593786618366,0,2.78324628295984e-104,0
INS,repeats,5+,0,0,8.30445649219506e-05,0.0050492260973288,0,0.00578107301071442,0,0,0,0.00857023063308818
INS,repeats,5+,1,0.00012217318371754,0.00048573110871838,0.0457559774213931,0.00150665036458586,0.00750174513673716,0.0105381341047261,0.000522495777159208,0.00209667059131211,0.00557873502199807
INS,repeats,5+,2,2.73358794941719e-05,0,0.000803691498953006,0.000130284703306028,0,0,0,7.73012215224553e-05,0.00109554899037957
INS,repeats,5+,3,0.000131233462192033,0,0,6.16183311304105e-05,0,0,0,0,0
INS,repeats,5+,4,2.57855581629681e-05,0,3.41847160113869e-05,0.00011620509944579,0,0,0,0,0
INS,repeats,5+,5+,0.000136996097201849,0,0,1.71048813710432e-05,0.00018210821884665,0,0,7.3677808022904e-05,0
DEL,MH,2,1,5.03456262574376e-60,0.00601125890921384,0.00080292100512216,2.65105423890273e-12,0.0249557556819344,0.00625376940761935,0.0056623675389926,0.200586149479737,1.86521377119743e-293
DEL,MH,3,1,0,1.40088763427977e-197,0.00199014791111211,1.83053295291676e-05,0.0147666078651156,0.0114849989084293,0.00229893122867826,0.00677500074710095,0.000902503842598234
DEL,MH,3,2,0.00287561698519831,0.000435065991500323,0.00314689043570217,0.00128782009249944,0.00784559605216955,0.00501508225919747,0.000777905406275541,0.0525954429448711,0.00457847086974001
DEL,MH,4,1,0.000133821758937194,3.558991359729e-267,0,1.2836868966242e-174,0.00961461292263227,0.00690071928729417,0.00102065425152352,0.011478858137955,0.00296361223872081
DEL,MH,4,2,0.000495537368698336,0,0.000738268847950024,0,0.00546898548211803,7.64704902777498e-42,0.00209627476665914,0.0316032509097227,0.00945366904608004
DEL,MH,4,3,0.000595013048834859,0.000107128143473952,0.00234480675103861,0,0.00179783251963282,0.000465888876344492,0.000775394797841594,0.0518791702166231,0.00513322226138093
DEL,MH,5+,1,0.000582564041256912,0,2.09043326632892e-239,1.77482028830302e-229,1.41736950025391e-143,0.335250450898348,7.13606659324887e-226,0,0.0751994875595863
DEL,MH,5+,2,4.13905940159055e-05,4.57550436084684e-156,0.0020914411689508,2.69678269641216e-239,0.000550425973711074,0.116962430385724,2.52029296705078e-118,0,0.269467136549125
DEL,MH,5+,3,8.94703511939906e-269,3.7809807650951e-193,0.00056847955032177,0,0.00302489464572124,0.0266547131313711,1.28707265258301e-172,7.01813314977208e-199,0.230548302104631
DEL,MH,5+,4,0.000417388760534787,1.00717424417502e-163,0,5.94667070121909e-246,7.33721547986568e-93,0.00311405369534656,4.24096583441647e-195,0.00311779285011029,0.128559077138854
DEL,MH,5+,5+,0.00237163170493317,0,0.000875377780336293,0.00055442187268804,0.000735855727085105,1.47889402855003e-28,0,2.8680829214756e-05,0.107389869751572
