Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.374),ID83D (False Positive) (ID5 0.884),ID83E (ID8 0.99),ID83F (ID3 0.978),ID83G (ID6 0.998),ID83H (ID9 0.993),ID83I (ID13 0.99),ID83J (ID4 0.991),ID83K (ID14 0.982)
INS,repeats,4,1,0.00064459,0.00037655,0.00729561,0.00395023,0.00064915,1.158e-05,0.00066936,0.00095045,0.00516832,0.00150096,0.00186724
INS,repeats,4,2,2.5e-06,4.054e-05,0.00010716,0.00043243,0.00013284,0.00011312,0.00044767,3.01e-05,0.00015528,3.897e-05,6.138e-05
INS,repeats,4,3,0.00025158,5.48e-05,0.00021743,1.06e-06,1.4e-06,1.49e-06,0.00039966,2.05e-06,0,7.947e-05,0.00080617
INS,repeats,4,4,0.00010906,0.0003399,0.00095641,1.79e-06,0.00010673,7.7e-07,2.62e-06,0.00017431,2.41e-05,0.0002621,0.00143832
INS,repeats,4,5+,0.00153258,0.00052792,0.00893923,0.00065009,0.00092633,7.3e-07,2.974e-05,9.3e-07,0.00075099,5.73e-05,0.00015462
INS,repeats,5+,0,0,2e-08,8.66e-05,0.00493739,1.47e-05,0.00013535,0.00882812,0,0.00444555,4.845e-05,0.0028129
INS,repeats,5+,1,1.546e-05,0.00163219,0.00188933,0.0018774,0.01128382,0.00037793,0.00574497,0.00103807,0.01534408,0.00216561,0.02527043
INS,repeats,5+,2,5.98e-06,0.00020763,0.00040165,0.00034501,1.313e-05,9.98e-06,0.00134653,5.53e-06,0.0002904,3.425e-05,0.00050863
INS,repeats,5+,3,5.288e-05,0.00019668,0.00077998,0.00024575,3.718e-05,5.356e-05,5.803e-05,0.00013567,5.69e-06,6.21e-06,9.526e-05
INS,repeats,5+,4,6.5e-06,0.00019582,0.00029956,0.00024552,2.132e-05,1.099e-05,2.912e-05,0.00011162,1.486e-05,0,1.686e-05
INS,repeats,5+,5+,4.021e-05,0.00015523,0.00060894,0.00079712,0.00039237,4.609e-05,8e-07,4.78e-06,0.00026861,0,0
DEL,MH,2,1,4.75e-06,9.26e-06,0.00046472,0.02604823,6.916e-05,0.00950949,0,0.00010557,0.01303806,0.21356305,0.00124857
DEL,MH,3,1,1.04e-06,3.75e-06,0.00038286,0.01492441,0.01190544,0.00118828,0.00088799,0.00131852,0.00946088,0.00636977,0.00125124
DEL,MH,3,2,0.00143787,0.00081295,0.01510572,0.0100908,0.00307874,0.00049452,0.00384227,0.00026596,0.00176178,0.0432406,0.00340062
DEL,MH,4,1,2.137e-05,2.105e-05,0.00064483,0.01163301,0.00541606,0.0001113,0.00251966,0.00194539,0.00342213,0.01285059,0
DEL,MH,4,2,0.00046874,2.934e-05,0.0009105,0.00664198,0.00072994,0.00017275,0.00962766,0.00151107,0.00105653,0.03186652,0.00051974
DEL,MH,4,3,0.0003766,0,0.00167217,0.00203182,8.254e-05,0,0.00487928,0.00110904,0.00015644,0.04971988,0.00131108
DEL,MH,5+,1,0.00055701,0,0.00010448,0.00027407,0.35186681,0.00012728,0.06659838,5.262e-05,0.00148162,0.00029889,0.0015576
DEL,MH,5+,2,1e-08,2e-08,1e-08,0.00167742,0.11833472,0.00112501,0.27138346,9.23e-06,0.00377792,5.16e-06,0.0014578
DEL,MH,5+,3,0,1e-08,1.1e-07,0.00485522,0.02114028,0.00050993,0.24491188,1.383e-05,0.00036414,0.00035068,2.336e-05
DEL,MH,5+,4,0.00036845,0,0.00034718,0.00063919,0.0001937,0.00101971,0.13899171,2.04e-06,2.998e-05,0.00344459,0
DEL,MH,5+,5+,0.00206161,0.0002005,0.00471748,0,0.00030664,0,0.11263884,0,0.00598783,0.00031039,0.00072043
