Type,Subtype,Indel_size,Repeat_MH_size,W.1 (False Positive) (ID5 0.723),W.2 (ID1 1),W.3 (False Positive) (ID5 0.489),W.4 (ID4 0.997),W.5 (False Positive) (ID14 0.887),W.6 (False Positive) (ID5 0.391),W.7 (ID8 0.982),W.8 (False Positive) (ID9 0.898),W.9 (False Positive) (ID5 0.333),W.10 (ID6 0.99),W.11 (ID13 0.978),W.12 (ID3 0.975),W.13 (False Positive) (ID5 0.254),W.14 (ID2 0.999),W.15 (ID11 0.998)
DEL,T,1,4,1.39878392229671e-22,2.56832396814277e-35,3.10771095163793e-182,1.23582797372609e-163,6.95181595160116e-279,1.44292830746864e-84,1.36519739033261e-125,6.11586052544816e-90,1.64257788224722e-68,1.93931634878973e-55,7.96595106905736e-73,8.11658970744131e-51,0.905207073811003,0.0283566529912598,0
DEL,T,1,5+,0.00217531790454784,8.87087033799137e-44,2.9438156724033e-189,6.26757966148089e-173,1.11140625229503e-275,1.37660568913022e-104,4.79032898175238e-47,5.40213613462869e-121,1.29948993120948e-24,4.61583079029934e-76,1.35301141465319e-72,4.2645292342334e-07,2.66240601684143e-70,0.886355918199974,1.83326135007633e-141
INS,C,1,0,0,0,0,0,0.737456252453954,0,0,0,0,0,0,0,0,0,0
INS,C,1,1,0,0,0,0,0.0224235940066201,0,0,0,0.00103663001697756,0.0012141365991481,0,0,0,0.000185439121737223,0.168101682402087
INS,C,1,2,0.00394961512870622,0,0,0,0.00025822560557083,1.09043778826407e-233,8.05524199021427e-05,0,3.45732427103001e-05,0,0.000565994487697249,0.000829087656911068,1.35800534448293e-291,1.44053173249148e-05,0.10071545199794
INS,C,1,3,0,0.000700395746469526,0,0.000250576205768666,0.00174357452843146,0,0,0,0.00474003743210225,0,0,0.0067232460915461,2.37290454437158e-258,0.000272552750491307,0.0380688065325567
INS,C,1,4,0,0.00161508760444865,0,0,0.0022588426011965,0,4.45882033419485e-05,0,0.0211222344575738,0.000236101321016923,0,0.00644406463790101,0.00311106823582659,0.00160429175775852,0.0102251548079425
INS,C,1,5+,0,0.0209918764899224,0,0,0,0,0,0,0.126593205440622,0,0,0.00665307819546834,3.87915153621087e-161,0.00636351773677038,0
INS,T,1,0,6.47690016435753e-205,0.00217922438411169,2.55487223878732e-305,0.000928421112783852,0.0447801747631375,1.341610731801e-110,0.00188264905150696,0.0170458713436178,0.0132679603224899,0.00703352540523259,0.0425496735306143,0.021286007207081,1.69260577825368e-99,0.00079893134590412,0.000295230631504778
INS,T,1,1,0.0136104626005726,0,0,6.35649411545832e-174,0,0,0.00196021122304051,0.00858851125493321,0,9.31837543257524e-273,1.67756009294441e-09,0.0516156149429906,0,0,0.319044259426898
INS,T,1,2,0.0519476727660804,3.17794157667287e-05,0,0,0.001456984960095,3.32465519638034e-186,0,0,0.00229982398574768,0,4.68793619751119e-49,0.0447251296642818,0.0058617313923764,0.000410632523673002,0.17061812569611
INS,T,1,3,0.0294252152677603,0.00356494865604037,1.34868779353087e-100,1.98241245154126e-177,0,6.47575344541784e-101,0,0,0.0110459262867964,0.00012616746750167,0.00829272464486243,0.0289360409032898,1.73511928967668e-151,0.000709020447482379,0.120824480918755
INS,T,1,4,0.0148807551560306,0.0147797591320089,2.10044374263619e-217,0.000254424411398903,0.00315558067996678,2.29586782582268e-99,7.31855536491897e-87,4.80662158413209e-260,0.0457727038816107,0.000815088718818427,0.019015907444123,0.00752032169568057,6.50593460051236e-223,0.00186864179445249,0.0580411718232045
INS,T,1,5+,1.16549309577545e-21,0.922321162865271,3.10603370996707e-169,1.00184980285861e-84,1.06060759034187e-244,6.61937283716213e-86,6.66281221503226e-23,3.69356742602025e-63,8.23835942214552e-41,5.64736880836115e-32,2.69840247897967e-65,1.08126785795929e-36,1.43681458792502e-62,0.00189148925405689,1.62340018374968e-177
DEL,repeats,2,0,0.0453702220588707,0.000189159133730876,8.82171581041004e-09,0.0747313422681679,0,4.11803727313055e-16,0.00706675613315765,0.0164528142044337,0.000507187925764305,0.000747298379124608,0.0291544858623244,0.00653989242008597,2.70805659716703e-190,6.8598005211979e-05,0
DEL,repeats,2,1,0.0290544022367948,0.000469653275476424,2.70068377148916e-202,0.237755764992968,0.00494906618291275,8.0721709160058e-143,0.00645837776226272,1.79549953267343e-191,0.0245426212827883,0.000790232083305255,0.00493183406799946,0.00899061126130336,0.00191314551803489,0.00178886242531317,0.00085277244099774
DEL,repeats,2,2,0.00171121375834438,0.00028587356948417,2.17308957239257e-295,0.0529168614503416,0.00425517299067378,2.39192120467234e-168,0,0,0.00923997531172316,0.00163515471606893,0.002645316111314,0.0146539547366929,7.64953627599296e-110,0.00138799217535153,0.000574430369894635
DEL,repeats,2,3,0,0.000296707595337706,0,0.00986687378461864,0.000229432252982912,0,0,0,0.00534103493155651,0.000207990553639295,0,0.00770510009894453,0,0.000478966555567675,0
DEL,repeats,2,4,0.00130252647770943,8.71484926651279e-44,1.62647797401885e-181,0.00335177175956261,2.63638187857864e-05,5.8540174748098e-296,7.01150652638002e-61,0.000102006355196757,0.00789985985071171,0.000251750944445905,0,0.00311758172743425,1.19414938158705e-23,0.000500942671732041,0
DEL,repeats,2,5+,0.0539326491980478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00377811691595706
DEL,repeats,3,0,0.0345942748546558,9.13865955416825e-05,4.83272681047399e-63,0.00433650442397173,0.00142356564436305,0.000264085492309118,0.0131267430515883,0.00301526304615637,0,0.000680347388281351,0.00574806219877066,0.000599387319977032,0,2.13929737420691e-06,0.000485944439619011
DEL,repeats,3,1,0.00252571167883668,0.00358021567861945,9.96667075588859e-102,0.105361015144043,0.00409881252419095,9.76815942847473e-49,1.00413040876572e-206,0.000325613262473431,0.0383341054451471,0.00499959706078532,0.000672017531781753,3.63370448059492e-223,4.23692828951456e-90,0.00375898834414976,1.21408085677059e-268
DEL,repeats,3,2,1.66880539547479e-308,0.000331459667294794,3.90641437569881e-273,0.0191058802309814,0.00187809637366411,1.39943405260309e-200,0.000183657649593277,2.78347534605495e-192,0.0140922907226264,0.000348809092797967,0.000144311545013792,0,0.00367724284275692,0.00166333050223086,1.16268591833817e-05
DEL,repeats,3,3,0.00122544893228051,0.000252579728196542,0,0.00448120436469117,0.000615091808292191,0,0.000175456504942351,0,0.00236225433486747,0,0,7.82764116028363e-253,1.46270351836961e-42,0.000327871379724613,5.03478050600313e-05
DEL,repeats,3,4,0.0144702603044839,0,0,0.00017950431344433,0,0,0,0,0,0,0,0,0,0,0.00104371831956803
DEL,repeats,3,5+,0.0204631130676879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817020940267997
DEL,repeats,4,0,0.0212677961948811,1.73905968693907e-05,0.00576174928857635,0.00860933427491918,0,0.000300309395881046,0.00827711725843573,0.00149048698076204,1.96854092210652e-301,0.00146283148883665,0.0024435207792733,0.000236822373149504,0,4.20412611504981e-07,1.21638060126324e-05
DEL,repeats,4,1,1.50513550382388e-144,0.000334102565896226,0,0.0684409174942905,3.41543370193398e-235,1.77120387149174e-211,1.29261098973354e-08,0.0017773680029799,0.0125067098155809,0.00252026607120641,0,4.72022975189287e-07,0.0040751793833048,0.00140589919100368,0.000366383804893176
DEL,repeats,4,2,0,0,0,0.0122688050093416,0.000438295507460574,0,0,0.000117741288411926,0.00376023212463066,0.000531628888759654,0,0,5.1738512254893e-183,0.000326941056693633,7.11874376260534e-231
DEL,repeats,4,3,0.00862602962767971,0,0,0.00373303351325849,0.000132407667894255,0,0,0,1.08191386367236e-05,0.000204256095470922,0,0,0,2.26386515715491e-06,0.000135658490974781
DEL,repeats,4,4,0.0109105912657163,0,0,0.000470759850983757,0,0,0.000211033300207412,0,0,0,0,0,0,0,0.000720260468554304
DEL,repeats,4,5+,0.00421174492569948,1.61986516502771e-06,0,0.000118633265825854,0,0,0,0,0.00214690948988105,0,0,0,0,0.000137377886700868,6.14048104003072e-05
DEL,repeats,5+,0,0.0173471078084123,0,3.57969315164544e-266,0.0012515930960012,0.00250043750485686,2.28016115090593e-281,0.332026117030805,1.57602204982451e-189,0,6.44631410649541e-40,0.0102523178962158,0.00167997340529022,0,0,0
DEL,repeats,5+,1,0,5.3704477694123e-145,0,0.00978715207585191,0,0,0,0,0.019314211944359,0.00847435933844631,0.00101109943703292,0,0,0.0022272563896239,0.000126542505148575
DEL,repeats,5+,2,0.000699198877096617,6.49989010983851e-05,2.15805973863097e-146,0.00309960728552135,0.000114297043479969,3.08538080964865e-237,0.000449771512274263,0,0.00291049447254944,0.000493481090485755,0,0,0.000576298936524888,0.000236918958849354,0
DEL,repeats,5+,3,0.000512751811244598,2.3437782606301e-05,0,0.00145738370251879,0.000116113310706037,9.8435444235278e-272,0,0,0.000798940426928556,0.000113166868933576,2.70911263805942e-219,0,5.65285077634074e-32,9.74609030430838e-05,1.27066819663975e-05
DEL,repeats,5+,4,0.000144342814569646,9.16517580404188e-165,0,0,0,0,7.60035435083783e-05,0,0.000592366512549942,7.55392490265952e-05,3.87467961801878e-05,3.57518803226956e-05,5.88216452920144e-88,5.80792271540034e-05,0
DEL,repeats,5+,5+,0.00144103194018926,6.24708974071042e-06,6.93522911902351e-276,0.000376654953288249,0.000117367232980217,0.000187550109856847,0,4.37207249481036e-05,0.000321719935803825,4.39778315676161e-05,0,0,0,1.07954761518889e-05,3.61906595429534e-05
INS,repeats,2,0,0.0112724698929458,0.000344192148787195,2.68131247232788e-161,0,0.0336580711429899,5.33721711766158e-174,0.00187375280587537,8.31786730042925e-05,0.00343394111803226,0.00228325999655907,0.0119309851374484,0.0030701603902619,1.8140386354481e-20,0.000198919065408562,0
INS,repeats,2,1,0.0394712542403027,0,6.17660827903978e-52,0,0,1.58141871729091e-140,0.00177311826984659,0.00281339517425673,0.00103217116140587,0,0.00237167129812899,0.00269407117008912,0.000558412993379963,0.000208444291504749,0
INS,repeats,2,2,0.0139301485135992,4.0871624386512e-06,3.92463191226882e-124,0.000177178968572783,0.00105757651516964,0.00270916422565671,2.19143476688605e-31,6.15236572403214e-215,0.00787125720168231,0.00067660745889076,0.000209671630040828,0.00104768721627069,0.00212698818443575,0.000717107777892837,4.28892502391054e-05
INS,repeats,2,3,0.00157129261117492,0.000554903415051777,0.00154561927017684,0,0.00162661563129153,0.00151835276814593,2.46104168525875e-52,1.90875422688412e-155,0.00264869547730953,0.000488082191214018,0.000323140312061879,0.00144387491625569,2.41974130661155e-80,0.000277660132139871,0.000162158280860358
INS,repeats,2,4,0,0.00207313759065893,0,1.72868369516686e-05,0.00265217278118214,0,0,1.66880539425875e-308,0.0227451392154861,2.91608782167156e-196,0,0.000168082502521687,2.61734766998393e-62,0.00144161139242577,0.000331118113866302
INS,repeats,2,5+,0.000469321373959502,0.0145190477163122,1.40514544777981e-168,0,0,1.33153871133963e-191,0.000575217604088839,1.23779166879824e-240,0.130541919440875,0.000276028172056098,1.37125319093475e-100,0,2.58855768039723e-188,0.00793002025556797,0
INS,repeats,3,0,0.0080725757835327,6.42007677996602e-06,3.0924269563793e-128,0,0.0105948723226205,5.30021554980557e-212,0.000757721484270821,0,0.000496258517036532,0.000974208554984124,0.000195365002896866,0.000273339348198948,0,2.91863587322711e-05,0
INS,repeats,3,1,0.0104772493998297,0.000194350227101325,3.84290485974808e-148,7.05514440274683e-05,0.00320818194053661,0.00488542455321885,0.000537801802173347,0.00036604202568542,0.00500993574321978,3.26601716478832e-05,0.00481319102858366,6.79727652904796e-29,7.17945878379462e-125,0.000899124711121693,1.31398055497751e-05
INS,repeats,3,2,0.00218203325048687,3.67729813493415e-06,0,0.00086865592812477,6.45257688920378e-05,0.000287449533929989,6.27933736807468e-05,1.50174559702676e-175,0.00170794193077179,0.000927854976597378,0.000584143067388127,1.98879090144801e-100,0,0.000170198175173581,0
INS,repeats,3,3,2.30941626199528e-05,0.000173527684623406,0,0,0.000727957976238678,0,0,0,0.000245183718523252,0.000317606788387953,0,0,0,0,0.000118581616745451
INS,repeats,3,4,1.19704229583502e-181,9.35728737391119e-05,0.000133245724688108,0.000174883017316716,0.000722495459041149,1.6688053938804e-308,7.15109993814466e-05,0,0.00116222934553086,0.00022955615791233,0,2.42848933883857e-05,5.95557971241786e-193,5.80104024208098e-05,4.40532835872957e-05
INS,repeats,3,5+,0,0.00106593668972914,0,0,0.00266383297830767,0,0,0,0.011832803241523,0,0,0,0,0.00143798785070212,5.3102964784227e-139
INS,repeats,4,0,0.00518373472929623,0,4.27903363454965e-17,0,0.00913936538509944,1.02160987460614e-261,0.000622392850292755,0.000142948457638103,7.4328443204961e-05,0.00165908463281671,0.000809152252548154,0,0,8.13436658968474e-06,6.08953668822669e-05
INS,repeats,4,1,0.00714481869835891,0.00051114462415426,9.90609835969303e-35,0.000916432132662263,0.000895666317175754,4.24390259607624e-85,0.000751908218936497,0.00156807311131565,0.00781824295892958,0.000527163128967458,0.00351723874669177,0,0.000379469577138858,0.000939080057371697,0.000340939864667289
INS,repeats,4,2,0.000889668778429455,5.98850893732527e-05,7.97151459314927e-05,0.000277461722141897,0,1.46194804342835e-34,3.24283652282511e-05,0,0.000135486065266278,0.000519858164972459,0.000112483396319886,5.01347417062713e-77,1.03623681321091e-186,1.15270639869365e-05,2.63196362326709e-05
INS,repeats,4,3,0,9.07070336943098e-05,0.00013937216399305,7.4049394324329e-05,0.000896879990037705,0,0,0.000151479672981729,0.00125214577639679,0.000355457359275328,0,5.34642725471413e-05,8.73723625200207e-109,9.07244283340746e-05,0
INS,repeats,4,4,0,0.000224551505006767,0,0.000323062787511079,0.00239042300104855,0,0.00014844651556882,0,0.00311783362885194,4.2048390038317e-05,0,0,4.31787604408163e-286,0.000142457016257966,0
INS,repeats,4,5+,0.00134829361611948,0.000606624394673181,0,8.10734893490312e-05,0.000169638375075901,1.44594164983116e-186,0.000541455357633137,0,0.0155132464440042,0.000190591922835723,0,0,3.50976347577566e-260,0.00183905290063162,0
INS,repeats,5+,0,0.0096329253970887,0,0,0,0.00384145319083508,0,0,0,0,0.0093940535843158,0.00247685071275038,0.000143643648216716,0,0,0.000836027237906192
INS,repeats,5+,1,0.00793760227511688,0.0014717252245381,0,0.00221745589275705,0.0479274092782946,9.43926517727894e-220,0.0106276958871718,0.00169520274367635,0.00135531879577032,0.0065546974772781,0.0140351612021886,2.78958992244235e-272,0.00157416154828181,3.79589495825355e-05,0.000843839019597465
INS,repeats,5+,2,0.00049400687218964,0.000192125471914133,0.000833614652742387,0.000159166211921101,0.00101832862233019,4.74455463824257e-05,5.0014053942332e-295,2.68997667144303e-43,0.000408372011957135,0.00130389152037253,0,4.77658683451581e-05,6.8268852112137e-110,0,0.000811547688206768
INS,repeats,5+,3,0.000295568234678682,0.000206835556127828,0,0,0,0.000152823557662565,4.33533339412786e-134,0,0.000851096944970794,0,0,2.24941768036407e-05,0.000352995315644179,6.3340502686561e-05,0
INS,repeats,5+,4,0.000351386730191028,0.000201998739691177,4.02862942041755e-220,6.08763914894795e-05,0.000465259263117879,0,1.47673219840501e-05,0,0.000505214800030273,6.20288460346166e-06,0,0,0,0,0.000119667628164587
INS,repeats,5+,5+,0.00118422447734358,5.750236711464e-05,0,1.76263205471358e-05,0.000282786920685847,0,0.000281371103453185,3.54223431214049e-05,0.00136382123809832,5.28075502663059e-05,0,2.86931343337186e-308,0,6.97551525173407e-05,3.77252875769704e-05
DEL,MH,2,1,0.0423086811129408,5.55767102022419e-258,1.41730366009711e-218,0.21426540348386,0,5.740601635679e-108,2.08457974644142e-242,1.46591784316224e-169,1.88572915003784e-308,0,0.0114571668058166,0.00725063318955556,1.47480346168605e-200,1.34725707778038e-05,0
DEL,MH,3,1,0.0264272730963942,2.65877045469709e-05,1.83627598176738e-204,0.00697945280707703,0.00123871200870295,0,0.0120764499428536,0.00496258809050451,0,0.000343586768162951,4.52939793986401e-170,8.13594570003844e-05,0,0,0
DEL,MH,3,2,0.0134507813197298,0.000868496321666276,6.52358415526827e-153,0.0590599719771228,0.00343384215282345,2.86453558608936e-169,0.00253497119724787,2.1785263438786e-51,0.0184155825844905,0.00459522351583,0.000565862758756889,0.000174360485333872,0.00172151289201876,0.0018892702585977,0.000687199899228544
DEL,MH,4,1,0.0159223312064634,0,0.00854654374243752,0.0115560975898957,0,0.000304659814833577,0.00678972106309841,0.00124422253718194,0.00015484390402962,0.00248649057023276,0.00140521509418555,0,0.00144005583001998,8.39179140865361e-05,0
DEL,MH,4,2,0.00839672684259797,1.66881105946973e-308,0.0118857991887386,0.0331997581771345,0.000683596404378202,0.00066366938087631,0.000138244178952516,0.000257632695019507,0.00203000270805492,0.00959227312920532,1.08132108044891e-304,9.23102433828901e-116,0.00491425512694679,0.000275843501716982,0
DEL,MH,4,3,0.00161249639471982,1.77473982686947e-05,1.07345000834569e-235,0.0399876048825833,0.00360936060886423,0.00489627601563686,8.46579777221708e-05,1.83396889759394e-224,0.00201884591044774,0.00533646650525148,0.000160536404226979,0,0.00227497323301884,0.000425090661177642,0.000504244465648987
DEL,MH,5+,1,7.14319365528724e-247,0,0,0,0,0,0.395663284577264,0,0.00251816423162368,0.0523413063496888,4.74022783309426e-272,5.41016621665891e-261,0,0.000401458751085445,0
DEL,MH,5+,2,0.00193734479227251,0,0,0,0.00124345413235183,7.8560147195504e-213,0.114510637256722,0,0.000327510342878697,0.325380241179618,3.48305022259332e-36,0.00237632288074145,3.25485200105819e-22,5.1966237915805e-282,0
DEL,MH,5+,3,0.00655060674952954,0,3.47378593287979e-265,1.85370463710265e-248,6.47273896181446e-10,1.6688053975799e-308,0.0251452201378266,0,0,0.251950552307764,7.79362799626934e-192,0.00120641135731022,0,4.58365267398416e-201,0
DEL,MH,5+,4,0.000275731777188091,9.82480795869195e-289,4.13264540661111e-209,0.00352955784971369,0,7.85052424545275e-272,0.00220958879584094,3.28766702951782e-139,0.00235686457522946,0.142488595323161,0,0.000689300902834535,0.000963393187402094,0.000255242976470503,0
DEL,MH,5+,5+,0,0.000510857971078151,0,0,0,0,6.16163164239207e-114,0,0.0219692251202155,0.114118434513034,0.00604753644382331,0,6.70788416662524e-305,0.00130890973981406,0
