Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11
DEL,repeats,3,3,0.000239096474436441,0.00446879615091443,0,0,0.000108781359343965,0.000454585754525499,0,0,0.000564711285073241,0,0
DEL,repeats,3,4,0.00776776621512692,0,0,0.000540393207332927,0,0,0,0,0,0,0
DEL,repeats,3,5+,0.0113894000319896,0,0,0.00102716478081753,0,0,0,0,0,0,0
DEL,repeats,4,0,0.0125490031935702,0.00754410891298017,8.40536311140645e-63,0,2.71430071415514e-05,8.44841851734173e-06,0.000355004521550947,0.00205774747069043,0,0.00741327265242698,0.00162872469818045
DEL,repeats,4,1,0.00299637905585607,0.0660321688792544,0.000531456520290392,0.000161456677059181,0.00049954156890626,0.00206781103089088,0.00387225935114247,0.00290305473960795,0,0.00196773829917688,0
DEL,repeats,4,2,0,0.0152897711715005,0,0,0,0.000472611431879932,0,0.000296565480766689,0.000436603311650098,0,0
DEL,repeats,4,3,0.00504935661847085,0.00333599654816036,0,0,0,5.04996733007132e-07,0,0,0,0,0
DEL,repeats,4,4,0.00613020637122425,0,0,1.54583496540318e-05,0,0,0,0,0,0,0
DEL,repeats,4,5+,0.0015328146208377,0.000179291755004146,0,0,0,0.000202157635800517,0,0,0,0,0
DEL,repeats,5+,0,0.0128514714044602,0.0014414836058549,0.000240977556168596,0.000828859015725513,0,0,0,1.23844307765747e-66,7.9384502368078e-173,0.260155896013215,0.00786017353503976
DEL,repeats,5+,1,0,0.0171654224688432,0,0,0,0.00298809955459197,0,0.00874340019038518,0.000446139793516193,0,0.00236970407609091
DEL,repeats,5+,2,9.54393984744519e-05,0.00219435217331501,0,0,0,0.000410998708818981,0,0.000275891902553134,0,0,0
DEL,repeats,5+,3,0,0.000678794818970387,0,0,0,0.000143922165551376,0,0,0,0,0
DEL,repeats,5+,4,0,4.03370714044066e-05,0,0,0,7.46136246200683e-05,0,0,0,0,0
DEL,repeats,5+,5+,0.000131516266738368,4.02640171629474e-05,0,0,1.86588227839995e-06,2.56483369665821e-05,0,0,4.01558128777018e-05,0,0
INS,repeats,2,0,0.00648603552000771,0,0.00249506788266749,0,0.000292368259935214,0.000350214645407202,0,0.00210604659821732,0.0377905090795251,0.00151638214855515,0.0136895681521943
INS,repeats,2,1,0.0220141479864769,0,0.00262178882145392,0,0,0.000262572664940664,0.00103113722851623,0,0,0.00123737020614757,0.00123356178721795
