Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID1 1),signeR.2 (ID2 0.999),signeR.3 (False Positive) (ID2 0.998),signeR.4 (False Positive) (ID2 0.996),signeR.5 (False Positive) (ID2 0.995),signeR.6 (ID5 0.967),signeR.7 (False Positive) (ID2 0.947),signeR.8 (False Positive) (ID8 0.865),signeR.9 (ID9 0.98),signeR.10 (False Positive) (ID3 0.828),signeR.11 (ID14 0.968),signeR.12 (ID4 0.998)
DEL,repeats,4,3,1.60110484961057e-06,1.08167279833821e-05,2.64536978796026e-06,6.162980158091e-06,2.65516718475091e-05,0.00370037512289656,9.64945900777313e-06,0.000110500258301075,2.95381618130675e-05,8.87081349799735e-05,0.000141626918979258,0.00403892759235916
DEL,repeats,4,4,8.45805131166592e-07,1.22516482325576e-06,1.31753163421514e-06,1.98494987709642e-06,2.3551340674826e-06,0.00457445432823901,3.88195425587143e-06,2.5723783049234e-05,1.58714459226418e-05,0.000412147366595414,3.30711562560688e-05,0.00076286682456035
DEL,repeats,4,5+,2.19124576592988e-05,0.000183124066743941,7.25867548947484e-05,8.49832191418887e-05,0.000534573778897169,0.00175676194081953,0.000423777011027765,1.00258028716163e-05,1.58649016184182e-05,3.96986103490808e-05,6.30264792635292e-05,0.000194517927232485
DEL,repeats,5+,0,1.75749011964597e-06,1.210266654569e-05,1.22315924847401e-05,1.87273432527947e-05,4.23946878909612e-05,0.0446610287490451,2.84288972023703e-05,0.136862617997189,0.00616980131011127,0.011777025965739,0.00404661007279774,0.00617627171994789
DEL,repeats,5+,1,0.000202226068489214,0.00278336683864352,0.00185134642309405,0.00102058015993562,0.00600358156497276,0.000137032453681896,0.00449560409609804,0.00465670312065763,2.20349316115706e-05,4.55693247948572e-05,0.000627434554540377,0.0109290509877496
DEL,repeats,5+,2,0.000122724331582918,0.00027200906470756,0.000247978882500404,0.000115360923266975,0.000643803234032532,0.000444461383808089,0.00083736226968713,0.00049330677143858,4.93884124487829e-05,4.57893979209245e-05,0.00020795668541381,0.00299579775951091
DEL,repeats,5+,3,2.44901988955933e-05,0.000184806850148635,2.99441117620244e-05,4.64705712006315e-05,0.000202831990500848,0.000246250954619278,0.000258627014742738,5.32597081181875e-05,2.41277834843378e-05,4.28109652267053e-05,0.000161392681542609,0.00146725701122182
DEL,repeats,5+,4,6.32970536141265e-06,7.29444536830375e-05,2.6249073070201e-05,6.92985336736845e-05,0.000120924989352191,7.39722769272496e-05,0.000155129541066258,6.44073298058016e-05,2.22574600426027e-05,3.95347803433078e-05,4.04485568620461e-05,4.54832781373186e-05
DEL,repeats,5+,5+,8.29447477731561e-06,1.16325971998056e-05,1.41405539216141e-05,1.4734962040976e-05,7.67481761252857e-05,0.00062466610239901,3.50999424433658e-05,2.92414722274214e-05,3.3450164291578e-05,4.18834318498577e-05,0.000133654389021836,0.000387035151277049
INS,repeats,2,0,0.000374690665691118,0.000286588509041151,0.000191526508104792,5.11092423249241e-05,0.000683809032567968,0.00725079738661813,0.00078330757630905,0.00188594660498727,0.00163764218523217,0.0025156441393613,0.0220932791051828,0.000184124186229807
INS,repeats,2,1,4.57189014331993e-06,0.000228808683490155,0.000197446267481343,8.87686518731432e-05,0.000417228320903926,0.0176034190807244,0.000479094974458421,9.7031700795627e-05,0.00438234725412225,0.000773357702224161,0.000133668919154906,0.000131864992050242
INS,repeats,2,2,7.49153607319298e-05,0.000972889666421232,0.000270174567765233,0.000598146490318966,0.00181092259717925,0.00613976880285364,0.00292822857105276,0.000452666039032194,0.000225156039000757,0.00164816532671332,0.00113823226193383,0.000248168738414571
INS,repeats,2,3,0.000569632954505731,0.000222153983908396,0.00029074428573373,0.000333118754144272,0.00074553183242567,0.000970605473505366,0.000658385386457981,0.00033002692624812,0.000209359956540567,0.00150036440162767,0.00132048081322655,9.31891201915835e-05
INS,repeats,2,4,0.00245850369361989,0.00193455749302462,0.0013294761277518,0.000371626000393488,0.00503634059406874,1.72849932906287e-05,0.00512024295570838,4.67832669300976e-05,8.71381723636693e-05,0.000421069899485867,0.00236300143688521,0.000131642846610739
INS,repeats,2,5+,0.017110364620533,0.015062928201498,0.00297092838127611,0.00445916976244307,0.0294827122474709,0.0010204294690503,0.0200900116918443,0.000956399454084593,6.31449434221176e-05,9.54980095185865e-05,0.00224411732201773,0.000145389686938844
INS,repeats,3,0,1.06679427084143e-05,2.98157007209638e-05,1.43178903197743e-05,4.9882765946134e-05,0.000121667833261587,0.00350939254220336,4.87128986874666e-05,0.000755788778768697,0.000145045120602526,0.000308656349770635,0.0070146912035139,0.000103699072494255
INS,repeats,3,1,0.000234726102156216,0.00120291021111672,0.000284487111233948,0.00109317231639782,0.0015828529732205,0.00579464144209753,0.00163750074801501,0.000228206018684128,0.000823094526935912,0.000175991943242804,0.00248217977096625,0.000312364359198902
INS,repeats,3,2,1.36226878981303e-05,0.000195571527499352,9.63906488187803e-05,0.000173137313773199,0.000511770824354122,0.00103497164347596,0.000334514245763362,0.000564567491495185,2.99482571096439e-05,4.45345830086808e-05,0.000165168223516863,0.000794113904411443
INS,repeats,3,3,0.000162947039191674,6.95862579037019e-06,4.88698581687274e-06,6.16367853509118e-06,8.35951976259507e-05,6.68556657211581e-06,1.28739483688605e-05,0.000165078828237545,1.11671872342014e-05,3.29739106410245e-05,0.000547551915464239,5.03151478919179e-05
INS,repeats,3,4,0.000106666633838814,8.24520316439985e-05,2.73057925697424e-05,5.10132343281059e-05,0.000248576658952235,1.3281159119634e-05,0.000229161238374063,0.000156208501165593,2.22626967197563e-05,4.89639426577092e-05,0.000553139560180981,0.00017488554695731
INS,repeats,3,5+,0.00129502709989885,0.00145644365902447,0.00174975425954352,0.000656972556694254,0.00351369568587204,2.15465941492274e-05,0.00244961448376998,1.25214406377039e-05,2.9427949452625e-05,4.68135995740897e-05,0.00209473776416609,7.36588786417974e-05
INS,repeats,4,0,2.28135309427332e-06,3.85526391211184e-06,1.25236742301675e-05,8.32803392676824e-06,2.42294183687326e-05,0.00235295658744249,1.76956691181157e-05,0.00115498535384266,4.3241729024999e-05,5.99508661531429e-05,0.00613347867198648,9.97453134846472e-05
INS,repeats,4,1,0.00062769918370264,0.00137207362574348,0.00053814663866888,0.000615287719230032,0.0020025442596192,0.00384453340982409,0.00219778451148199,0.000573091709701708,0.000884770643666533,9.76593645927626e-05,0.00106734420329077,0.00114849603035465
INS,repeats,4,2,5.10772083079853e-05,1.74705153707065e-05,7.12112768095151e-06,2.71499461574777e-05,3.83801901320469e-05,0.000369585213659622,2.95005555396109e-05,0.000299661286118942,3.05666049290172e-05,4.95084794589299e-05,8.26937248977115e-05,0.000232069986055824
INS,repeats,4,3,9.86377044320474e-05,0.000112530375808981,4.50535484895964e-05,0.00011310501142583,0.00026858163112424,7.97714851403658e-06,0.00027359095592043,0.000195565086498171,0.000117703580707099,4.97263555250242e-05,0.000681838900878415,0.000120687153962657
INS,repeats,4,4,0.000284115053618649,0.000242814437003275,6.28260651374002e-05,5.301580068628e-05,0.000588483118908157,1.28130063235265e-05,0.000672206315541796,9.51092276279204e-05,2.69333999814597e-05,3.03886402626843e-05,0.00163166562696038,0.000387534578583001
INS,repeats,4,5+,0.000813818401992742,0.00236969757758079,0.000780350875091421,0.00189465979670172,0.00409246190031227,0.000685006833152411,0.00402601612171856,0.000308035831714646,6.15502218563804e-05,8.47632279160437e-05,0.000651288077794725,0.000180646295480449
INS,repeats,5+,0,1.18235270360793e-06,1.37491655844148e-06,1.56821143175315e-06,1.6497640954662e-06,2.39933139347705e-06,0.00418190545235627,4.10770581026677e-06,0.00491642817006375,3.02703948515081e-05,0.000618750580921514,0.00311572990393758,8.28392993888277e-05
INS,repeats,5+,1,0.00154405490147827,0.000177160418448536,3.06255142126927e-05,2.16722219179165e-05,0.000294206243609062,0.00725307241345794,0.000410600298341838,0.00792768495758635,0.00171623091420235,0.000294939756124357,0.03110272958058,0.00270002631435138
INS,repeats,5+,2,0.000197335261008953,1.27454499431242e-05,3.54470819519614e-06,1.76175907808294e-05,7.19862011369107e-05,0.000208916945911223,3.5744539811933e-05,0.000737129374665013,3.25664643428648e-05,0.000249840457368604,0.000765195972886715,0.000186020372303821
INS,repeats,5+,3,0.000224603894502564,7.62188378092808e-05,9.12942659328335e-05,2.1048238009945e-05,0.000184219795394656,0.000139316860336057,0.000241433297073521,1.10651408141089e-05,3.6350125477932e-05,5.39452328948132e-05,5.94632064520845e-05,6.82254661880567e-05
INS,repeats,5+,4,0.000208257916400115,1.45764685358934e-05,4.98895795571152e-06,1.03692932969962e-05,9.49745874929678e-05,0.000139752853133316,2.2394441517383e-05,1.81685707066558e-05,2.06673947334214e-05,4.49675459274968e-05,0.000374349138479201,0.00010549826276739
INS,repeats,5+,5+,8.03760794559908e-05,8.80777787532672e-05,7.35677263034938e-05,4.74993108928207e-05,0.00030824199883356,0.00051269997717431,0.000150255760054722,0.000119441444155278,4.69963345035992e-05,9.96916978782313e-05,0.000241622889836945,0.000176683722993645
DEL,MH,2,1,0.000638829381155025,0.000194511733802845,7.45716556897522e-05,0.000192304090813667,0.000826341044300765,0.026823530139557,0.000217156579831442,0.000264810662676334,0.00854757799101886,0.00370016012062858,0.00187123872650562,0.202953640925196
DEL,MH,3,1,5.69031148105175e-05,4.31934070264333e-06,4.04386318398273e-06,7.5721452404052e-06,1.5766516877581e-05,0.0130979716538578,9.37700191734935e-06,0.00416759713711913,0.00434153747549707,0.000215139014840226,0.000975306453784086,0.00733547998599241
DEL,MH,3,2,0.00139506760386324,0.00286774203363195,0.00185573070839171,7.79734291289801e-05,0.00533911955256553,0.00763108321156477,0.00419288067637217,0.00402277155083643,0.000757375006377268,0.00108339146318449,0.00345612566525859,0.057035212779172
DEL,MH,4,1,2.33980010726261e-05,6.18839608124498e-05,9.9871555632267e-05,0.00011822462472148,0.000195013935939493,0.00873535214118979,0.000474925720071691,0.00382823069320535,0.00224695515386885,5.06084348657882e-05,7.1351428958653e-05,0.011451992680734
DEL,MH,4,2,6.45949631909325e-05,0.000441009676513915,7.29018032844698e-05,0.000253186428579495,0.000894943478473155,0.00504979220993181,0.00181832836192461,0.00581014980919753,0.0014594186467201,8.61130872586643e-05,0.00132591556301021,0.0316242928959772
DEL,MH,4,3,0.000146806695303025,0.000535208835701836,8.79832295196894e-05,0.000576936097248523,0.000887191292798811,0.00227978324146491,0.00167791552507268,0.00348947770664618,0.00048058293401409,0.000198631713436858,0.00320708648319799,0.0375219051031189
DEL,MH,5+,1,3.73040762634765e-06,0.000368622598229314,0.000513402324699215,0.000301763450210357,0.00117834667729253,0.0364731722783328,0.000262515959702896,0.202446542834303,0.000180799316983938,0.00670294194878558,0.00179050152221218,0.000317190981735098
DEL,MH,5+,2,3.42537834441917e-06,5.53187492769638e-05,2.25195448487297e-05,2.50990944420245e-05,0.000169680478776199,0.00665833438416321,0.000148635320291667,0.217077739939925,4.6082059856684e-05,0.000980983724448534,0.00231351320028402,0.000186845978086749
DEL,MH,5+,3,2.95015852863892e-06,1.4278185910049e-05,4.88880885813104e-05,6.2893621735813e-05,1.21621955168519e-05,0.00323695335561038,2.59992104681519e-05,0.136731213943882,5.25085643285806e-05,0.000112447359880113,0.000837283881273545,0.000329264690735904
DEL,MH,5+,4,9.15983649891915e-06,0.000348530824602962,0.000227893447853248,8.8045090392782e-05,0.000707856629658407,0.000101395704046194,0.00100123342550889,0.0711318237975153,5.51475667781078e-05,8.86321355838764e-05,0.000219227861953924,0.0028266924661753
DEL,MH,5+,5+,0.000611525524889435,0.00215449802765937,0.000461834208825169,0.000494800929265829,0.00514156318826425,0.000146881380504386,0.00525498130891976,0.0573984271703788,1.70429326216253e-05,2.053515452832e-05,0.000756305308877603,0.000366853002362644
