Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.96),ID83D (ID8 0.992),ID83E (ID3 0.992),ID83F (ID6 0.999),ID83G (ID9 0.995),ID83H (ID14 1),ID83I (ID4 0.996)
INS,repeats,5+,0,0,3e-08,0.00531379,0.00013609,9.648e-05,0.00858576,0.00053965,0.00267289,5.325e-05
INS,repeats,5+,1,0.00010584,0.00150435,0.00674919,0.01029172,0.00021418,0.0055038,0.00104847,0.02652347,0.00308021
INS,repeats,5+,2,3.612e-05,6.738e-05,2e-07,6.06e-06,0,0.00102884,3.57e-06,0.00066122,8.544e-05
INS,repeats,5+,3,9.536e-05,3.933e-05,0,5.8e-07,0,0,2.98e-06,2.6e-05,0
INS,repeats,5+,4,2.639e-05,6.159e-05,0,5.6e-07,0,0,2.94e-06,4.626e-05,0
INS,repeats,5+,5+,0.00010456,3.09e-06,0.00018986,3.8e-07,0,0,1.741e-05,2.081e-05,4.476e-05
DEL,MH,2,1,9.982e-05,0.00053896,0.02364802,0.00412779,0.00861881,1.783e-05,0.00329634,0.00205221,0.18462378
DEL,MH,3,1,1.66e-06,2.25e-05,0.01347728,0.01013645,0.00056343,0.00108074,0.0026969,0.00164801,0.00631161
DEL,MH,3,2,0.00289738,0.00137745,0.00735712,0.00393066,0.0004756,0.00428455,0.00167703,0.00325007,0.0482553
DEL,MH,4,1,0.00011581,3.19e-06,0.00887429,0.00592282,5.115e-05,0.00286183,0.00198658,7.5e-07,0.01023687
DEL,MH,4,2,0.00052787,7.94e-06,0.00491303,0.00083048,0.00034341,0.00867785,0.00277791,0.00078098,0.02897961
DEL,MH,4,3,0.00062572,2.39e-06,0.00186533,0.00057735,9.967e-05,0.00469851,0.00135437,0.00200871,0.04757666
DEL,MH,5+,1,0.00052458,1.7e-07,0.00363849,0.28133821,0.00068743,0.08173612,0.0001664,0.0033551,0.0001022
DEL,MH,5+,2,4.1e-07,1e-08,0.00153251,0.10707748,0.00107538,0.26178627,0.00043418,0.00268268,1.12e-05
DEL,MH,5+,3,0,1e-08,0.00310423,0.03121997,0.0004159,0.22079141,0.00067156,0.00066205,0.00041839
DEL,MH,5+,4,0.00040478,6.3e-07,0.00029058,0.00771966,0.00029323,0.12223263,0.00024274,0,0.00295755
DEL,MH,5+,5+,0.00248307,0.00054058,0.00088347,0.00664362,8.09e-06,0.10083498,0.00015667,0.00061984,0.00130099
