prog,noise,seed,ex.sig,gt.sig,sim
SignatureAnalyzer,Noiseless,145879,W.20,SBS12,0.992
SignatureAnalyzer,Noiseless,145879,W.21,SBS44,0.956
SignatureAnalyzer,Noiseless,145879,W.22,SBS4,1
mSigHdp,Noiseless,200437,hdp.1,SBS40,0.999
mSigHdp,Noiseless,200437,hdp.2,SBS5,1
mSigHdp,Noiseless,200437,hdp.3,SBS1,1
mSigHdp,Noiseless,200437,hdp.4,SBS18,0.999
mSigHdp,Noiseless,200437,hdp.5,SBS13,1
mSigHdp,Noiseless,200437,hdp.6,SBS12,1
mSigHdp,Noiseless,200437,hdp.7,SBS7b,1
mSigHdp,Noiseless,200437,hdp.8,SBS44,0.999
mSigHdp,Noiseless,200437,hdp.9,SBS41,0.999
mSigHdp,Noiseless,200437,hdp.10,SBS17a,0.999
mSigHdp,Noiseless,200437,hdp.11,SBS28,0.999
mSigHdp,Noiseless,200437,hdp.12,SBS16,0.999
mSigHdp,Noiseless,200437,hdp.13,SBS4,1
mSigHdp,Noiseless,200437,hdp.14,SBS17b,1
mSigHdp,Noiseless,200437,hdp.15,SBS7d,1
mSigHdp,Noiseless,200437,hdp.16,SBS22,0.999
mSigHdp,Noiseless,200437,hdp.17,SBS29,0.999
mSigHdp,Noiseless,200437,hdp.18,SBS2,1
mSigHdp,Noiseless,200437,hdp.19,SBS7a,1
mSigHdp,Noiseless,200437,hdp.20,SBS7c,1
mSigHdp,Noiseless,200437,hdp.21,SBS3,1
mSigHdp,Noiseless,200437,hdp.22,SBS35,0.998
signeR,Noiseless,200437,signeR.11,SBS1,1
signeR,Noiseless,200437,signeR.19,SBS2,1
signeR,Noiseless,200437,signeR.9,SBS3,0.998
signeR,Noiseless,200437,signeR.4,SBS4,1
signeR,Noiseless,200437,signeR.2,SBS5,0.967
signeR,Noiseless,200437,signeR.18,SBS7a,0.999
signeR,Noiseless,200437,signeR.7,SBS7b,1
signeR,Noiseless,200437,signeR.15,SBS7c,0.999
signeR,Noiseless,200437,signeR.22,SBS7d,1
signeR,Noiseless,200437,signeR.6,SBS12,0.925
signeR,Noiseless,200437,signeR.21,SBS13,1
signeR,Noiseless,200437,signeR.17,SBS17a,0.998
signeR,Noiseless,200437,signeR.10,SBS17b,1
signeR,Noiseless,200437,signeR.14,SBS18,0.997
signeR,Noiseless,200437,signeR.26,SBS28,0.968
signeR,Noiseless,200437,signeR.3,SBS40,0.999
signeR,Noiseless,200437,signeR.8,SBS44,0.959
SigProfilerExtractor,Noiseless,200437,SBS96A,SBS7a,0.997
SigProfilerExtractor,Noiseless,200437,SBS96B,SBS7b,0.999
SigProfilerExtractor,Noiseless,200437,SBS96C,SBS4,0.982
SigProfilerExtractor,Noiseless,200437,SBS96E,SBS3,0.949
SigProfilerExtractor,Noiseless,200437,SBS96F,SBS40,0.936
SigProfilerExtractor,Noiseless,200437,SBS96G,SBS2,1
SigProfilerExtractor,Noiseless,200437,SBS96H,SBS17b,1
SigProfilerExtractor,Noiseless,200437,SBS96I,SBS1,1
SigProfilerExtractor,Noiseless,200437,SBS96J,SBS44,0.999
SigProfilerExtractor,Noiseless,200437,SBS96K,SBS7c,1
SigProfilerExtractor,Noiseless,200437,SBS96L,SBS12,0.994
SigProfilerExtractor,Noiseless,200437,SBS96M,SBS18,0.995
SigProfilerExtractor,Noiseless,200437,SBS96N,SBS16,0.985
SigProfilerExtractor,Noiseless,200437,SBS96O,SBS29,0.905
SigProfilerExtractor,Noiseless,200437,SBS96P,SBS17a,1
SigProfilerExtractor,Noiseless,200437,SBS96Q,SBS7d,0.999
SigProfilerExtractor,Noiseless,200437,SBS96R,SBS13,1
SigProfilerExtractor,Noiseless,200437,SBS96S,SBS22,0.999
SigProfilerExtractor,Noiseless,200437,SBS96T,SBS35,0.948
SigProfilerExtractor,Noiseless,200437,SBS96U,SBS41,0.985
SigProfilerExtractor,Noiseless,200437,SBS96V,SBS28,0.991
SignatureAnalyzer,Noiseless,200437,W.1,SBS40,0.926
SignatureAnalyzer,Noiseless,200437,W.2,SBS7a,1
SignatureAnalyzer,Noiseless,200437,W.3,SBS2,1
SignatureAnalyzer,Noiseless,200437,W.4,SBS1,1
SignatureAnalyzer,Noiseless,200437,W.5,SBS35,0.93
SignatureAnalyzer,Noiseless,200437,W.6,SBS7d,1
SignatureAnalyzer,Noiseless,200437,W.7,SBS12,0.992
SignatureAnalyzer,Noiseless,200437,W.8,SBS17b,1
SignatureAnalyzer,Noiseless,200437,W.9,SBS7b,1
SignatureAnalyzer,Noiseless,200437,W.10,SBS4,1
SignatureAnalyzer,Noiseless,200437,W.11,SBS16,0.975
SignatureAnalyzer,Noiseless,200437,W.12,SBS13,1
SignatureAnalyzer,Noiseless,200437,W.13,SBS17a,1
SignatureAnalyzer,Noiseless,200437,W.14,SBS44,0.956
SignatureAnalyzer,Noiseless,200437,W.16,SBS18,0.99
SignatureAnalyzer,Noiseless,200437,W.17,SBS28,0.979
SignatureAnalyzer,Noiseless,200437,W.18,SBS5,0.939
SignatureAnalyzer,Noiseless,200437,W.19,SBS7c,0.999
SignatureAnalyzer,Noiseless,200437,W.20,SBS3,0.913
SignatureAnalyzer,Noiseless,200437,W.21,SBS41,0.921
SignatureAnalyzer,Noiseless,200437,W.22,SBS22,0.998
mSigHdp,Noiseless,310111,hdp.1,SBS40,1
mSigHdp,Noiseless,310111,hdp.2,SBS28,0.999
mSigHdp,Noiseless,310111,hdp.3,SBS2,1
mSigHdp,Noiseless,310111,hdp.4,SBS12,1
mSigHdp,Noiseless,310111,hdp.5,SBS41,0.999
mSigHdp,Noiseless,310111,hdp.6,SBS29,0.999
mSigHdp,Noiseless,310111,hdp.7,SBS18,0.999
mSigHdp,Noiseless,310111,hdp.8,SBS17a,0.999
mSigHdp,Noiseless,310111,hdp.9,SBS3,1
mSigHdp,Noiseless,310111,hdp.10,SBS13,1
mSigHdp,Noiseless,310111,hdp.11,SBS7c,1
mSigHdp,Noiseless,310111,hdp.12,SBS4,1
mSigHdp,Noiseless,310111,hdp.13,SBS7b,1
mSigHdp,Noiseless,310111,hdp.14,SBS7d,1
mSigHdp,Noiseless,310111,hdp.15,SBS22,0.999
mSigHdp,Noiseless,310111,hdp.16,SBS7a,1
mSigHdp,Noiseless,310111,hdp.17,SBS17b,1
mSigHdp,Noiseless,310111,hdp.18,SBS16,0.999
mSigHdp,Noiseless,310111,hdp.19,SBS5,1
mSigHdp,Noiseless,310111,hdp.20,SBS44,0.999
mSigHdp,Noiseless,310111,hdp.21,SBS1,1
mSigHdp,Noiseless,310111,hdp.22,SBS35,0.998
signeR,Noiseless,310111,signeR.1,SBS7a,0.981
signeR,Noiseless,310111,signeR.2,SBS5,0.964
signeR,Noiseless,310111,signeR.3,SBS3,0.993
signeR,Noiseless,310111,signeR.5,SBS7b,1
signeR,Noiseless,310111,signeR.6,SBS18,0.992
signeR,Noiseless,310111,signeR.8,SBS4,0.945
signeR,Noiseless,310111,signeR.9,SBS44,0.959
signeR,Noiseless,310111,signeR.10,SBS17b,1
signeR,Noiseless,310111,signeR.11,SBS1,1
signeR,Noiseless,310111,signeR.13,SBS2,1
signeR,Noiseless,310111,signeR.14,SBS17a,1
signeR,Noiseless,310111,signeR.15,SBS13,1
signeR,Noiseless,310111,signeR.16,SBS7d,1
signeR,Noiseless,310111,signeR.17,SBS28,0.932
signeR,Noiseless,310111,signeR.18,SBS7c,0.994
SigProfilerExtractor,Noiseless,310111,SBS96A,SBS7a,0.992
SigProfilerExtractor,Noiseless,310111,SBS96B,SBS7b,0.999
SigProfilerExtractor,Noiseless,310111,SBS96C,SBS4,0.976
SigProfilerExtractor,Noiseless,310111,SBS96E,SBS2,1
SigProfilerExtractor,Noiseless,310111,SBS96F,SBS40,0.938
SigProfilerExtractor,Noiseless,310111,SBS96G,SBS3,0.948
SigProfilerExtractor,Noiseless,310111,SBS96H,SBS17b,1
SigProfilerExtractor,Noiseless,310111,SBS96I,SBS1,1
SigProfilerExtractor,Noiseless,310111,SBS96J,SBS44,0.999
SigProfilerExtractor,Noiseless,310111,SBS96K,SBS12,0.994
SigProfilerExtractor,Noiseless,310111,SBS96L,SBS7c,1
SigProfilerExtractor,Noiseless,310111,SBS96M,SBS18,0.994
SigProfilerExtractor,Noiseless,310111,SBS96N,SBS29,0.922
SigProfilerExtractor,Noiseless,310111,SBS96O,SBS16,0.983
SigProfilerExtractor,Noiseless,310111,SBS96P,SBS17a,1
SigProfilerExtractor,Noiseless,310111,SBS96Q,SBS7d,0.999
SigProfilerExtractor,Noiseless,310111,SBS96R,SBS13,1
SigProfilerExtractor,Noiseless,310111,SBS96S,SBS22,0.999
SigProfilerExtractor,Noiseless,310111,SBS96T,SBS35,0.947
SigProfilerExtractor,Noiseless,310111,SBS96U,SBS41,0.984
SigProfilerExtractor,Noiseless,310111,SBS96V,SBS28,0.993
SignatureAnalyzer,Noiseless,310111,W.1,SBS16,0.975
SignatureAnalyzer,Noiseless,310111,W.2,SBS41,0.921
SignatureAnalyzer,Noiseless,310111,W.3,SBS17b,1
SignatureAnalyzer,Noiseless,310111,W.4,SBS1,1
SignatureAnalyzer,Noiseless,310111,W.5,SBS7d,1
SignatureAnalyzer,Noiseless,310111,W.6,SBS7a,1
SignatureAnalyzer,Noiseless,310111,W.7,SBS35,0.93
SignatureAnalyzer,Noiseless,310111,W.8,SBS18,0.99
SignatureAnalyzer,Noiseless,310111,W.9,SBS17a,1
SignatureAnalyzer,Noiseless,310111,W.10,SBS2,1
SignatureAnalyzer,Noiseless,310111,W.11,SBS7c,0.999
SignatureAnalyzer,Noiseless,310111,W.12,SBS44,0.956
SignatureAnalyzer,Noiseless,310111,W.13,SBS40,0.926
SignatureAnalyzer,Noiseless,310111,W.14,SBS7b,1
SignatureAnalyzer,Noiseless,310111,W.15,SBS22,0.998
SignatureAnalyzer,Noiseless,310111,W.16,SBS3,0.913
SignatureAnalyzer,Noiseless,310111,W.17,SBS28,0.979
SignatureAnalyzer,Noiseless,310111,W.18,SBS12,0.992
SignatureAnalyzer,Noiseless,310111,W.20,SBS4,1
SignatureAnalyzer,Noiseless,310111,W.21,SBS5,0.939
SignatureAnalyzer,Noiseless,310111,W.22,SBS13,1
mSigHdp,Noiseless,528401,hdp.1,SBS40,1
mSigHdp,Noiseless,528401,hdp.2,SBS7d,1
mSigHdp,Noiseless,528401,hdp.3,SBS22,0.999
mSigHdp,Noiseless,528401,hdp.4,SBS1,1
mSigHdp,Noiseless,528401,hdp.5,SBS17a,0.999
mSigHdp,Noiseless,528401,hdp.6,SBS13,1
mSigHdp,Noiseless,528401,hdp.7,SBS18,0.999
mSigHdp,Noiseless,528401,hdp.8,SBS2,1
mSigHdp,Noiseless,528401,hdp.9,SBS12,1
mSigHdp,Noiseless,528401,hdp.10,SBS17b,1
mSigHdp,Noiseless,528401,hdp.11,SBS3,1
mSigHdp,Noiseless,528401,hdp.12,SBS7b,1
mSigHdp,Noiseless,528401,hdp.13,SBS7a,1
mSigHdp,Noiseless,528401,hdp.14,SBS29,0.999
mSigHdp,Noiseless,528401,hdp.15,SBS28,0.999
mSigHdp,Noiseless,528401,hdp.16,SBS41,0.999
mSigHdp,Noiseless,528401,hdp.17,SBS5,1
mSigHdp,Noiseless,528401,hdp.18,SBS16,1
mSigHdp,Noiseless,528401,hdp.19,SBS7c,1
mSigHdp,Noiseless,528401,hdp.20,SBS44,0.999
mSigHdp,Noiseless,528401,hdp.21,SBS4,1
mSigHdp,Noiseless,528401,hdp.22,SBS35,0.998
signeR,Noiseless,528401,signeR.1,SBS5,1
signeR,Noiseless,528401,signeR.2,SBS7a,1
signeR,Noiseless,528401,signeR.3,SBS4,1
signeR,Noiseless,528401,signeR.4,SBS40,0.999
signeR,Noiseless,528401,signeR.6,SBS7b,1
signeR,Noiseless,528401,signeR.8,SBS3,0.998
signeR,Noiseless,528401,signeR.9,SBS17b,0.999
signeR,Noiseless,528401,signeR.10,SBS44,0.961
signeR,Noiseless,528401,signeR.11,SBS1,1
signeR,Noiseless,528401,signeR.12,SBS18,0.998
signeR,Noiseless,528401,signeR.13,SBS12,0.936
signeR,Noiseless,528401,signeR.17,SBS17a,1
signeR,Noiseless,528401,signeR.18,SBS2,1
signeR,Noiseless,528401,signeR.19,SBS13,1
signeR,Noiseless,528401,signeR.21,SBS7c,0.997
signeR,Noiseless,528401,signeR.22,SBS7d,1
signeR,Noiseless,528401,signeR.23,SBS28,0.978
SigProfilerExtractor,Noiseless,528401,SBS96A,SBS7a,0.988
SigProfilerExtractor,Noiseless,528401,SBS96B,SBS7b,0.999
SigProfilerExtractor,Noiseless,528401,SBS96C,SBS4,0.987
SigProfilerExtractor,Noiseless,528401,SBS96E,SBS2,1
SigProfilerExtractor,Noiseless,528401,SBS96F,SBS3,0.95
SigProfilerExtractor,Noiseless,528401,SBS96G,SBS40,0.931
SigProfilerExtractor,Noiseless,528401,SBS96H,SBS17b,1
SigProfilerExtractor,Noiseless,528401,SBS96I,SBS1,1
SigProfilerExtractor,Noiseless,528401,SBS96J,SBS44,0.998
SigProfilerExtractor,Noiseless,528401,SBS96K,SBS7c,1
SigProfilerExtractor,Noiseless,528401,SBS96L,SBS18,0.994
SigProfilerExtractor,Noiseless,528401,SBS96M,SBS12,0.995
SigProfilerExtractor,Noiseless,528401,SBS96O,SBS16,0.978
SigProfilerExtractor,Noiseless,528401,SBS96P,SBS17a,1
SigProfilerExtractor,Noiseless,528401,SBS96Q,SBS7d,0.999
SigProfilerExtractor,Noiseless,528401,SBS96R,SBS13,1
SigProfilerExtractor,Noiseless,528401,SBS96S,SBS22,0.994
SigProfilerExtractor,Noiseless,528401,SBS96T,SBS41,0.983
SigProfilerExtractor,Noiseless,528401,SBS96U,SBS28,0.993
SignatureAnalyzer,Noiseless,528401,W.1,SBS44,0.956
SignatureAnalyzer,Noiseless,528401,W.2,SBS7d,1
SignatureAnalyzer,Noiseless,528401,W.3,SBS12,0.992
SignatureAnalyzer,Noiseless,528401,W.4,SBS16,0.975
SignatureAnalyzer,Noiseless,528401,W.5,SBS7a,1
SignatureAnalyzer,Noiseless,528401,W.6,SBS17a,1
SignatureAnalyzer,Noiseless,528401,W.7,SBS22,0.998
SignatureAnalyzer,Noiseless,528401,W.9,SBS3,0.913
SignatureAnalyzer,Noiseless,528401,W.10,SBS5,0.939
SignatureAnalyzer,Noiseless,528401,W.11,SBS35,0.93
SignatureAnalyzer,Noiseless,528401,W.12,SBS2,1
SignatureAnalyzer,Noiseless,528401,W.13,SBS28,0.979
SignatureAnalyzer,Noiseless,528401,W.14,SBS7c,0.999
SignatureAnalyzer,Noiseless,528401,W.15,SBS13,1
SignatureAnalyzer,Noiseless,528401,W.16,SBS7b,1
SignatureAnalyzer,Noiseless,528401,W.17,SBS18,0.99
SignatureAnalyzer,Noiseless,528401,W.18,SBS40,0.926
SignatureAnalyzer,Noiseless,528401,W.19,SBS17b,1
SignatureAnalyzer,Noiseless,528401,W.20,SBS4,1
SignatureAnalyzer,Noiseless,528401,W.21,SBS1,1
SignatureAnalyzer,Noiseless,528401,W.22,SBS41,0.921
mSigHdp,Noiseless,1076753,hdp.1,SBS5,0.999
mSigHdp,Noiseless,1076753,hdp.2,SBS1,1
mSigHdp,Noiseless,1076753,hdp.3,SBS17b,1
mSigHdp,Noiseless,1076753,hdp.4,SBS28,0.999
mSigHdp,Noiseless,1076753,hdp.5,SBS40,1
mSigHdp,Noiseless,1076753,hdp.6,SBS22,0.999
mSigHdp,Noiseless,1076753,hdp.7,SBS16,0.999
mSigHdp,Noiseless,1076753,hdp.8,SBS4,1
mSigHdp,Noiseless,1076753,hdp.9,SBS7c,1
mSigHdp,Noiseless,1076753,hdp.10,SBS41,0.999
mSigHdp,Noiseless,1076753,hdp.11,SBS18,0.999
mSigHdp,Noiseless,1076753,hdp.12,SBS13,1
mSigHdp,Noiseless,1076753,hdp.13,SBS7d,1
mSigHdp,Noiseless,1076753,hdp.14,SBS2,1
mSigHdp,Noiseless,1076753,hdp.15,SBS7b,1
mSigHdp,Noiseless,1076753,hdp.16,SBS7a,1
mSigHdp,Noiseless,1076753,hdp.17,SBS29,0.999
mSigHdp,Noiseless,1076753,hdp.18,SBS44,0.999
mSigHdp,Noiseless,1076753,hdp.19,SBS17a,0.998
mSigHdp,Noiseless,1076753,hdp.20,SBS12,1
mSigHdp,Noiseless,1076753,hdp.21,SBS3,1
mSigHdp,Noiseless,1076753,hdp.22,SBS35,0.998
signeR,Noiseless,1076753,signeR.12,SBS1,1
signeR,Noiseless,1076753,signeR.17,SBS2,1
signeR,Noiseless,1076753,signeR.11,SBS3,0.999
signeR,Noiseless,1076753,signeR.3,SBS4,1
signeR,Noiseless,1076753,signeR.1,SBS5,1
signeR,Noiseless,1076753,signeR.4,SBS7a,1
signeR,Noiseless,1076753,signeR.6,SBS7b,1
signeR,Noiseless,1076753,signeR.15,SBS7c,0.999
signeR,Noiseless,1076753,signeR.22,SBS7d,1
signeR,Noiseless,1076753,signeR.21,SBS12,0.924
signeR,Noiseless,1076753,signeR.20,SBS13,1
signeR,Noiseless,1076753,signeR.16,SBS17a,0.998
signeR,Noiseless,1076753,signeR.10,SBS17b,1
signeR,Noiseless,1076753,signeR.14,SBS18,0.997
signeR,Noiseless,1076753,signeR.24,SBS28,0.97
signeR,Noiseless,1076753,signeR.2,SBS40,0.999
signeR,Noiseless,1076753,signeR.9,SBS44,0.961
SigProfilerExtractor,Noiseless,1076753,SBS96A,SBS7a,0.986
SigProfilerExtractor,Noiseless,1076753,SBS96B,SBS7b,0.999
SigProfilerExtractor,Noiseless,1076753,SBS96C,SBS4,0.985
SigProfilerExtractor,Noiseless,1076753,SBS96D,SBS2,1
SigProfilerExtractor,Noiseless,1076753,SBS96F,SBS3,0.949
SigProfilerExtractor,Noiseless,1076753,SBS96G,SBS40,0.931
SigProfilerExtractor,Noiseless,1076753,SBS96H,SBS17b,1
SigProfilerExtractor,Noiseless,1076753,SBS96I,SBS1,1
SigProfilerExtractor,Noiseless,1076753,SBS96J,SBS44,0.999
SigProfilerExtractor,Noiseless,1076753,SBS96K,SBS7c,1
SigProfilerExtractor,Noiseless,1076753,SBS96L,SBS18,0.995
SigProfilerExtractor,Noiseless,1076753,SBS96M,SBS12,0.995
SigProfilerExtractor,Noiseless,1076753,SBS96O,SBS16,0.976
SigProfilerExtractor,Noiseless,1076753,SBS96P,SBS17a,1
SigProfilerExtractor,Noiseless,1076753,SBS96Q,SBS7d,0.999
SigProfilerExtractor,Noiseless,1076753,SBS96R,SBS13,1
SigProfilerExtractor,Noiseless,1076753,SBS96S,SBS22,0.994
SigProfilerExtractor,Noiseless,1076753,SBS96T,SBS41,0.985
SigProfilerExtractor,Noiseless,1076753,SBS96U,SBS28,0.993
SignatureAnalyzer,Noiseless,1076753,W.1,SBS5,0.939
SignatureAnalyzer,Noiseless,1076753,W.2,SBS35,0.929
SignatureAnalyzer,Noiseless,1076753,W.3,SBS41,0.921
SignatureAnalyzer,Noiseless,1076753,W.4,SBS7b,1
SignatureAnalyzer,Noiseless,1076753,W.5,SBS2,1
SignatureAnalyzer,Noiseless,1076753,W.6,SBS28,0.979
SignatureAnalyzer,Noiseless,1076753,W.7,SBS1,1
SignatureAnalyzer,Noiseless,1076753,W.8,SBS13,1
SignatureAnalyzer,Noiseless,1076753,W.9,SBS12,0.992
SignatureAnalyzer,Noiseless,1076753,W.10,SBS4,1
SignatureAnalyzer,Noiseless,1076753,W.12,SBS16,0.975
SignatureAnalyzer,Noiseless,1076753,W.13,SBS22,0.998
SignatureAnalyzer,Noiseless,1076753,W.14,SBS7c,0.999
SignatureAnalyzer,Noiseless,1076753,W.15,SBS17a,1
SignatureAnalyzer,Noiseless,1076753,W.16,SBS40,0.926
SignatureAnalyzer,Noiseless,1076753,W.17,SBS3,0.913
SignatureAnalyzer,Noiseless,1076753,W.18,SBS7d,1
SignatureAnalyzer,Noiseless,1076753,W.19,SBS44,0.956
SignatureAnalyzer,Noiseless,1076753,W.20,SBS7a,1
SignatureAnalyzer,Noiseless,1076753,W.21,SBS17b,1
SignatureAnalyzer,Noiseless,1076753,W.22,SBS18,0.99
mSigHdp,Moderate,145879,hdp.3,SBS1,0.999
mSigHdp,Moderate,145879,hdp.1,SBS2,0.999
mSigHdp,Moderate,145879,hdp.20,SBS3,0.998
mSigHdp,Moderate,145879,hdp.18,SBS4,0.999
mSigHdp,Moderate,145879,hdp.4,SBS5,1
mSigHdp,Moderate,145879,hdp.9,SBS7a,0.998
mSigHdp,Moderate,145879,hdp.14,SBS7c,1
mSigHdp,Moderate,145879,hdp.10,SBS7d,0.995
mSigHdp,Moderate,145879,hdp.6,SBS12,0.998
mSigHdp,Moderate,145879,hdp.19,SBS13,1
mSigHdp,Moderate,145879,hdp.5,SBS16,0.996
mSigHdp,Moderate,145879,hdp.8,SBS17a,0.999
mSigHdp,Moderate,145879,hdp.15,SBS17b,0.999
mSigHdp,Moderate,145879,hdp.7,SBS18,0.999
mSigHdp,Moderate,145879,hdp.11,SBS22,0.995
mSigHdp,Moderate,145879,hdp.17,SBS28,0.996
mSigHdp,Moderate,145879,hdp.16,SBS29,0.988
mSigHdp,Moderate,145879,hdp.21,SBS35,0.987
mSigHdp,Moderate,145879,hdp.23,SBS38,0.99
mSigHdp,Moderate,145879,hdp.2,SBS40,1
mSigHdp,Moderate,145879,hdp.12,SBS41,0.996
mSigHdp,Moderate,145879,hdp.13,SBS44,0.997
signeR,Moderate,145879,signeR.11,SBS1,1
signeR,Moderate,145879,signeR.12,SBS2,0.999
signeR,Moderate,145879,signeR.9,SBS3,0.992
signeR,Moderate,145879,signeR.3,SBS4,1
signeR,Moderate,145879,signeR.1,SBS5,0.994
signeR,Moderate,145879,signeR.4,SBS7a,0.98
signeR,Moderate,145879,signeR.7,SBS7b,0.996
signeR,Moderate,145879,signeR.16,SBS7c,0.998
signeR,Moderate,145879,signeR.23,SBS7d,0.991
signeR,Moderate,145879,signeR.21,SBS12,0.955
signeR,Moderate,145879,signeR.22,SBS13,0.999
signeR,Moderate,145879,signeR.19,SBS17a,1
signeR,Moderate,145879,signeR.8,SBS17b,0.999
signeR,Moderate,145879,signeR.15,SBS18,0.998
signeR,Moderate,145879,signeR.25,SBS28,0.967
signeR,Moderate,145879,signeR.2,SBS40,0.996
signeR,Moderate,145879,signeR.10,SBS44,0.968
SigProfilerExtractor,Moderate,145879,SBS96A,SBS7a,0.907
SigProfilerExtractor,Moderate,145879,SBS96B,SBS2,1
SigProfilerExtractor,Moderate,145879,SBS96C,SBS7b,0.996
SigProfilerExtractor,Moderate,145879,SBS96D,SBS4,0.991
SigProfilerExtractor,Moderate,145879,SBS96E,SBS5,0.914
SigProfilerExtractor,Moderate,145879,SBS96F,SBS40,0.937
