Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7
INS,T,1,1,1.67426970646446e-05,0.00921596689201472,0.010253680161712,0.0122379358580839,0.00690235120234215,0.0027593503073135,0.0115102040816327
INS,T,1,2,0.000246096911601361,0.0225487145888161,0.0227086886680772,0.027317120145002,0.000524178474962635,0.000152731936754241,0.0244081632653061
INS,T,1,3,0.0026291889050009,0.0139859764452107,0.0152413743505003,0.0174130913856832,0.00258869264249936,0.00261333516725275,0.0155918367346939
INS,T,1,4,0.00994264536638357,0.00966593096077333,0.0125708487466043,0.0117566893031421,0.0067746578432951,0.00749098270043899,0.0117551020408163
INS,T,1,5+,0.437625606565492,0.0367538167030859,0.222175475599394,0.0826198592608097,0.32062489592093,0.387522427334034,0.108571428571429
DEL,repeats,2,0,0.000226483805569344,0.0198806521550814,0.0214474630267736,0.0256877377295655,0.00957589635832083,0.00586692141037092,0.0213877551020408
DEL,repeats,2,1,0.00245601705068463,0.0187928322968787,0.0188175542629833,0.0224563347429535,0.00267810563308751,0.00654180910202143,0.0202448979591837
DEL,repeats,2,2,0.00115586612206037,0.00157145802755176,0.00378007075586405,0.00451052639941964,0.000142756753133773,0.000112030153805622,0.00122448979591837
DEL,repeats,2,3,0.000340972872590194,2.6353643940309e-05,2.01818878406767e-05,1.15748477599314e-05,2.4737133408466e-05,1.53383566284207e-05,0
DEL,repeats,2,4,0.000273774403167065,5.36833487672961e-06,8.23250205413184e-05,2.95192862989965e-05,1.71363382270938e-05,1.27819638570172e-05,0
DEL,repeats,2,5+,2.34796200942988e-06,0.0162809396050126,0.0165338059986296,0.0199272989976319,3.01267881734391e-05,2.53634263201989e-05,0.017469387755102
DEL,repeats,3,0,3.8992432296861e-05,0.0121729433482061,0.0130363449386411,0.0156884048243418,0.000863312136327862,0.00674977917277736,0.0124081632653061
DEL,repeats,3,1,0.0050612994334077,0.00676703012733934,0.00557894758319283,0.00573978892956904,0.00489836700370435,0.00294576647823212,0.00685714285714286
DEL,repeats,3,2,0.00162193963023351,4.27026637921674e-05,0.000149023312879981,0.000288343840646811,0.000139854631337249,3.78947634349217e-05,0
DEL,repeats,3,3,0.000223042160823054,4.14825876838197e-06,5.40925207015003e-06,8.56127792894331e-07,1.0917505805971e-05,3.00752090753347e-06,0
DEL,repeats,3,4,1.29696949092317e-06,0.000701787777521562,0.00430554321646813,0.00520861300174568,1.56161791908193e-05,1.60902368553041e-05,0
DEL,repeats,3,5+,1.63849123774934e-06,0.0060867156893247,0.00646329703055628,0.00777148291744243,2.32169743721916e-05,1.55388580222563e-05,0.00612244897959184
DEL,repeats,4,0,3.14281321781696e-05,0.00926721008856532,0.00836426953657751,0.00999453858958357,0.000272246663769151,0.00408376226429432,0.0106938775510204
DEL,repeats,4,1,0.00151029047916692,0.00064053995688251,0.00240033188133929,0.00275484801197538,0.00341842308375316,0.00150045218076845,0.000571428571428571
DEL,repeats,4,2,0.000147864686302945,1.83011416252146e-05,1.37603780731887e-06,3.08206005441959e-07,3.16469472097135e-05,2.8571448621568e-06,8.16326530612245e-05
DEL,repeats,4,3,2.55124876349307e-06,1.14687154184678e-05,0.00279699454995711,0.00338964964785067,1.89328898154181e-05,1.23308357208872e-05,0
DEL,repeats,4,4,1.08148553161619e-06,1.58609894085193e-05,0.00336314711677296,0.00407246293035147,1.35432350504451e-05,1.41854736138662e-05,0
DEL,repeats,4,5+,6.43260275882162e-05,6.58841098507725e-06,0.000281977034814721,0.000460665242800582,7.4625989053473e-06,4.61153205821799e-06,0
DEL,repeats,5+,0,2.34755543592175e-05,0.0140623532095932,0.0140867520979476,0.0168188359620794,0.000302788040770665,0.140999397192559,0.0161632653061225
DEL,repeats,5+,1,0.00154895968552482,6.5640094629103e-05,5.31435291102459e-06,3.73271717701928e-06,6.31556981434021e-05,1.71428691729408e-05,0
DEL,repeats,5+,2,0.000137669855586676,2.44015221669528e-06,3.10003919809768e-06,6.50657122599692e-07,7.4625989053473e-06,2.65664346832123e-06,0
DEL,repeats,5+,3,4.14867607692164e-05,0,2.21431371292691e-07,2.73960893726186e-07,6.9098138012475e-07,1.50376045376673e-07,0
DEL,repeats,5+,4,2.071695310658e-05,0,1.58165265209065e-08,3.42451117157732e-08,0,0,0
DEL,repeats,5+,5+,1.16950869612555e-05,2.44015221669528e-06,7.25978567309609e-06,4.10941340589279e-07,1.79655158832435e-06,5.01253484588912e-07,0
INS,repeats,2,0,0.0002007355052997,0.00454624759492497,0.00506889623594664,0.0061061773798161,0.000166250120058015,0.00102295811134905,0.0036734693877551
INS,repeats,2,1,7.92798012171046e-05,0.0138254144293521,0.014092746561499,0.0169687268160594,0.000305966555119239,7.15288722508377e-05,0.0139591836734694
INS,repeats,2,2,0.000382786925033452,0.00531855577150903,0.00573385464393859,0.00691932755750713,5.40347439257554e-05,2.46115460933156e-05,0.00481632653061225
INS,repeats,2,3,0.000239008302487177,3.41621310337339e-06,0.00039780145852732,0.000654595310447006,1.31286462223702e-05,1.3333342690065e-05,0
INS,repeats,2,4,0.00239624058065235,4.17266029054893e-05,6.13997559541591e-05,1.40062506917513e-05,4.38082194999091e-05,0.000265914973574418,0
INS,repeats,2,5+,0.0158125585214284,0.00580878235184311,0.00519160084869583,0.00260105321525984,0.00610647884871446,0.00844496833230861,0.00555102040816327
INS,repeats,3,0,1.89524240813115e-05,2.14733395069184e-05,0.00305314319696319,0.0036728224766284,2.84684328611397e-05,2.82706965308146e-05,8.16326530612245e-05
INS,repeats,3,1,0.000523058851072136,0.00451037735733955,0.00508120149357991,0.00609628054253024,6.70251938721007e-05,4.13032871301263e-05,0.00416326530612245
INS,repeats,3,2,6.84507158281584e-05,1.46409133001717e-06,8.16290933743985e-05,6.86614489901254e-05,1.40960201545449e-05,4.81203345205355e-06,0
INS,repeats,3,3,3.17554238522114e-05,2.44015221669528e-07,1.73981791729972e-07,2.39715782010413e-07,0,0,0
INS,repeats,3,4,5.23077146880002e-05,0,0,0,1.3819627602495e-07,0,0
INS,repeats,3,5+,0.00149908937901804,5.61235009839914e-06,2.94187393288861e-06,2.56838337868299e-06,1.02265244258463e-05,6.51629529965585e-06,0
INS,repeats,4,0,5.80180396096353e-06,1.78131111818755e-05,0.00187718445013379,0.00230966155967033,2.92976105172894e-05,2.05012675196865e-05,0
INS,repeats,4,1,0.000915223394070523,9.88261647761587e-05,0.00294505305471931,0.00356248472668017,7.65607369178223e-05,0.00061659191139282,8.16326530612245e-05
INS,repeats,4,2,1.93285045763284e-05,2.44015221669528e-07,6.64294113878074e-07,3.42451117157732e-07,2.62572924447405e-06,1.20300836301339e-06,0
INS,repeats,4,3,6.62755475596822e-05,4.88030443339055e-07,2.84697477376317e-07,3.42451117157732e-07,2.763925520499e-07,2.00501393835565e-07,0
INS,repeats,4,4,0.000138930233461867,0,4.74495795627195e-07,3.42451117157732e-08,3.5931031766487e-06,3.00752090753347e-07,0
INS,repeats,4,5+,0.00165108891789863,1.43968980785021e-05,5.59588708309672e-05,4.34228016556005e-05,2.58427036166656e-05,0.00014105273056332,0
INS,repeats,5+,0,2.16500393077301e-06,3.46501614770729e-05,0.00357315895591755,0.00433423256430684,4.25644530156846e-05,2.23057800642066e-05,8.16326530612245e-05
INS,repeats,5+,1,0.000658445796410682,0.000924329659684171,0.00391224946799927,0.00449751325696765,0.000820333094484103,0.00650797449181167,0.000244897959183673
INS,repeats,5+,2,5.33038197829098e-05,2.44015221669528e-07,1.04389075037983e-06,4.10941340589279e-07,8.0153840094471e-06,8.5213092380115e-07,0
INS,repeats,5+,3,7.31446069794775e-05,0,3.00514003897224e-07,3.42451117157732e-08,3.3167106245988e-06,5.01253484588912e-08,0
INS,repeats,5+,4,5.0370391921778e-05,0,7.90826326045326e-08,0,5.527851040998e-07,0,0
INS,repeats,5+,5+,5.92804503523677e-05,3.17219788170386e-06,5.1087380662528e-06,7.87637569462785e-07,1.52015903627445e-06,1.35338440839006e-06,0
DEL,MH,2,1,0.000500868068998598,0.0206678452601873,0.0219735365153854,0.0263061017118173,0.00329211168746636,0.00379940116248703,0.0222857142857143
DEL,MH,3,1,2.55389149129589e-05,0.00998485885549541,0.0100121459852112,0.0120462659678107,0.00123616568904318,0.00567860047621086,0.0115102040816327
DEL,MH,3,2,0.00224674756744936,0.00892534476300632,0.00717684380802046,0.00829241955686278,0.00141678822180779,0.00331067901501284,0.0113469387755102
DEL,MH,4,1,6.59929789715343e-05,0.00865741604961317,0.00670301230650714,0.00803708800390997,0.000475947974629928,0.00361193235925078,0.0100408163265306
DEL,MH,4,2,0.000194838156564327,0.00458187381728872,0.00485110266575376,0.00588043360338572,0.00142051952126046,0.000142456240320169,0.0046530612244898
DEL,MH,4,3,0.000247578872038481,8.29651753676394e-05,0.00286315508039406,0.00343937355006197,0.000561076880661297,0.00012521312045031,8.16326530612245e-05
DEL,MH,5+,1,0.000182697871611673,0.00825137472075508,0.00671783239185723,0.00795346144110005,0.000225121733644643,0.165872146476694,0.00922448979591837
DEL,MH,5+,2,3.9285165222712e-05,0.00510479843732652,0.00580719587741604,0.00694915504981157,0.000199555422580028,0.0729259659630839,0.00538775510204082
DEL,MH,5+,3,2.34694557565956e-05,0.00458236184773206,0.00546680841015961,0.00658530073783148,0.000169014045578514,0.0271314977363894,0.0043265306122449
DEL,MH,5+,4,0.000141823003972187,7.12524447275021e-05,0.00156803462275615,0.00191632220650296,0.000146073463758372,0.00975835271262847,0
DEL,MH,5+,5+,0.00147259298349345,8.10130535942832e-05,0.000594812112871731,0.000692675874674946,0.000163762587089566,0.00799484270314776,0.000163265306122449
