Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17
DEL,T,1,4,0.0114779188779378,0.00416643742783302,0.016358362364619,0.0540553744935456,0.0434630203060799,0.0158287812293389,0.0191459717800839,0.00850255229400797,0.0273749138696796,0.393402344605598,0.00512538898041369,0.00597920917569895,0.219297417995408,0.0244421408696601,0.00801947586996993,0.203859744495787,0.333048967752943
DEL,T,1,5+,0.01113556671721,0.0117671320993537,0.00701738549720394,0.026965307503798,0.0168502649913655,0.0178870675152022,0.0166220540923945,0.0124761836836582,0.00804021352017733,0.0125991600559963,0.00801757276221856,0.00596784185787443,0.0136962606535208,0.00808554749304381,0.00615781182872691,0.0106007067137809,0.243425061544836
INS,C,1,0,6.25473843821077e-05,3.23529523712638e-05,0.00316854306142762,0.000997818297468344,0.000301464896087656,0.000971827187755995,4.55977099816765e-05,0.00036679674366002,0.00641722772441618,5.71390478729989e-05,0.000256269449020685,0.00524601717601723,0.000110073277353209,0.00446287304271919,0.000143204926249463,0,2.437419260487e-05
INS,C,1,1,0.00131278430629265,0.00189031207277234,0.00220242238963517,0.000941363127467016,0.00120919430715179,0.00219087619783612,0.000296385114880897,0.00796254597695294,0.00203392081821729,0.00384736255678193,0.00314845323082555,0.00297255361111269,0.00185552096109696,0.00268427082765017,0.00157525418874409,0.00172148228685331,0.000828722548565579
INS,C,1,2,0.000380022744503412,0.0001475779057363,0.00123929227140587,0.00163672768146817,0.00313029238373132,0.000636611157485988,0.000292163104697409,0.00155379176133759,0.000780361456785409,0.000295218414010495,0.00175727622185612,0.000534263937752568,0.000157247539076013,0.000763816902176878,0.000572819704997852,0.000181208661774033,0
INS,C,1,3,0.00735666224412434,0.00240657522718866,0.00563519976416563,0.000506593920924467,0.00029795152742214,0.000519884146945539,0.00523782583363591,0.00655139739370536,0.00241164897017193,0.00250459493176645,0.0105802672524254,0.00461513103675622,0.00292480422681385,0.00369905614054231,0.00286409852498926,0.00724834647096131,0.00104809028200941
INS,C,1,4,0.00698848559514784,0.00780155979292726,0.00651988800617525,0.000389390412100417,0.000414369082355744,0.00135193822208002,0.0070144477188479,0.009073125006368,0.00440821205907502,0.0160846419762492,0.00834706205381658,0.00808784663214791,0.0121395100166682,0.00671067706912543,0.00243448374624087,0.00217450394128839,0.00938406415287494
INS,C,1,5+,0.383258860879454,0.0455697389514668,0.0103694179255293,0.000583312847762774,0.00538435657714524,0.00151535603683665,0.36988862337136,0.0125475052727032,0.0081564375669326,0.0711666841258202,0.00446641039721765,0.0109069414526295,0.0180362927320187,0.0129739756669758,0.347701560933696,0.209024191356347,0.0373900114558705
INS,T,1,0,0.00653809704321456,0.00727180182415288,0.022725594642358,0.00385822788809838,0.00579193711665575,0.00271285544497085,0.0100956707507579,0.0102295536287406,0.0107009140191106,0.00473301779881341,0.0042833607907743,0.0289809767936207,0.00639997484039375,0.0236455889573899,0.00315050837748819,0.000634230316209115,0.00192556121578473
INS,T,1,1,0.000556292645943897,4.27335788005463e-05,0.048005603266152,0.015027851074095,0.0120840528791758,0.00129207821667466,0.000214478117321219,0.00036170234444252,0.00704400740513212,5.71390478729989e-05,0.000439319055464031,0.0376940259061173,0.000456017863320439,0.0325495117027661,0.000429614778748389,0.000453021654435082,0.000365612889073049
