Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17
DEL,repeats,4,1,0.00141645998872193,0.0120261767130015,0.00155514575827155,0.00271663464633178,0.00201798151148202,0.00507221423115055,0.00333904088062175,0.00242003122834818,0.00167058190426406,0.00166739603479187,0.00279610082766224,0.0107073518260826,0.0066865671641791,0.00473806543894153,0.0083748185023854,0.00170039814200398,0.00234082397003745
DEL,repeats,4,2,3.11890470836594e-05,0.0033049799382864,0.000169696781906584,6.12735355906989e-05,0.00029860769320176,0.000217130284265444,0.000418065838626586,0.00187303786851606,0.000612878881905985,9.72042681143784e-05,0.000322745240276147,0.00459957837198257,0.00191044776119403,0.00080457715000894,0.000362995229205559,0.000124419376244194,0.000468164794007491
DEL,repeats,4,3,5.351921547966e-05,8.32785293314551e-06,3.57243592284814e-06,0.00318755325681397,0.00372654556864366,0.00350100362442505,0.000216461645259364,4.30964465322279e-05,0.00666194361876669,0.000236758943498507,0.00242007700803892,4.16628475723059e-05,0.000119402985074627,0.0019667441444663,0.00487450736361751,0.000228102189781022,0.000842696629213483
DEL,repeats,4,4,0.000130031871683915,1.6066867780109e-05,6.06949572606343e-06,0.0036350394062824,0.00421250651096784,0.00480784858679929,0.000197032669708101,1.9890667630259e-05,0.00529032702274945,0.000295646176464064,0.00432990916002221,3.33302780578447e-05,0,0.00178794922224209,0.00964530180460485,0.000829462508294625,0.0099250936329588
DEL,repeats,4,5+,6.94148799063112e-05,0.00301737459304979,7.78584461756785e-05,0.00140010633100246,0.00113918619717865,0.000342075430298893,0.000153374618763499,0.0022907418887515,0.00250949667831423,0.000329123165067771,0.00218954469355596,0.0061161060236145,0.00107462686567164,0.00268192383336313,0.00160755030076748,0.000248838752488388,0.00355805243445693
DEL,repeats,5+,0,0.00147007831385989,0.000142919415489033,4.46493734643044e-05,0.0164479896586708,0.0205111390761863,0.00622541729647147,0.0404646130925238,0.00150506051735627,0.0256779491342236,0.00144959394026173,0.0118104266179782,0.000291639933006141,0.00119402985074627,0.00393348828893259,0.0060412777432068,0.00300680159256802,0.0113295880149813
DEL,repeats,5+,1,0.000158926148987036,0.0336446940893611,0.00155493918884744,0.000213806099863052,0.000304730035782223,0.000809603913728932,0.000844588996022546,0.0107376454090682,0.000669954077116742,0.000307342955614757,0.000547130026372897,0.0403879644365933,0.00525373134328358,0.000536384766672627,0.000337066998548019,0.000456204379562044,0.000842696629213483
DEL,repeats,5+,2,5.3671691877038e-05,0.00238958907345318,0.000358367572974826,0.00044336364773134,0.000209833725785059,0.00072681505680433,0.000685499972685146,0.00653408431654009,0.000224676958924884,0.000139151338172035,0.00155634926977609,0.0024247777287082,0.00191044776119403,0.00178794922224209,0.000259282306575399,0.000124419376244194,0
DEL,repeats,5+,3,4.76717456402157e-05,0.00147234757463481,9.73063498985304e-05,0.000142474734301406,0.000224948259030575,0.0003908345116778,0.000301034832953097,0.00327201482517761,0.000492386803127721,0.000117774465931114,0.000537908733793578,0.00199148411395622,0.000835820895522388,0.00429107813338101,0.00010371292263016,4.14731254147313e-05,0.000749063670411985
DEL,repeats,5+,4,1.8586872840372e-05,0.00056873347152522,3.74801993334187e-05,6.37174942752282e-05,5.31400203663552e-05,5.61237342955125e-05,0.000132345609931544,7.95626705210361e-05,0.000112338479462442,4.19470700576571e-05,0.000372950055430214,0.00092491521610519,0.00274626865671642,0.00160915430001788,0.000207425845260319,6.22096881220969e-05,0.000280898876404494
DEL,repeats,5+,5+,2.73923847889485e-05,0.000227796219625839,2.46971973237716e-05,0.00078189221057191,0.000188070711143572,0.000732655988427845,3.58864607240974e-05,0.000109398671966425,0.000529983955528457,0.000251279083133849,0.001080940407909,0.000349967919607369,0,0.00634721973895941,0.00114084214893176,0.000145155938951559,0.00299625468164794
INS,repeats,2,0,0.00231317368170165,0.00267652146087701,0.000465419139234323,0.00568666215187823,0.00545926418051727,0.00594429071789621,0.00133122768953594,0.00218465832805678,0.0078193017438737,0.00146290406826079,0.00767109083792861,0.00658272991642433,0.00191044776119403,0.0132308242445915,0.0066894835096453,0.00255059721300597,0.0102996254681648
INS,repeats,2,1,0.00276054705542842,0.00140858482187396,0.000115271814224826,0.0161783753593962,0.0173071928437468,0.0182155801518033,0.00128368384348109,0.00148516984972601,0.0188551984178394,0.0013834466374785,0.0168124655482263,0.00270808509219988,0.0017910447761194,0.00214553906669051,0.0234650487450736,0.00503898473788985,0.022752808988764
INS,repeats,2,2,0.00089634774962601,0.00823481651552875,0.000652261183342059,0.00534427965418898,0.00850393384426196,0.00673129276577763,0.000311092185003162,0.0157268878729915,0.00726304507943871,0.000706646795586684,0.00524998924182532,0.00953245952454358,0.00286567164179105,0.00384409082782049,0.00490043559427505,0.000808725945587259,0.00730337078651685
INS,repeats,2,3,0.000837621465175893,0.00554046167261309,0.000552366640070853,0.00143018582250436,0.000747451933631893,0.00228228054350123,0.000747672694449187,0.0057285122775146,0.00166333426042777,0.00175935691914904,0.00199692213745464,0.0113239619701527,0.00262686567164179,0.000715179688896835,0.000414851690520639,0.00109903782349038,0.00290262172284644
INS,repeats,2,4,0.00052191908440485,0.0033213832849729,0.00394354396883353,0.000469266924118467,0.000242406501545174,0.000384993580054285,0.00047200981780421,0.0309664543890416,0.000287187887012856,0.000406563909789599,0.000573769316046483,0.00245810800676605,0.0254328358208955,0.0225281602002503,0.000959344534328977,0.000891672196416722,0.000280898876404494
INS,repeats,2,5+,0.00021836144868496,0.0983584203593965,0.0287710865992187,0.00498346003961039,0.00167034724683516,0.00126494262681424,0.00164460563636867,0.276871463190662,0.00117819510113634,0.00142055366099104,0.00999178280372376,0.0461624351101149,0.480238805970149,0.0172537099946362,0.00150383737813732,0.000269575315195753,0.00196629213483146
