Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12
DEL,repeats,2,1,0.00358938870160367,0.00121982895774603,0.00155575845688699,0.0223149296909611,0.0044126357007976,0.00255399187646457,0.00282569937833529,0.00774190178373855,0.00343400187351114,0.00923624577602879,0.00606727533444578,0.230917092576428
DEL,repeats,2,2,0.00194031342959928,9.00921806719739e-07,0.000845254899928663,0.00400125944263427,0.00131210913313336,0.00121070605541767,0.00121246616086572,0.00154995321895067,0.00150363459243209,0.0134697764814984,0.00286578054843877,0.0549548606270133
DEL,repeats,2,3,0.000870765885851002,8.70324230446893e-07,0.000624983771239002,2.2029722698709e-06,0.000107919043812441,0.000521861451763184,1.82872775287571e-05,4.81771764501499e-06,0.000191410359352523,0.00864049784139472,0.000929051816508552,0.0135500143543972
DEL,repeats,2,4,0.0009735646313668,5.50196541271266e-07,0.000181898457118163,0.000650856172790995,1.94672273345381e-06,0.000469233176357475,1.37398878648365e-05,4.71516287016469e-06,0.000320942655339644,0.00409304949352157,0.000180364952823624,0.00283343723937358
DEL,repeats,2,5+,4.38042160815257e-07,3.64280636719095e-07,1.8822123000856e-06,0.0211010762436805,1.73993342772757e-06,2.79462089200915e-06,2.82571125555583e-06,3.38417538340209e-06,6.09539415969566e-06,0.00229824434219141,3.24563675635002e-05,0.00065743952906756
DEL,repeats,3,0,2.5339356897119e-05,6.52328467485625e-05,0.000108052043306931,0.0169465592713342,0.00486277087890507,9.48477118660475e-06,1.03267420253931e-05,0.00440370684999535,1.36341502122749e-05,3.93498972030459e-05,0.000790335937693358,0.00481368437861259
DEL,repeats,3,1,0.00501131917063952,0.00490504219463429,0.00512824698529533,0.00466390834652875,0.00396808438479949,0.00513244751548936,0.00496787364469674,0.00240186499698573,0.00482573833886905,2.2056683029191e-05,0.00532738923325572,0.0975714670650622
DEL,repeats,3,2,0.0023144360590485,0.000210459351063481,0.00121871047357188,0.000612296488958949,0.000393594755107729,0.00179174560185761,0.00210113295483816,6.35117310873431e-06,0.00254813061149973,1.59012886755199e-05,0.00132359444774691,0.0222092649324875
DEL,repeats,3,3,0.000498814242705884,5.78517761234994e-07,0.000492744864907855,0.000186705312803175,1.36200522665472e-06,0.000325285693064324,8.61693923990667e-06,2.50031465770619e-06,1.40744560154939e-05,5.56465056020124e-06,0.000672225314838036,0.00407156098939654
DEL,repeats,3,4,4.75246264609471e-07,3.23311051102931e-07,1.93455291809291e-06,0.00564858988739865,1.43947800870821e-06,3.22332085690091e-06,2.31550873409658e-06,3.09920544405169e-06,5.59917375798725e-06,0.000360189325603551,3.56950970945787e-05,5.52391129553437e-05
DEL,repeats,3,5+,4.61558230064713e-07,3.50020398146492e-07,2.05443978638217e-06,0.00826383326419309,1.59867651303665e-06,3.12803122442864e-06,2.74456208368914e-06,3.78577929340829e-06,5.19109500623776e-06,0.000663873506791819,3.480545314659e-05,0.000162172537602879
DEL,repeats,4,0,2.64567428502863e-05,3.459973325604e-06,8.59716563389969e-05,0.0105278131984351,0.00415078772143869,6.41513981957738e-06,7.93057752025781e-06,0.00176796414835069,9.94369576964329e-06,2.98997576809308e-05,8.96678612393014e-05,0.00735215197576459
DEL,repeats,4,1,0.00214511908787687,0.000674661752737202,0.00116740264909926,0.00232220472453853,0.0025124011872897,0.0016491884035684,0.0017533159314504,0.00311285685835568,0.00208911509284456,1.57445600226775e-05,0.000707044029605359,0.0635421479443996
DEL,repeats,4,2,0.000607656675206062,4.46792766981129e-07,7.01407374075869e-05,8.82726080307893e-07,0.000126745732396385,0.000144928661094501,7.67085180491248e-06,3.20299896470564e-06,2.00287808984393e-05,6.06039052335677e-06,0.000805148310332455,0.0154518686833933
DEL,repeats,4,3,3.85448198646588e-06,3.69037320252186e-07,2.1192925583051e-06,0.00369420231271286,3.0134476832728e-06,6.28482203125113e-06,1.34098326216968e-05,4.96643504449079e-06,1.299217778844e-05,2.98824281390569e-05,3.07862112275983e-05,0.00379852886974193
DEL,repeats,4,4,5.0607940946601e-07,2.98477475974438e-07,1.80918188786024e-06,0.00449263227954988,1.50700778691427e-06,2.55118667346704e-06,2.47118936326787e-06,4.12862332099558e-06,4.87428588511677e-06,5.16583751056777e-05,3.40174929846408e-05,6.06266393215685e-05
DEL,repeats,4,5+,0.000243196812977241,5.32340369546069e-07,3.06371801645344e-05,0.00114146529335909,1.56684226617882e-06,1.26853063500034e-05,6.58435598925046e-06,2.69694874840979e-06,1.07538873210857e-05,6.02093048330021e-06,4.13590601177472e-05,0.000140133728407094
DEL,repeats,5+,0,2.13412066433685e-05,5.84566972002049e-07,4.75065459955188e-06,0.0437105024685523,0.135728382844196,7.11648957446904e-06,1.81392968876953e-05,0.00831840159142212,2.14328252354296e-05,0.00906628382972489,0.00264201574807965,0.00514522485841445
DEL,repeats,5+,1,0.00304283620815913,5.19492051390675e-07,0.000755308459972324,0.00012744534653286,0.00398438381959015,0.00183418997403678,0.00186197799301178,2.53148231202681e-06,0.00244055640410202,5.07294544247666e-06,0.00109419908391449,0.0160316797574849
DEL,repeats,5+,2,0.000476086834051617,4.57503550168669e-07,0.000145909321003624,7.21375291067335e-05,0.000112296565692446,0.000114435538964504,6.23057524204111e-06,2.71140443641053e-06,1.20643702808178e-05,5.0483378311893e-06,0.000201654665798393,0.00200893521697349
DEL,repeats,5+,3,0.000179210321829383,4.08960512866263e-07,1.63768026582794e-05,1.21427569774374e-06,1.20539570777422e-06,6.51125265344296e-06,5.99452792247425e-06,2.12707605127422e-06,7.16484088129576e-06,4.32007162123755e-06,4.89744152118055e-05,0.000658347775007619
DEL,repeats,5+,4,9.20813520765079e-05,4.36962256838636e-07,3.81399213934105e-06,8.47057982597185e-07,1.18926873672917e-06,4.48023548908258e-06,6.24926919794744e-06,2.20171889345183e-06,8.14057166993218e-06,4.02770360570218e-06,2.20705103677539e-05,6.15381814237573e-05
DEL,repeats,5+,5+,2.77838301367151e-05,5.16634494269731e-07,1.6002754231626e-05,9.4029776400601e-05,1.17313993599038e-06,4.37129180244314e-06,5.30444516214096e-06,2.05169661851211e-06,8.38303069081896e-06,4.4359874621249e-06,5.13867769969793e-05,5.19164919585792e-05
