Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID5 0.989),hdp.2 (ID6 0.999),hdp.3 (ID4 0.99),hdp.4 (False Positive) (ID5 0.514),hdp.5 (ID13 0.998),hdp.6 (ID1 1),hdp.7 (False Positive) (ID5 0.929),hdp.8 (ID9 1),hdp.9 (ID2 1),hdp.10 (ID14 0.978),hdp.11 (ID3 0.979),hdp.12 (ID8 0.988),hdp.13 (ID11 0.974)
INS,C,1,3,0.000458429996299313,8.95494041870691e-05,0.000870413517735471,0.00309096689474834,0.000382643304571579,0.000837066812462324,0.000194245169696695,0.000231738181001851,0.000302450077189612,0.000918662538134249,0.00581522742092204,0.00023353463801757,0.0261519316855433
INS,C,1,4,0.00014236818839985,0.000448070992731657,6.99312326315167e-05,0.00247091050232603,0.000308969918302643,0.00150424554491492,0.000234346184709072,0.000377412680047937,0.00235664084523331,0.000898050487396325,0.00813436015998368,0.000237840539499087,0.00773985274075181
INS,C,1,5+,0.000195827523123818,0.000395461572697327,0.000876846600207239,0.00200686371139162,0.00103063652913463,0.0206515326018463,0.000348179348519706,0.000949218674483991,0.00747018941628882,0.00185601394905811,0.0104563348447055,0.00104576923136453,0.00130021556789945
INS,T,1,0,0.00541119905961446,0.00698995788222661,0.00376778522347011,0.00435859823737593,0.0395311456521833,0.00223382468334578,0.00473035370149495,0.013795292526244,0.00110056792635801,0.0396234101034991,0.0182451717289608,0.00456542924031772,0.00432431022681216
INS,T,1,1,0.0136359468277559,0.00130950120006353,0.00119761432829849,0.00118212471282394,0.00481474742865078,2.02645588844747e-05,0.0145373550447499,0.0106335034612197,7.94566616417355e-06,0.00372530610758712,0.0420386620293692,0.00346371629915969,0.2040923486205
INS,T,1,2,0.0319460786361876,0.000709980591929589,0.000322715112138029,0.00229591522918941,0.0055308778890695,0.000108946132919478,0.0250976535394351,0.00246946017956152,0.000460289661802249,0.0018102901632917,0.0463241632408047,0.00198515995628109,0.131890923157451
INS,T,1,3,0.0211534740268126,0.000796992217045553,0.000839926884727301,0.00321330714969818,0.0116995284173237,0.00329738810957522,0.021485390677916,0.00186342390087006,0.00101957250245932,0.000448661772267739,0.0249087796341914,0.000848035193313814,0.0833910155053681
INS,T,1,4,0.011181085071836,0.000999658173758025,0.000987740048995108,0.0062162075488026,0.0120757432981553,0.0140646109857737,0.011403163474454,0.00409791685466364,0.00338233839519876,0.00547570170023009,0.00612363822979379,0.000752425108288104,0.0421084950253841
INS,T,1,5+,0.000943314857488114,0.0158330704362201,0.00399828834343453,0.00540334348343842,0.0281855151430545,0.904379850701145,0.000729355528744263,0.00458696050395702,0.0129421345863668,0.141925609618194,0.03088285987657,0.0120023152692893,0.011170722436027
DEL,repeats,2,0,0.0279314031833832,0.00104961822443585,0.0888253838743869,0.00184644545206769,0.0230865076835684,0.000580626098085959,0.0255684981614317,0.0148905411356718,0.000121918288990859,0.000798514526310551,0.00979311070244304,0.00906097010522633,0.0128670038045495
DEL,repeats,2,1,0.0244921353972782,0.00158351654538363,0.190157781353145,0.0439550296990657,0.00468459719659077,0.000820247909326693,0.0242011047311258,0.0039006981261052,0.00283947428204071,0.00638611941806917,0.00992385453194972,0.010068987510399,0.0064478615140568
DEL,repeats,2,2,0.00471036047033862,0.00220367055725597,0.0460577278229152,0.00910818042816174,0.00286466379424956,0.000666371171457063,0.0043718724122799,0.000476904609734306,0.00159866740062074,0.00224097160201395,0.0120577688360349,0.000724180008365479,0.00186773909143944
DEL,repeats,2,3,0.000254391211236153,0.000602191575610194,0.0121194707488277,0.00160329375093373,8.55771236044338e-05,0.00025125218160598,0.000478661848333079,0.000159205160509942,0.000823379130427227,0.000196541424871132,0.00661925922379376,0.000114099053823262,0.000419793244899968
DEL,repeats,2,4,0.000869450413798999,0.000189775478905908,0.00320542100146521,0.00155831833026778,0.000111909326211154,5.84838284017632e-05,0.000712124384625821,0.000230280291387313,0.0007455291292231,0.00029163291251654,0.00298703295662046,0.000220719629690125,0.000352019395723347
DEL,repeats,2,5+,0.0224095756209421,0.000166265925553585,0.00207479668437586,0.000769879651462889,0.000597853547285336,3.42793789790295e-06,0.0233206234507035,0.000217761718581483,1.29322348737244e-06,2.48080753524309e-05,0.000101359544294061,0.000717721156143204,0.0127819456447133
DEL,repeats,3,0,0.0182458731466916,0.00101931246273424,0.00508343788547292,0.000806855491377981,0.00410877671679269,4.70250414351061e-05,0.0157204027923202,0.00212920561167256,1.54168345774858e-05,0.00168603814493715,0.00113740874613983,0.0115982280547879,0.00672757707587595
