Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K
DEL,repeats,5+,3,8.001e-05,2.43e-06,0.00052675,0.00028761,8.1e-07,7.11e-06,0.0001823,6.79e-05,5.91e-05,0.00092765,6.397e-05
DEL,repeats,5+,4,3.769e-05,9.4e-07,0.00045105,5.496e-05,0,2.7e-05,7.361e-05,4.735e-05,2.034e-05,9.496e-05,1.534e-05
DEL,repeats,5+,5+,4.19e-05,1.052e-05,7.796e-05,0.00086824,0,5.22e-06,0,3.952e-05,0.00038287,0.00012008,3.55e-05
INS,repeats,2,0,0.00013238,0.0005036,0.00170651,0.00627123,0.00183308,0.00227232,0.00195002,0.00077942,0.01128249,0.00082618,0.02622111
INS,repeats,2,1,0.00023235,3.98e-06,0.00083689,0.02709874,0.00131129,0.00272979,4.521e-05,0.00119222,0.00651737,0.00033731,1.78e-06
INS,repeats,2,2,0.00081437,0.000152,0.00276913,0.01040619,0.00021109,0.0012366,0.00043249,0.0003702,0.0019137,1.679e-05,0.00113785
INS,repeats,2,3,0.00031313,0.00036061,0.00211261,0.00136143,0.00032732,0.00086963,0.00036793,0.00033135,0.00108922,0.00025819,0.00101108
INS,repeats,2,4,0.00144228,0.00198296,0.01123562,7.2e-06,2.871e-05,0.00024647,3.622e-05,5.259e-05,0.00016308,0.00026102,0.00376704
INS,repeats,2,5+,0.00854727,0.01017133,0.10921751,0.00024707,0.00024285,0,4.09e-06,2.76e-06,0.00238197,0.00270868,7.956e-05
INS,repeats,3,0,1.139e-05,4.371e-05,0.00033069,0.00571585,0.00035549,0.00012804,0.00098338,0.00053397,0.00106341,0.00014294,0.00784984
INS,repeats,3,1,0.00074598,0.00021835,0.00458814,0.00742197,0.00038673,0.00032245,4.731e-05,0.00050576,0.00526327,0.00046787,0.00291683
INS,repeats,3,2,0.00012483,2.584e-05,0.00065742,0.00188334,3.92e-06,8.814e-05,0.00082681,0,0.00045537,0.0011165,0.00026707
INS,repeats,3,3,1.335e-05,0.00014426,0.00019327,5e-07,1.73e-05,1.83e-06,0.00031133,1.512e-05,0.00011127,1.003e-05,0.00026828
INS,repeats,3,4,8.227e-05,8.296e-05,0.00057418,1.615e-05,8.984e-05,1.843e-05,0.00015871,3.845e-05,1.08e-06,0.00013724,0.00087535
INS,repeats,3,5+,0.00155399,0.00072056,0.00830908,9.43e-06,4.175e-05,9.2e-07,0,0,0.00011354,0.00016116,0.00205125
INS,repeats,4,0,2.024e-05,4.3e-07,6.568e-05,0.00296169,0.00065827,6.311e-05,0.00167731,3.51e-06,0.00229491,0.00049612,0.00529388
INS,repeats,4,1,0.00065659,0.00038616,0.00691962,0.00387775,0.00074437,1.498e-05,0.00064185,0.00088074,0.00524112,0.00176273,0.00199686
INS,repeats,4,2,2.6e-06,4.142e-05,0.00010133,0.00041274,0.00013138,0.00011024,0.00042573,2.92e-05,0.00017616,3.722e-05,5.952e-05
INS,repeats,4,3,0.0002611,5.035e-05,0.00017752,2.26e-06,0,2.11e-06,0.00040032,1.18e-06,4.84e-06,7.759e-05,0.00082034
INS,repeats,4,4,9.888e-05,0.00033951,0.00095123,1.92e-06,0.00010216,4.9e-07,3.72e-06,0.00014228,2.605e-05,0.00027534,0.00146089
INS,repeats,4,5+,0.00152964,0.00053013,0.00886731,0.00062094,0.00093907,2.44e-06,2.552e-05,2e-07,0.00082184,0.00020366,0.00015906
INS,repeats,5+,0,0,2e-08,0.00016864,0.00485014,7.66e-06,0.00017998,0.00887404,0,0.00470092,6.539e-05,0.00278851
INS,repeats,5+,1,1.294e-05,0.00167707,0.00173531,0.00184208,0.01141391,0.0002803,0.00577896,0.00113782,0.01533575,0.0021646,0.02513535
INS,repeats,5+,2,3.39e-06,0.00021898,0.0004055,0.00035195,1.288e-05,4.42e-06,0.00132626,1.244e-05,0.00029724,5.035e-05,0.00050837
INS,repeats,5+,3,6.359e-05,0.00018504,0.00071713,0.00027635,3.663e-05,4.954e-05,6.064e-05,0.00012701,1.535e-05,3.949e-05,9.797e-05
INS,repeats,5+,4,5.51e-06,0.00019019,0.00026558,0.00024024,1.696e-05,1.219e-05,1.987e-05,0.00010745,4.809e-05,1.691e-05,1.979e-05
INS,repeats,5+,5+,4.851e-05,0.00015562,0.00055562,0.00086523,0.00037699,5.769e-05,9.1e-07,3.73e-06,0.00021437,1.311e-05,0
DEL,MH,2,1,2.23e-06,6.5e-06,0.00060761,0.02608712,0.00018731,0.00963299,4.28e-06,0.00016191,0.01319303,0.21185291,0.00230594
DEL,MH,3,1,1.06e-06,8.3e-07,0.00036609,0.01652984,0.0117196,0.00099781,0.00081486,0.00153291,0.00751081,0.00637091,0.00123409
DEL,MH,3,2,0.00150012,0.00086792,0.01455511,0.01013009,0.00312631,0.00048768,0.00384607,0.00027734,0.00169261,0.04320532,0.00347635
DEL,MH,4,1,2.64e-05,3.151e-05,0.00061938,0.01190847,0.00551703,9.666e-05,0.0025221,0.00197506,0.00296599,0.01274356,4.118e-05
DEL,MH,4,2,0.00046513,2.823e-05,0.00088881,0.00656247,0.00082236,0.00019108,0.00960275,0.00165782,0.0011183,0.03133995,0.00066763
DEL,MH,4,3,0.00037788,0,0.00176831,0.00217528,5.396e-05,1.7e-07,0.00494058,0.00112332,0.00012566,0.04895422,0.00155599
DEL,MH,5+,1,0.00055241,0,0.00018622,7.859e-05,0.35353375,4.917e-05,0.06519432,3.749e-05,0.00037501,0.00017867,0.00155883
DEL,MH,5+,2,1e-08,1e-08,8.465e-05,0.00154343,0.11934551,0.00116238,0.27159171,2.781e-05,0.0032761,4.2e-07,0.00141412
DEL,MH,5+,3,0,1e-08,9.989e-05,0.00468238,0.02163855,0.0005604,0.24573808,1.048e-05,0.00040017,0.00028083,2.324e-05
DEL,MH,5+,4,0.00037145,9e-08,0.00038407,0.0006249,0.0001472,0.0010839,0.14000998,1.158e-05,0,0.00337769,9.99e-06
DEL,MH,5+,5+,0.00205465,0.00021296,0.00478612,3.25e-06,0.00048901,0,0.11305876,0,0.0062317,0.0003292,0.00073526
