Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.953),ID83D (ID8 0.988),ID83E (ID3 0.992),ID83F (ID6 0.998),ID83G (ID9 0.993),ID83H (ID4 0.991),ID83I (ID14 1)
INS,repeats,4,2,1.337e-05,5.344e-05,0.00022747,2.584e-05,0.00014193,0.000574,4.047e-05,4.8e-06,8.345e-05
INS,repeats,4,3,9.59e-05,0.00015927,0,4.645e-05,1.895e-05,0.0002828,4.806e-05,2.59e-06,0.00094069
INS,repeats,4,4,0.00028793,0.00028804,2.823e-05,9.015e-05,0,0.00011464,1.296e-05,4.648e-05,0.00200701
INS,repeats,4,5+,0.00215441,0.00089504,0.00058368,0.00145876,2.645e-05,7.94e-05,0.00058973,7.5e-07,0.0002148
INS,repeats,5+,0,0,2e-08,0.00527294,0.0002187,5.303e-05,0.00846136,0.00027349,7.147e-05,0.00334106
INS,repeats,5+,1,0.0001271,0.00129404,0.00654793,0.00972265,0.00039811,0.00511444,0.00165715,0.00186108,0.02827157
INS,repeats,5+,2,2.59e-06,0.00027058,0.00024268,2.951e-05,2.234e-05,0.00161197,1.785e-05,0.00020546,0.00053634
INS,repeats,5+,3,8.997e-05,0.00025351,0.00014707,0.00025013,1.818e-05,9.61e-06,0.00015646,0,0.00012964
INS,repeats,5+,4,4.38e-06,0.00029067,0.00011397,6.607e-05,3.781e-05,1.63e-05,7.695e-05,6.403e-05,0.00019536
INS,repeats,5+,5+,9.637e-05,0.00016969,0.00043323,0.00016167,6.32e-06,8.65e-05,0.00012182,0.00045802,1.78e-06
DEL,MH,2,1,0.00011094,0.00041216,0.02179308,0.00138793,0.00690482,3.19e-05,0.00121293,0.18449875,0.00239567
DEL,MH,3,1,1.8e-06,2.04e-05,0.01445697,0.00997752,0.00024973,0.00135957,0.00180897,0.0057649,0.00149971
DEL,MH,3,2,0.00292314,0.0011079,0.00625139,0.00432664,0.00030644,0.00377749,0.00120351,0.0483862,0.00392303
DEL,MH,4,1,0.0001246,7.618e-05,0.00905845,0.00631109,0.00016207,0.00252625,0.00139117,0.00906962,5.311e-05
DEL,MH,4,2,0.00054278,7.439e-05,0.00445968,0.00061628,0.00022247,0.00760137,0.00277489,0.03027559,0.00092762
DEL,MH,4,3,0.00068,5.91e-06,0.00172599,3.735e-05,0,0.00483265,0.00115074,0.04305543,0.00212727
DEL,MH,5+,1,0.00049341,0,0.00612504,0.28432222,0.00097214,0.08427103,9.96e-06,0.00012912,0.00127087
DEL,MH,5+,2,2.88e-06,0,0.00164811,0.09460942,0.00136401,0.26795906,9.329e-05,1.223e-05,0.00140681
DEL,MH,5+,3,0,0,0.00276896,0.01885914,0.00116678,0.22035515,0.00023509,0.00066321,0.00048185
DEL,MH,5+,4,0.00044525,0,0.00020709,0.00085759,0.00035359,0.12415613,0.00010385,0.00263495,1.16e-06
DEL,MH,5+,5+,0.00230855,0.0004096,0.00069573,0.00083483,0,0.10289918,0.00017799,0.00116734,0.00097699
