Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID2 1),W.2 (ID6 0.996),W.3 (ID9 0.994),W.4 (ID5 0.993),W.5 (ID8 0.998),W.6 (ID1 1),W.7 (ID11 0.998),W.8 (ID13 0.984),W.9 (ID3 0.991),W.10 (ID4 1),W.11 (False Positive) (ID14 0.888)
DEL,T,1,4,0.0471402796787058,0.017806808031085,0.105010676516732,0.0571855536340958,8.46703534620922e-22,0.0043181705317066,0.000242946071190271,2.20783442310691e-16,0.00861750752504118,4.41105688321453e-123,0.00911968971773196
DEL,T,1,5+,0.815044543199545,1.11242370972e-10,5.15807591270194e-44,0.0316419968848685,0.0111170551481531,3.09883233380495e-20,9.87696902120821e-79,2.14818016187907e-51,0.00858722369701166,1.65815871426466e-78,1.9740344949655e-130
INS,C,1,0,0,8.74062049313177e-213,0,0,0,0,0,0,0,0,0.702682679441903
INS,C,1,1,0.000209421051793277,0.00190660984237181,0,0,9.25878158925492e-71,0,0.177691159098747,2.25782405637109e-91,4.88306436484256e-264,1.81391962750834e-163,0.0179517337059681
INS,C,1,2,1.93386334316997e-05,0,0,0.00298714667028255,1.02699039249316e-254,0,0.100077992927673,1.54913509709119e-189,0.000855074434653423,0,0
INS,C,1,3,0.000478522687272876,0,0,0,0,0.000606847294478991,0.0376274424393481,0,0.00672394655250086,0.000214915442249084,0.00193477717899519
INS,C,1,4,0.00293141254862638,0.000158167767485603,0,0,0,0.00173637697524141,0.0118879193951836,0,0.00826089456715571,0,0.00111314454050899
INS,C,1,5+,0.00904765520774031,7.77970219004194e-289,2.00773683216224e-66,0.000352985607084379,2.2246436662897e-105,0.0244062029109986,0.00145904870737585,0.000152063185744353,0.00769767553000288,7.73996190624838e-05,0
INS,T,1,0,0.00132467249713039,0.00634796613090213,0.0103600735489085,0.00446782674527125,0.00331486879372921,0.00231008930246801,0.000380686961240307,0.0555757234062006,0.019293256005866,1.16437093086712e-43,0.0489357847047007
INS,T,1,1,0,9.02718723181011e-74,0.0112701163081883,0.0121348241407387,0.00239926784913851,0,0.32779818012064,2.66288440013857e-111,0.0451144671788464,4.25108547173855e-192,0.00104654120159956
INS,T,1,2,0.000672739826485503,0.000101586979154647,0.000490921272768575,0.0305849152990157,1.25566217196784e-269,6.68915635874117e-05,0.169506951856342,7.11758836115891e-73,0.0451037884404589,0,0.00104405499601152
INS,T,1,3,0.00108825406220922,0.000577812122825934,0.000406494479994029,0.0189536082258562,4.77990731290878e-35,0.00426484429416033,0.112526164315921,0.00976471893781237,0.0276263798143607,1.66880539451272e-308,0
INS,T,1,4,0.00348597982429805,0.00102622658328737,2.73111668887912e-18,0.0113077363143888,8.95170752887631e-39,0.0168502474550841,0.050346987102367,0.0148304639866247,0.0061212108547803,2.54970461719161e-158,8.57409173420465e-126
INS,T,1,5+,0.00316298033506145,3.88839297621913e-13,5.80523160777202e-23,3.83302703940421e-08,4.92691153437787e-06,0.900552260062002,1.82557768862201e-89,5.60912394538831e-55,1.94266959685963e-12,2.12549632754483e-70,3.38272852740806e-96
DEL,repeats,2,0,0.000106036790790267,0.000816112120469889,0.0120818955826454,0.0291759049233362,0.00937129447443824,0.000172017780383313,0,0.0254992608431842,0.00640030584577516,0.0745223606978884,0
DEL,repeats,2,1,0.00330578096242481,0.00123751044844117,0.000375799321266782,0.0255652504378094,0.0118909277875762,0.000107557793634071,0.00203677665123849,0.00290405532604686,0.0100937152176129,0.237052219221014,0.00561320149123991
DEL,repeats,2,2,0.00184230548288349,0.00232425118046856,0,0.00468465761642414,3.25873551782936e-185,1.80292494655579e-17,0,0.00379058406317399,0.013981643843085,0.0577496289880221,0.00310825691567645
DEL,repeats,2,3,0.000779327539057406,0.000199143391073738,0,0,0,0.000101980379941607,0,0,0.00812949089848359,0.0141859086956266,0.000680052654835074
DEL,repeats,2,4,0.000865173211828218,0,0,0.000838867298212003,0,0,0,0,0.00378513334271131,0.00275715940123746,0
DEL,repeats,2,5+,0,0,0,0.0268066041261664,0,0,0.00393011453685942,0,0,7.41106344652767e-114,0
DEL,repeats,3,0,1.18791363784354e-05,2.42797726692595e-20,0.00190242961829956,0.0184620123252911,0.0122244961030698,7.05851555067812e-05,0,0.00115038079700969,0.000325025235655381,0.00476406066803015,0.00114062550425314
DEL,repeats,3,1,0.00487041361647276,0.00560175424886581,0.00381934191264015,0.00612929232044403,0.0015521300963901,0.00469072276248962,1.35541452294604e-09,3.10886044776015e-07,4.36827855698071e-15,0.100559239405886,0.00344893012321018
DEL,repeats,3,2,0.00234966615074864,0.000760442774419908,3.28746133868293e-106,0.000676075765416139,0,0.000421610945546097,3.38661598484279e-19,0.000683413846039592,0,0.0238095650013,0.00103744408845122
DEL,repeats,3,3,0.000454538454058146,0,0,0.000216910463900882,0,0.000108816640901517,0,0,0,0.00448914901372992,0.000564022093843153
DEL,repeats,3,4,0,0,0,0.00713595850371003,0,0,0.00054255071520488,0,0,0,0
DEL,repeats,3,5+,0,0,0,0.0104631001194186,0,0,0.00102949245536057,0,0,0,0
DEL,repeats,4,0,8.42693350653978e-06,0.00205760029615821,0.000345716365162921,0.0116783467458656,0.00743617478248357,2.70558962076728e-05,0,0.00110461551005088,6.33084560722197e-25,0.00755645092295926,0
DEL,repeats,4,1,0.00206760985747348,0.00290051084189995,0.00387993493568654,0.00280147628745073,0.00196365106890502,0.000498266849074537,0.00016133167852329,0,0.000515893019896806,0.0660061112167763,0
DEL,repeats,4,2,0.000472636302773012,0.000293863825581145,0,0,0,0,0,0,0,0.0152746019469568,0.000436604309068723
DEL,repeats,4,3,5.08529419522595e-07,0,0,0.00463849951038639,0,0,0,0,0,0.00333559698408264,0
DEL,repeats,4,4,0,0,0,0.00563143519534402,0,0,1.87897541783102e-05,0,0,0,0
DEL,repeats,4,5+,0.000202166267058266,0,0,0.00140793235565032,0,0,0,0,0,0.000178126688311529,0
DEL,repeats,5+,0,7.59134734749374e-303,5.88464929015756e-36,6.34858404280276e-148,0.0124895559126615,0.260495044286263,0,0.000829284039606643,0.00630897237521069,0.000229506311170219,0.00147814549404866,3.55608197351331e-46
DEL,repeats,5+,1,0.00298758868406081,0.00871383556418718,0,0,0,4.47110683307789e-243,0,0.00320990381831523,0,0.0172154210898357,0.000445652803400824
DEL,repeats,5+,2,0.0004108912795606,0.000276638257003869,0,8.48798410819723e-05,0,0,0,0,0,0.00221149473342722,0
DEL,repeats,5+,3,0.000143900906545542,0,0,0,0,0,0,0,0,0.000677948723276688,0
DEL,repeats,5+,4,7.46001710065315e-05,0,0,0,0,0,0,0,0,4.02995444622119e-05,0
DEL,repeats,5+,5+,2.56587898331727e-05,0,0,0.000120712053141626,0,1.85941130955542e-06,0,0,0,4.04243235893355e-05,4.01321619674906e-05
INS,repeats,2,0,0.000350279178055924,0.00210756260706901,6.46413171387887e-203,0.00669622807933076,0.00151928126245162,0.000292237589453439,0,0.0138711496638559,0.00250234527011976,3.08285554269016e-135,0.0377981316161213
INS,repeats,2,1,0.000262446485894629,0,0.000996756051565009,0.0204600173877809,0.00126711350859958,0,0,0.000339058807062519,0.00261113221359421,0,0
INS,repeats,2,2,0.00107053631723981,0.000752327967383874,0,0.00823959848532196,0,6.29350771553111e-05,0,0.000135053592492938,0.00109559476941155,0,0.0021627093801662
INS,repeats,2,3,0.000428413790361549,0.000361544875809481,0,0.00114853984021476,0,0.00028966112527206,0,0.000745393176352035,0.00101969437387539,1.00501219705054e-121,0.00126368531558788
INS,repeats,2,4,0.00200580125621898,0,0,0,0,0.00278898272268842,0,0,8.67338843735079e-121,0,0.00306827095861061
INS,repeats,2,5+,0.0136835649359952,0.000352212523585017,2.05274772958476e-78,0.00130642020456078,0.00122452712154265,0.0180904040145453,9.55488590626729e-197,4.8014869180655e-63,0,4.38054140069708e-05,0
INS,repeats,3,0,5.47215901493207e-05,0.00145963869273874,0,0.00460173471286348,0,0,0,0,1.19953222137168e-188,0,0.0107626719557311
INS,repeats,3,1,0.00126017740517066,0.000121673268055775,0,0.0071401541497072,4.20521772116669e-178,0.000120334065773102,0,0.00409052812288692,0.00012867960627226,1.6688053938804e-308,0.00478313520619199
INS,repeats,3,2,0.000208104642920882,0.000717139607682417,0,0.000774217036595988,0,0,0,0,0,0.00034801911897359,0.00027021189929778
INS,repeats,3,3,1.93806322032408e-05,8.17354377443774e-06,0,0,0,6.77902124413658e-05,0,0,0,0,0.000280713346401598
INS,repeats,3,4,0.000151903533177911,0,0,0,0,6.74470352093537e-36,0,0,0,0,0.000654006601286287
INS,repeats,3,5+,0.00200655632334112,0,0,0,0,0.000754843733282785,0,0,0,6.65693934202617e-06,0.00300043338289815
INS,repeats,4,0,1.31341079140536e-05,0.00171641319066572,0,0.00288062161365293,0,0,0,0.00121334375341368,0,0,0.00977373554232832
INS,repeats,4,1,0.00121094698441875,0.000467741489619992,0,0.0041767259422043,0.000840594452860202,0.000703923236672367,3.69119130267194e-228,0.00289554026203386,7.76338382093512e-05,0.00120324515024872,0.00265205503457708
INS,repeats,4,2,2.09833274205871e-05,0.000291226713581773,0,1.31699740361587e-05,0,3.11867877676194e-05,0,0,0,6.34951298994233e-05,1.85199298822371e-123
INS,repeats,4,3,0.000159476188225924,8.68546606271138e-06,0,0,0,2.01176477135938e-05,0,0,0,0,0.00114572638148413
INS,repeats,4,4,0.000299662152391228,0,0,0,0,6.24903796157419e-05,0,0,0,4.05886566976173e-05,0.00256288040425568
INS,repeats,4,5+,0.00224550123120857,0,0,0.000615889789397361,0.000256798274323096,0.000871720527909427,0,0,0,1.87248946895548e-05,6.81576254281286e-05
INS,repeats,5+,0,0,0.00999043980432818,0,0.00545684096521705,0,0,1.66880891018469e-308,0.00203809322523568,7.77828114695681e-234,0,0.00500238988693966
INS,repeats,5+,1,0.000119602320336596,0.00519455531915678,9.18373773646165e-22,0.0050546074492031,0.00969757529821278,0.00152389488551942,0.000939939174471514,0.0178869702687547,6.64067921942494e-12,0.00196871639863918,0.0471737698510093
INS,repeats,5+,2,2.76636023003975e-05,0.00142737954720409,0,0,0,0.000129151129749706,0,0,0,0.00011335617485073,0.00081149196141335
INS,repeats,5+,3,0.000131293985742748,0,0,0,0,6.2183623741542e-05,0,0,0,0,0
INS,repeats,5+,4,2.60946440191834e-05,0,0,0,0,0.000115798465077534,0,0,0,0,3.61793867161655e-05
INS,repeats,5+,5+,0.000136921185336329,0,0,0.000172109488819321,0,1.66936911380529e-05,0,0,0,8.42375198922798e-05,0
DEL,MH,2,1,5.27116825158942e-34,2.86544711265438e-229,0.000838624415766504,0.0302331577413189,0.00599742950280254,4.50721002052829e-05,1.66881386025532e-308,0.00934347898543303,0.00803292169140705,0.196953309145888,0.00111533708099541
DEL,MH,3,1,0,7.84979958013759e-05,0.00235975176968402,0.0142258308773285,0.0102620360698334,1.43531530666665e-05,0,4.98017400237513e-72,6.28642448055664e-05,0.00685281496616668,0.00198612086206554
DEL,MH,3,2,0.00288256421314523,0.00460317087444693,0.000519084399857851,0.00963572814241228,0.00490387665967491,0.0012664548419103,0.000223250798095501,7.23988458661556e-155,0.000214817067506602,0.051129115795533,0.0032580604307389
DEL,MH,4,1,0.000133566269960865,0.00264153182629798,0.000922636806996949,0.00944811979382945,0.00643897982666429,1.51986579567748e-178,0,0.000345386188428297,9.27086587214544e-90,0.0112625249522872,0
DEL,MH,4,2,0.000496615676764651,0.0100924310572762,0.00267382299666247,0.00670745220455521,0.00102690227081564,2.34114536740642e-302,0,1.66880539388041e-308,3.49708605268129e-05,0.0304713676888821,0.000691921226501214
DEL,MH,4,3,0.000596019501333826,0.00548215624535991,0.00120760575407795,0.00379327722401999,0.000868979609281506,0,0.000331920903643259,1.01666182538265e-179,5.67945946019921e-05,0.0507147338654727,0.00241082393853486
DEL,MH,5+,1,0.000555535069357209,0.0551392796451053,5.72397255763617e-235,2.08824558221106e-19,0.306265276663156,1.26206635828116e-170,0,7.3388176318058e-131,4.47491010011914e-71,0,1.3864704243221e-186
DEL,MH,5+,2,3.46729620592095e-05,0.279469405355795,6.56027282373737e-230,0.00240484298755947,0.134529984668582,3.50815148275807e-195,0,3.08553230415935e-55,0.000966075502165187,0,0.00167585246282649
DEL,MH,5+,3,2.42401682578153e-168,0.24501654732318,1.45443252277672e-243,0.00470722085419793,0.0496116162504076,0,0,2.10378559161959e-133,0.000553759940138893,5.37369864205815e-127,0.000143634137950288
DEL,MH,5+,4,0.000418674896674947,0.137347144024544,1.14564995728597e-261,0.000908848047106785,0.0176431684658069,4.45204294661054e-236,0,4.42491831852774e-264,0.000531459184277693,0.00315404254425103,0
DEL,MH,5+,5+,0.00237760627668476,0.113206944209447,0,2.96010106090027e-237,0.0126918492162652,0.000545432423741231,0.000169314292044951,0.0150916500545233,9.61735517176052e-293,4.33561382526725e-287,0.000692264683433747
