Type,Subtype,Indel_size,Repeat_MH_size,hdp.0,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13
DEL,repeats,2,1,0.0497689196439945,0.00356449315253439,0.00140776205249182,0.0246730887357095,0.0103627498765158,0.00857936707081627,0.00240423849844275,0.00337232819314744,0.00709743280617554,0.00448345558165082,0.227865820511373,0.00166827051014792,0.00350798198508574,0.00621902448146569
DEL,repeats,2,2,0.0173659739772178,0.00184667904659856,0.000439401274834377,0.00475901277512192,0.000150466650559324,0.0119529368528928,0.00233706521676441,0.00029404276078974,0.00291633093774212,0.00318371223338351,0.0549502238018061,0.000120517010993788,0.00223818393455308,0.00460331464646534
DEL,repeats,2,3,0.0159154049658551,0.000701721944528577,0.000339163588933198,3.15428032748205e-05,8.85373780311195e-06,0.00724924264615571,0.000405198952943072,2.48190196511415e-05,0.000678355903512828,2.78109595504913e-06,0.0134641736987707,0.00010361538129046,0.000108950560954652,0.000570600467158963
DEL,repeats,2,4,0.01142266632172,0.000821974568483948,7.02578951417693e-05,0.000571963806754074,9.81321113801395e-06,0.00352689704566804,3.77989888842325e-05,1.80115912271827e-05,0.000116692310088966,1.18215229294339e-05,0.00279749838211011,6.75459899210812e-05,0.0149288256878646,0.00056972533305046
DEL,repeats,2,5+,0.00804940525407816,5.49265713493317e-05,4.10678019534465e-06,0.021832188430618,5.66700395228269e-05,0.000157946420647432,3.21648977460764e-05,2.7966063923309e-05,1.60446486264754e-05,0.000565206375755733,0.00146735763062766,0.00449577948471617,0.242001611085579,0.000692435894333285
DEL,repeats,3,0,0.00923402176745628,6.47266460259446e-05,8.34359201588544e-05,0.0172735353160681,0.0112780892806145,0.000599948960596736,0.000986148186667326,0.00215161791656431,0.00125747455740173,0.00311025905495332,0.00488673221773863,0.000134250027810456,0.00835562507346825,0.000931764833661926
DEL,repeats,3,1,0.0259615257644645,0.00501307615848695,0.00507000045429105,0.00581608970452094,0.0013888445481691,0.000452506403474273,0.00529949811099294,0.00447944717924927,0.00479077228247457,0.00137784985468205,0.0960200443794778,0.000679173554966017,0.00248794007118071,0.0407228724877032
DEL,repeats,3,2,0.014363020692458,0.00227865548728005,0.000691705248296819,0.000682754124786411,3.59323144965002e-05,3.02775011758492e-05,0.000752309248545347,0.000512116710589994,0.00113788897470234,0.000700474615202582,0.0219174426359054,0.000381320107461378,0.00348587477416519,0.00373855790190422
DEL,repeats,3,3,0.0368761719752608,0.000380047970994578,0.000277785667433303,6.83367562524112e-05,3.24166631488158e-06,1.42423337526884e-06,3.20463152444262e-06,3.91506578773166e-05,0.000509969017183399,5.75883066172526e-06,0.00405592803121695,4.98999431425264e-05,0.00532143258612137,0.00143664514887662
DEL,repeats,3,4,0.00690245703012442,1.4449535174694e-05,2.40264579508945e-06,0.00578857395323852,9.07207204120568e-06,4.95414409682124e-05,6.03689209387127e-06,1.43091327888084e-05,1.19815652636554e-05,0.000160262297296447,0.000126429338107212,0.000692206970747271,0.0660742549932699,0.000633946649097682
DEL,repeats,3,5+,0.00646086200196426,2.16680797356325e-05,2.82422736076861e-06,0.00851976903949135,1.21093343148119e-05,6.45190959467488e-05,1.19864001840122e-05,1.81935284123009e-05,1.4559473408153e-05,0.00022784129544231,0.000444664533865987,0.00123062717069219,0.0937521407262768,0.000598605446396535
DEL,repeats,4,0,0.00908587311437939,5.21521653654188e-05,6.68151674712782e-05,0.0109473307155619,0.00682003519982029,0.000175658953698015,0.00237431038500776,0.00081530761481338,0.000134281120834945,0.00208886888561121,0.00733847722477142,9.81056309049344e-05,0.0027553354572843,0.000793470037619214
DEL,repeats,4,1,0.0178116115960552,0.00209909649471099,0.00091791552193626,0.00282934153685349,0.00175686863758319,0.00073773044463151,0.00284035428175113,0.00460035051860189,0.000559314643170041,0.000179152659567111,0.0626968995767758,0.000451283599381807,0.00210227593092173,0.000876419612659976
DEL,repeats,4,2,0.00579059149326577,0.00048327437506224,4.01521303311693e-05,1.3301694473276e-06,2.25539049696245e-06,7.48021142528192e-06,0.000367145353674068,2.92184224407493e-05,0.000694637713704894,1.28461655928198e-06,0.0155936695315232,8.64028939192141e-06,3.31015195003445e-07,0.000341588817846059
DEL,repeats,4,3,0.00645624198222908,1.48431535524899e-05,5.3172304806796e-06,0.00378590583721646,1.01952053979025e-05,3.91370857166646e-05,3.58328237706976e-05,1.64967280451079e-05,1.00874193371235e-05,0.000176656245978665,0.00381229799723518,3.7426315356853e-05,0.0386262991801319,0.00058282726441269
DEL,repeats,4,4,0.00651640550675164,1.12488945135928e-05,2.2885448791712e-06,0.00455056524082361,8.9983886751291e-06,4.77538940311862e-05,6.3832828947853e-06,1.2485846887351e-05,1.07232721792021e-05,0.000188135824713777,0.000168062213587532,0.000122702020875191,0.0514883572497834,0.000491122841386547
DEL,repeats,4,5+,0.0125957045629261,0.000181722543014177,2.32508869956492e-05,0.00108742295436113,3.49071200685019e-06,6.92265897392419e-06,1.47988927888973e-06,9.98566444310667e-06,1.94164987242348e-05,0.000107778156054299,0.000192152682819213,3.72229611050212e-05,0.0181972042747142,0.000516515276160631
DEL,repeats,5+,0,0.0103414345403701,0.000138910537405466,3.38957442969234e-05,0.0185093915418636,0.239940454536496,0.00172441641497535,0.0196964698899586,0.000336039887120999,0.00683159354565771,0.0179463220528802,0.00336018714938064,0.000875602134208172,0.00514052594545938,0.00105708077913938
DEL,repeats,5+,1,0.0248420215437701,0.00292079649308703,0.000285927824048948,1.37933152686608e-05,1.48330378589628e-05,1.1856744703183e-05,0.00779828489906826,5.836341520611e-05,0.000504178730646573,0.00365542772036313,0.0162069532792239,0.000106325197749056,0.00174364630633775,0.0281031523826754
DEL,repeats,5+,2,0.026817343142445,0.000366902413350529,8.12609908439619e-05,1.03496466126034e-05,3.34193443624948e-06,2.76405425325982e-07,0.000286431359457322,1.30789298940294e-05,8.3358972343564e-05,2.92564471952966e-06,0.00181560088841444,1.02491087979024e-05,0.00281880874560274,0.00175056486627207
DEL,repeats,5+,3,0.00197797489305542,0.000133199709742504,1.17488125829099e-05,5.15084407068716e-08,2.01584048800291e-07,2.45719565174658e-09,7.40121777082673e-07,5.49417524843322e-07,2.5325023219305e-05,2.54197955552824e-06,0.000551656215583234,0,0.000325617740461954,2.04918032786885e-07
