Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9
INS,C,1,3,0.000368263564575188,0.000204182195636978,0.000906578594660763,0.0010460840726681,9.20041194455807e-06,0.00663116646782763,0.00248932512279973,0.000843757946349506,0.000500838570155346
INS,C,1,4,0.00242900503569306,0.00129552720983443,0.00183129588468301,1.26335575008547e-05,2.80604685820812e-05,0.0066313839893908,0.0176483318531938,0.000793404275003354,5.39475729911543e-05
INS,C,1,5+,0.0114561755650867,0.000164204407413476,0.0224365235189646,7.65818738278037e-06,1.34693738475325e-05,0.00688378193548802,0.0500493786698279,0.00165901070616134,0.000521565389397083
INS,T,1,0,0.00135699224388414,0.000372551700324766,0.00225632824254621,0.00993958519199828,0.00629934782720533,0.0160504129209151,0.00630396639282713,0.0363745297216137,0.00665397103858815
INS,T,1,1,3.51519821587423e-06,3.25797298370218e-06,5.39418115708368e-06,0.017844372125776,0.00104620333633543,0.0494948326595369,1.64464103936759e-05,0.00285607414790089,0.000203323466690148
INS,T,1,2,0.000713719692916484,3.17928072306773e-05,2.31159396744366e-05,0.0269715431870901,1.07316380555536e-05,0.0430413172955054,0.00373849381756723,0.00144087726660306,7.38609557253348e-05
INS,T,1,3,0.00128956695800641,0.00100105291373296,0.00412326580742988,0.0198442329640847,1.22050816387279e-05,0.0245663980904842,0.00140478386205791,0.000280413981920902,0.000300148796562912
INS,T,1,4,0.00485273343104032,0.0018953750640321,0.0145333066300801,0.0120344063516402,0.000139061458400054,0.00727392673913129,0.015930548185422,0.00611175585351694,0.000762999868362627
INS,T,1,5+,0.0002248721614731,0.0480467158741133,0.902864600118061,1.73733328159818e-05,0.0081520209505135,0.000108240227575949,0.000223396559295963,0.186589203966454,0.000646056129489277
DEL,repeats,2,0,7.81936360679959e-05,0.00011968156956871,0.000746970424123987,0.0254609416571682,0.0031325897323242,0.00964355148133399,0.000352122350395447,0.000475588306899092,0.0884051073910969
DEL,repeats,2,1,0.00306728279845149,0.00203018663792857,0.000540925375970398,0.0200814326235262,0.00268418945591222,0.0106653463848531,0.0191584733672784,0.005984630234446,0.185268748028036
DEL,repeats,2,2,0.0020838990969474,0.000972074309465872,0.000912021922557796,0.00330137597645123,0.000871976461614296,0.0107758317158925,0.00473695410929414,0.00177484821409158,0.0443161590717243
DEL,repeats,2,3,0.000788066031832255,0.000415464553351133,0.000309269081980537,1.01397157974777e-05,0.00014157715237218,0.00573772012499264,0.0031744525126254,0.000129208729594095,0.0116384277001727
DEL,repeats,2,4,0.000652426724195763,0.000470873643692547,0.000211874948195464,0.000488819414476552,7.93801820109468e-05,0.0026893775846859,0.00345647250158521,0.000214333814699934,0.00313429337296451
DEL,repeats,2,5+,1.20093448448451e-06,1.40618752717162e-06,1.81578572074156e-06,0.0186421809451236,9.67040844372024e-06,3.75018248325516e-05,1.08939138670978e-05,4.11763148015908e-05,0.00106578004490409
DEL,repeats,3,0,8.98372226823652e-06,1.91260776770275e-05,4.63975093427837e-05,0.0165405406604538,0.00456735999599719,0.00164283368411756,0.000118348710254892,0.00156494218933472,0.00492385941175675
DEL,repeats,3,1,0.00550355351956126,0.00168689807992582,0.00526246202507251,0.00371956119847172,0.00265851571317663,3.44713973767152e-05,0.0231049404211958,0.00402369198750426,0.0988398694477829
DEL,repeats,3,2,0.00281330061905852,0.000450086922622172,0.000586075085288696,0.000690134416050351,0.000263572329428297,2.24471825852902e-05,0.0108749460520162,0.0013336754833917,0.0135656945376984
DEL,repeats,3,3,0.000465558829919314,0.000120744255503525,0.000428812422557572,0.0003947004095262,0.000139881109527922,3.71566914087803e-05,0.00336901600172886,0.000418258259114138,0.00357201080894186
DEL,repeats,3,4,1.28500037133603e-06,1.48871746528449e-06,1.57868720913097e-06,0.00469901804210612,6.07971666821438e-06,2.11622360260992e-05,1.30177216266849e-05,4.75811826193609e-05,0.000368768398872563
DEL,repeats,3,5+,1.1629245083938e-06,1.39958958441895e-06,1.56300926974238e-06,0.00713680446671364,1.41545099650787e-05,3.40118400088923e-05,1.06935388636063e-05,8.17195528133596e-05,0.000372851334860552
DEL,repeats,4,0,2.47922099028855e-05,1.23348878227461e-05,6.37640691645638e-05,0.0104818267548468,0.00354875857621772,0.000107496320949568,3.84852466518496e-05,0.000284688874801354,0.00575104430103873
DEL,repeats,4,1,0.00219342184116444,0.000722844743858189,0.000762623494882608,0.0018110450294786,0.0019773564212125,0.00144155589867348,0.0131798327225962,0.000188733018263969,0.0554987023531554
DEL,repeats,4,2,0.000372501776894726,0.00031556517596285,7.20256897179397e-06,4.60461429324042e-05,0.000312757236890015,1.33274933702496e-05,0.00385640220776516,0.000424140185811546,0.0130430526825236
DEL,repeats,4,3,3.05482262793152e-06,3.12003231306186e-06,3.1359746378782e-06,0.00309837794654498,2.66847965773203e-05,1.97958433880055e-05,1.42055786377926e-05,4.79405841124406e-05,0.00365047586872284
DEL,repeats,4,4,1.19186285698744e-06,1.43505238317679e-06,1.5419268085248e-06,0.00390745577651796,2.03496303234731e-05,3.75250792551037e-05,1.06301967282024e-05,3.32573975237419e-05,0.000131303041566123
DEL,repeats,4,5+,0.000201312367360059,7.98395452687755e-05,1.4589607247249e-05,0.00117784061636436,1.72293263540492e-05,3.80747729993174e-05,0.00140019898514424,8.61148927934558e-05,0.000643196740673732
DEL,repeats,5+,0,5.23361412554678e-06,7.36030915560498e-06,3.25021186076381e-06,0.050641056931168,0.122748276676181,0.00556291772206813,2.69805843740643e-05,0.00193114897364026,0.00553726501715952
DEL,repeats,5+,1,0.00227918439768885,0.00259173648041683,7.11755622387966e-06,3.97496370980709e-05,0.00396054602970139,1.39070139082095e-05,0.0143803765080036,0.000488739062192083,0.013844596109126
DEL,repeats,5+,2,0.000339301008319213,9.56635693077076e-05,7.65957505809928e-05,0.000292881035309688,0.000320781469813459,2.52199199480338e-05,0.00332163463257487,4.38733093924951e-05,0.00268862036974279
DEL,repeats,5+,3,0.000159186210524692,6.77972186692388e-05,1.1182207824172e-05,0.000162006397696684,9.10261815923932e-05,3.08523904952905e-05,0.000936581420669175,0.00010981788860497,0.000891285480125594
DEL,repeats,5+,4,0.000101323480032099,8.99535963688315e-06,4.95987809582617e-06,2.08691824368711e-05,3.16731499342735e-05,4.94628327088313e-05,0.000507522283539538,3.96295013984346e-05,0.000157327264071402
DEL,repeats,5+,5+,3.66999506735368e-05,1.91572917549428e-05,2.0017436085657e-05,0.000559339322586312,5.19408869642428e-06,1.90735433893006e-05,6.56599610395703e-05,7.81152985336497e-05,0.000110739062880352
INS,repeats,2,0,0.000321871721239742,0.00018738466242138,0.000417511691262593,0.00652721577732254,0.00177004987252204,0.00189674907629263,0.00116389915139322,0.0237198606638257,0.00123455452371185
INS,repeats,2,1,0.000270294649040729,0.000166147579971459,6.15478833819975e-06,0.0161337124423406,0.000218860246368799,0.00270354251126898,0.00102975679713844,7.94793830382439e-05,0.000180366283581925
INS,repeats,2,2,0.000764138321579225,0.000721152218535183,0.000312624204541362,0.00593320359480626,0.000162534085453318,0.00104241274788613,0.00512069188775699,0.00125477368235929,8.3400790838012e-05
INS,repeats,2,3,0.000471422498466282,0.000186350134827868,0.000477947495181903,0.00105164803379696,0.000301325418777875,0.000711277149535793,0.00228014798769708,0.000986653785633868,0.00025898775842513
INS,repeats,2,4,0.00285107647485521,0.000645459189884172,0.00261941356612758,8.62697386667288e-06,1.70852608697535e-05,0.000170054345738776,0.00920890445267795,0.00363945077255732,0.000121174113044906
INS,repeats,2,5+,0.0161397994635951,0.0081143671126337,0.0180971228248987,4.39282047438293e-05,1.59542984288057e-05,2.58713756463363e-05,0.0712251640488461,0.000328363194665396,0.000126686290193061
INS,repeats,3,0,3.08679270289225e-05,2.33366698284423e-05,1.47202555666406e-05,0.00333718133732806,0.00071453756805521,0.000129410416565062,0.000271390077335196,0.0070610144920199,9.7388556024834e-05
INS,repeats,3,1,0.00101728292328136,0.000516114792565601,0.00037360874234944,0.00522860429226808,3.09031434340568e-05,0.000359526852480381,0.00558696509732283,0.00283740566237359,0.000401914560392744
INS,repeats,3,2,0.000232779438687206,3.59203367380198e-05,3.8670786834601e-05,0.00107940495459734,0.000452763464098618,7.95110311364001e-05,0.000932430641803957,0.000294446668614981,0.000956500351012753
INS,repeats,3,3,8.95691105507309e-06,1.34011532456513e-05,0.000128437490035833,1.00920038616238e-05,0.000189315384614616,1.3721292508527e-05,4.61248194291554e-05,0.000299319125511882,6.07018002424245e-05
INS,repeats,3,4,0.000115216984369726,6.23881449612525e-05,0.000109411896198879,5.51630717795055e-06,0.000121381109160099,2.07734782188064e-05,0.000857196060949392,0.000753243792605314,0.000143735513934578
INS,repeats,3,5+,0.00210205504319309,0.0010507509987537,0.00107942608759154,5.71317092162518e-06,8.55787703769113e-06,1.70179906452617e-05,0.0111080442909114,0.00197502727523016,5.22159961115944e-05
INS,repeats,4,0,1.22281245292941e-05,4.76372380728527e-06,4.09925795970451e-06,0.00224930886708208,0.0011407917728071,2.56137389464467e-05,1.85110774353618e-05,0.00480052520346197,0.000449929860658696
INS,repeats,4,1,0.00121350686364925,0.000454131560479086,0.000700351156910818,0.0035544988300373,0.000575879388072434,3.68328800996704e-05,0.00731507713020417,0.0017602572498527,0.0015011341321759
INS,repeats,4,2,3.84281153363594e-05,9.46253640966955e-06,1.83916554710344e-05,0.000276471625517728,0.00028238541194493,7.33381769598267e-05,3.92775728355015e-05,8.54814229832695e-05,9.60638011894733e-05
INS,repeats,4,3,0.000174231964705821,0.000146921624164938,6.50572637083264e-05,3.69982447348303e-06,0.000184126801633926,1.00961046811926e-05,0.000717464179945572,0.000831311409696776,0.000107558834083872
INS,repeats,4,4,0.000249871287935462,8.07320680622465e-05,0.000381779090344314,2.91163368824863e-05,4.85937099057275e-05,2.09902634549741e-05,0.000481822304951744,0.00136054208251243,0.000291200031844869
INS,repeats,4,5+,0.00229702382277118,0.0010199759081162,0.00111210902984343,0.000645758584862505,0.000192418127803114,1.78525323295682e-05,0.00792356960780318,0.00023342756487814,0.000109627353282238
INS,repeats,5+,0,1.35465821731947e-06,1.55669198646955e-06,1.68381516721191e-06,0.00364305335862185,0.00476200143176847,2.66006349952372e-05,1.03709693444188e-05,0.00262563232334415,0.000151007494781666
INS,repeats,5+,1,0.000199267038722085,2.30580717122698e-05,0.00161482011132836,0.00650223454952879,0.0073689433321255,0.000495959658983837,5.13861267773203e-05,0.0229924866267467,0.00318567096815865
INS,repeats,5+,2,1.5347280315802e-05,2.94791560833004e-05,0.000224851707750562,0.000222826831194655,0.000729535122474625,1.64695005710926e-05,7.30435481539133e-05,0.000509725483813658,7.21604448781976e-05
INS,repeats,5+,3,0.000114391882091999,4.79364818680512e-05,0.000223869555885211,0.000132376187441088,4.39311930764746e-05,7.44091560598078e-05,0.000553043134926594,0.000124703097083283,7.23442651627483e-05
INS,repeats,5+,4,1.6826162694829e-05,5.91044724549214e-06,0.000169122582022713,0.000150503428914466,2.42732328639599e-05,2.31581361850427e-05,2.23195259088021e-05,9.97190139729893e-05,3.49589443093335e-05
INS,repeats,5+,5+,0.000123870152698525,3.42778248604568e-05,0.000171166463435836,0.000578990253168071,6.70797499262166e-05,3.75290361879681e-05,0.000321122560034509,3.85357502690264e-05,6.77250526752749e-05
DEL,MH,2,1,0.000354748256202808,0.000127020236737169,0.000943297227867068,0.0240222331808309,3.35388044746848e-05,0.00857907488369704,0.000115718601371708,0.00138188043188352,0.198116016843216
DEL,MH,3,1,2.14000158574169e-05,4.09361118585424e-06,5.38217796110082e-06,0.0134178571507876,0.00382470327937681,0.0013334423532512,1.86452692278575e-05,0.00127915781229315,0.00603249521704005
DEL,MH,3,2,0.00307314897183679,0.00149277734926463,0.00184789310490703,0.00727428732881532,0.00321617642443012,0.000395835062944255,0.0120537158786111,0.00314057733989773,0.0402778562577405
DEL,MH,4,1,0.000110289015637537,5.40274317368469e-05,4.06926939492939e-05,0.0084436311871812,0.00332976408357941,0.000410117342424683,0.000816206124443356,4.00095319692634e-05,0.0119085539906346
DEL,MH,4,2,0.00053652742926194,0.000349249561777697,0.000248840923215868,0.00459904610911291,0.00595907932406796,0.000359898914607682,0.0020648653291803,0.000595726199224189,0.0286185678265893
DEL,MH,4,3,0.000838410368199506,0.000127848589132235,3.36061265337671e-05,0.00253304746359032,0.00312653100641006,6.5199613147059e-05,0.00409183823560425,0.00150346484456022,0.0467680596100274
DEL,MH,5+,1,0.000336770428005991,0.000779266209259582,8.73509110003901e-06,0.0378998686761657,0.178410823987072,0.00472109548035866,0.000811538721152033,0.00366065681764974,0.00150030955820223
DEL,MH,5+,2,2.62297792665249e-05,4.03737521063466e-05,4.86656294928408e-06,0.00944460029486137,0.194179099374125,0.000948004207073334,0.000163248953345228,0.00209174386304756,0.000167230040399471
DEL,MH,5+,3,1.22616908866511e-05,9.24018208615674e-06,3.38451150293873e-06,0.00284467881821644,0.135570434512502,4.70215341925021e-05,0.000147554576066004,0.000241872171821187,0.000265411164036478
DEL,MH,5+,4,0.000356816053427773,7.40700364594422e-05,2.640694713616e-05,1.43297674416677e-05,0.0710273807038903,0.000363152221331802,0.00364542645673778,0.000100301484939657,0.00223646947472398
DEL,MH,5+,5+,0.0018003283143742,0.00155416353503208,0.000986205124001766,3.31349512876117e-05,0.0583027444206525,1.49286579229501e-05,0.0122824729960984,0.000702314267383758,0.000677325495345117
