Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID1 1),W.2 (ID11 0.998),W.3 (ID6 0.996),W.4 (ID5 0.993),W.5 (ID13 0.984),W.6 (False Positive) (ID14 0.888),W.7 (ID2 1),W.8 (ID8 0.998),W.9 (ID9 0.994),W.10 (ID3 0.991),W.11 (ID4 1)
INS,T,1,4,0.0168505020535854,0.0503487824309045,0.00102756993662162,0.0113052762153847,0.0148302651466514,1.25962204152277e-134,0.00348592369742524,5.11188602532619e-31,3.68247917849733e-19,0.0061201587199515,7.48526513797652e-168
INS,T,1,5+,0.900548396483827,1.32341564080281e-98,4.69452120557329e-13,8.94785779041514e-09,4.1062793579456e-60,7.35560709389712e-102,0.00316297448400647,0.000260051994259692,1.24777102236887e-24,1.2365908541531e-12,9.87206409063409e-77
DEL,repeats,2,0,0.000172183687376394,0,0.000816247555719107,0.029166220998415,0.0255070219805956,0,0.000106048762097357,0.00937452574129589,0.0120224924721722,0.00640584902061168,0.0745209952514217
DEL,repeats,2,1,0.000108545875257611,0.00203491811293038,0.00124644473123699,0.025556006560675,0.00299674554026538,0.00561732750369745,0.00330584495198447,0.0119298755049078,3.28272335639495e-09,0.0101238657678313,0.23710572787567
DEL,repeats,2,2,2.251103969358e-10,0,0.00232011966869672,0.00468193414700008,0.00378518674997548,0.0031060415134435,0.00184236481510908,1.72569520843519e-197,0,0.0139780296647227,0.05771938922178
DEL,repeats,2,3,0.00010205056999329,0,0.000199038125547258,0,0,0.000679563675499882,0.000779356306694044,0,0,0.00812774605028432,0.0141709738268524
DEL,repeats,2,4,0,0,0,0.000838631464841214,0,0,0.000865187696644052,0,0,0.00378441998181841,0.00275386011351264
DEL,repeats,2,5+,0,0.00393028333961879,0,0.0267922786101529,0,0,0,0,0,0,6.63791491864307e-126
DEL,repeats,3,0,7.05978040725487e-05,0,4.8697001151952e-17,0.0184538603386764,0.00114950736182581,0.00113984703109325,1.18758426464383e-05,0.0122202388339602,0.00189226381679266,0.000325841121570464,0.00476587374857651
DEL,repeats,3,1,0.0046908583859058,1.54638684292984e-13,0.00560021285113485,0.00613093734398474,1.61513215974059e-07,0.00344612168071792,0.00487042930813786,0.00156060549877704,0.00375182553933317,7.03841518041698e-17,0.1005533854352
DEL,repeats,3,2,0.00042151547430696,1.15077018499907e-08,0.000758551408254272,0.000675708833805179,0.000681927620767965,0.00103668001575698,0.00234967274632268,0,5.56622762032932e-122,0,0.0238033266206166
DEL,repeats,3,3,0.000108846437417013,0,0,0.000216827351690139,0,0.000563769966274706,0.000454543650197353,0,0,0,0.00448459540748103
DEL,repeats,3,4,0,0.000542582725464256,0,0.00713214621094027,0,0,0,0,0,0,0
DEL,repeats,3,5+,0,0.00102953082498945,0,0.0104575111995872,0,0,0,0,0,0,0
DEL,repeats,4,0,2.70600986138764e-05,0,0.00205808305878875,0.0116736103611774,0.0011053992549467,0,8.42746305521453e-06,0.00743443739194053,0.00033060166320678,1.9999407890449e-34,0.00755829745743924
DEL,repeats,4,1,0.000498218353577089,0.00016153422411297,0.0029002665646519,0.00280217086691972,0,0,0.00206765828159601,0.00196849638675874,0.00382765238371757,0.00052109639985475,0.0660109786254581
DEL,repeats,4,2,0,0,0.00029328020016685,0,0,0.000436040907585712,0.000472697570702041,0,0,0,0.0152586910742235
DEL,repeats,4,3,0,0,0,0.00463602211523422,0,0,5.15282714561345e-07,0,0,0,0.00333188221772141
DEL,repeats,4,4,0,1.88000729332915e-05,0,0.00562842806209348,0,0,0,0,0,0,0
DEL,repeats,4,5+,0,0,0,0.00140724797990796,0,0,0.000202168566762521,0,0,0,0.000177752479861765
DEL,repeats,5+,0,0,0.000829277928046782,8.13419983732862e-29,0.0124865615009581,0.00630088403468367,2.37209926425978e-49,4.76162801779546e-258,0.260363187841772,2.21091007971245e-187,0.000228365244937907,0.00147641394789544
DEL,repeats,5+,1,4.81810273673264e-237,0,0.00871229555868868,0,0.00321126103152262,0.000443114805061495,0.00298765439285078,0,0,0,0.017204854435062
DEL,repeats,5+,2,0,0,0.000276624217692885,8.49415648680112e-05,0,0,0.00041089975780343,0,0,0,0.00220884596455724
DEL,repeats,5+,3,0,0,0,0,0,0,0.000143906977732597,0,0,0,0.000677233915433269
DEL,repeats,5+,4,0,0,0,0,0,0,7.46030962761917e-05,0,0,0,4.02491319883166e-05
DEL,repeats,5+,5+,1.86074244792425e-06,0,0,0.000120655568232371,0,4.01304156612324e-05,2.56586905192892e-05,0,0,0,4.03504826979203e-05
INS,repeats,2,0,0.000292239392450076,0,0.00210756592601767,0.00669417215681069,0.0138681373504866,0.0377979725173339,0.000350278249307463,0.00151846163300701,4.26611572291018e-250,0.00250165385525043,4.19255282931383e-144
INS,repeats,2,1,0,0,0,0.0204512652264583,0.000337457838579163,0,0.000262446006416613,0.00126869436061624,0.000985923201617195,0.00261102045843579,0
INS,repeats,2,2,6.29582463198742e-05,0,0.000752153868568533,0.00823584781072264,0.000133846713090033,0.00216222909025281,0.00107052653915346,0,0,0.00109517037739621,0
INS,repeats,2,3,0.000289687099565238,0,0.000361565114564152,0.00114812313770364,0.000745261803286066,0.00126360379697203,0.000428405746703934,0,0,0.00101948385498486,1.24353989799936e-111
INS,repeats,2,4,0.00278930893527948,0,0,0,0,0.00306806228421699,0.00200577567784452,0,0,1.21800659326779e-84,0
INS,repeats,2,5+,0.0180902448520483,1.22396198328526e-215,0.000352178075954082,0.00130949841689986,6.1348419962418e-75,0,0.0136835992710872,0.00122970415121896,6.93344672585252e-90,0,4.36773837961328e-05
INS,repeats,3,0,0,0,0.00145959352872349,0.0045992687933039,0,0.0107623981541194,5.47216923744479e-05,0,0,1.4815422505054e-230,0
INS,repeats,3,1,0.000120350956803291,0,0.000121747532865859,0.00713726852881912,0.00408906463504282,0.00478289438922038,0.00126016935923137,6.13957411681028e-164,0,0.000128471433797303,0
INS,repeats,3,2,0,0,0.00071713272191137,0.000773827610862462,0,0.000270227264304131,0.000208106868405834,0,0,0,0.0003475996788224
INS,repeats,3,3,6.77944858199468e-05,0,8.17198540908145e-06,0,0,0.000280710935704124,1.9380709120246e-05,0,0,0,0
INS,repeats,3,4,3.06016873541591e-18,0,0,0,0,0.000654004273268932,0.000151909201998006,0,0,0,0
INS,repeats,3,5+,0.000754984122182649,0,0,0,0,0.00300035180590029,0.00200657865935914,0,0,0,6.64346001881173e-06
INS,repeats,4,0,0,0,0.00171641368140545,0.00287914375797174,0.00121305908489536,0.00977355646176681,1.31341449859366e-05,0,0,0,0
INS,repeats,4,1,0.000703934098595918,8.15190202057087e-224,0.000467644832685083,0.00417517519415698,0.00289461682879797,0.00265185832136838,0.00121094333070234,0.000840412638254926,0,7.7463067794459e-05,0.00120243871072325
INS,repeats,4,2,3.11905962998065e-05,0,0.000291226027220747,1.31583410367916e-05,0,5.95320951658048e-135,2.09824889207403e-05,0,0,0,6.33919962705148e-05
INS,repeats,4,3,2.01203955056345e-05,0,8.68806208285646e-06,0,0,0.00114573114274434,0.000159480994053797,0,0,0,0
INS,repeats,4,4,6.24984244250701e-05,0,0,0,0,0.00256288821694094,0.000299670811356279,0,0,0,4.05356350769583e-05
INS,repeats,4,5+,0.000871728781693194,0,0,0.000616105787870916,0,6.81584495739855e-05,0.00224550395651386,0.000257049802837941,0,0,1.85631935688195e-05
INS,repeats,5+,0,0,0,0.00999037452968517,0.00545375686248303,0.00203724824581154,0.00500229535206419,0,0,0,1.3519374560948e-299,0
INS,repeats,5+,1,0.0015238823564831,0.000940000328061356,0.0051944244068156,0.00505332793610459,0.0178838626460682,0.0471735024918718,0.000119602829499381,0.00969284308236464,8.08594589618815e-25,1.34579891231121e-18,0.00196919889156933
INS,repeats,5+,2,0.000129157264791893,0,0.0014272370492552,0,0,0.000811470514338047,2.76637459140998e-05,0,0,0,0.000113202180727748
INS,repeats,5+,3,6.22030558901119e-05,0,0,0,0,0,0.000131290656621766,0,0,0,0
INS,repeats,5+,4,0.000115807195512259,0,0,0,0,3.61681340259227e-05,2.60938289505089e-05,0,0,0,0
INS,repeats,5+,5+,1.66996745542338e-05,0,0,0.000172057015616999,0,0,0.000136920131510364,0,0,0,8.4072317722166e-05
DEL,MH,2,1,4.53104100146008e-05,0,3.26949112713936e-243,0.0302207561612067,0.00937899656613185,0.00111480080468128,8.83169725944193e-28,0.0060158573224004,0.000631279490651648,0.00804837588028389,0.196975727136319
DEL,MH,3,1,1.43609568487393e-05,0,7.87538429082957e-05,0.0142196601257792,5.5545491079658e-101,0.00198572607285214,0,0.0102584975938814,0.0023496565163088,6.39978547879871e-05,0.00685454420321942
DEL,MH,3,2,0.00126641679888011,0.000223259928966187,0.00460315683917511,0.00963292907742563,1.50222592964141e-193,0.0032566988752948,0.00288260610728791,0.0049072723483937,0.00046865697733449,0.000218998381973984,0.0511341081769908
DEL,MH,4,1,5.13452019011139e-197,0,0.00264174924611472,0.00944429217640445,0.000346893748910735,0,0.000133570753849809,0.00643760730993258,0.000908296944058337,2.29435019176408e-113,0.0112642295628895
DEL,MH,4,2,0,0,0.0100924659481699,0.00670480095737604,0,0.000691777573020319,0.000496630300293796,0.0010297976758943,0.0026464995535567,3.80169651453775e-05,0.0304743191758361
DEL,MH,4,3,0,0.000331940894973462,0.00548212231666701,0.00379239899875056,5.67882874070094e-224,0.00241071144796343,0.000596037527339945,0.000873762738370398,0.00116051798166309,6.1013682240959e-05,0.0507209200003483
DEL,MH,5+,1,2.77294133283365e-193,0,0.0551397949747344,1.31654574120121e-21,8.44877203482044e-168,4.46888403903343e-202,0.000555531843065539,0.306109537627625,1.19042761556888e-281,6.23621122105359e-84,0
DEL,MH,5+,2,4.84874093491936e-211,0,0.279472676009074,0.00239275698228759,1.04649568028518e-65,0.00167694148336971,3.46704577293997e-05,0.134457742815155,2.27078070343208e-273,0.0009672830313435,0
DEL,MH,5+,3,0,0,0.245019640563141,0.0046947624541807,1.24608759784961e-150,0.0001441716606984,6.74783899782592e-166,0.0495827566337937,1.87685248958434e-286,0.000554928743142723,2.84784675231426e-127
DEL,MH,5+,4,3.60856383748812e-259,0,0.137348345760768,0.000903156845887592,1.72554367077803e-294,0,0.000418680086104418,0.0176317195480783,5.29861703468017e-305,0.000531991039936394,0.00315239426053379
DEL,MH,5+,5+,0.00054511658853038,0.000169365196800922,0.113208254322492,7.94971326659412e-246,0.0150869951336117,0.000693139781893017,0.00237768441746183,0.0126815867983609,0,1.66880544587772e-308,1.66880539977601e-308
