prog,noise,seed,ex.sig,gt.sig,sim
mSigHdp,5k,145879,hdp.3,SBS13,0.998
mSigHdp,5k,145879,hdp.4,SBS17b,0.999
mSigHdp,5k,145879,hdp.5,SBS5,0.999
mSigHdp,5k,145879,hdp.6,SBS16,0.991
mSigHdp,5k,145879,hdp.7,SBS3,0.994
mSigHdp,5k,145879,hdp.8,SBS40,0.999
mSigHdp,5k,145879,hdp.9,SBS22,0.989
mSigHdp,5k,145879,hdp.10,SBS28,0.984
mSigHdp,5k,145879,hdp.11,SBS41,0.994
mSigHdp,5k,145879,hdp.12,SBS7c,0.999
mSigHdp,5k,145879,hdp.13,SBS7b,0.986
mSigHdp,5k,145879,hdp.14,SBS18,0.998
mSigHdp,5k,145879,hdp.15,SBS4,0.999
mSigHdp,5k,145879,hdp.16,SBS44,0.995
mSigHdp,5k,145879,hdp.17,SBS17a,0.999
mSigHdp,5k,145879,hdp.18,SBS12,0.993
mSigHdp,5k,145879,hdp.19,SBS7d,0.979
mSigHdp,5k,145879,hdp.20,SBS29,0.951
mSigHdp,5k,200437,hdp.1,SBS1,0.999
mSigHdp,5k,200437,hdp.2,SBS13,0.998
mSigHdp,5k,200437,hdp.3,SBS5,0.999
mSigHdp,5k,200437,hdp.4,SBS17b,0.999
mSigHdp,5k,200437,hdp.5,SBS7a,0.97
mSigHdp,5k,200437,hdp.6,SBS41,0.994
mSigHdp,5k,200437,hdp.7,SBS17a,0.998
mSigHdp,5k,200437,hdp.8,SBS7d,0.973
mSigHdp,5k,200437,hdp.9,SBS3,0.994
mSigHdp,5k,200437,hdp.10,SBS2,1
mSigHdp,5k,200437,hdp.11,SBS40,0.999
mSigHdp,5k,200437,hdp.12,SBS18,0.998
mSigHdp,5k,200437,hdp.13,SBS7c,0.999
mSigHdp,5k,200437,hdp.14,SBS22,0.989
mSigHdp,5k,200437,hdp.15,SBS7b,0.995
mSigHdp,5k,200437,hdp.16,SBS44,0.995
mSigHdp,5k,200437,hdp.17,SBS12,0.993
mSigHdp,5k,200437,hdp.18,SBS28,0.985
mSigHdp,5k,200437,hdp.19,SBS4,0.998
mSigHdp,5k,200437,hdp.20,SBS16,0.991
mSigHdp,5k,200437,hdp.21,SBS29,0.951
mSigHdp,5k,310111,hdp.1,SBS1,0.999
mSigHdp,5k,310111,hdp.2,SBS17b,0.999
mSigHdp,5k,310111,hdp.3,SBS5,0.999
mSigHdp,5k,310111,hdp.4,SBS13,0.997
mSigHdp,5k,310111,hdp.5,SBS2,0.999
mSigHdp,5k,310111,hdp.6,SBS44,0.995
mSigHdp,5k,310111,hdp.7,SBS28,0.985
mSigHdp,5k,310111,hdp.8,SBS3,0.994
mSigHdp,5k,310111,hdp.9,SBS22,0.989
mSigHdp,5k,310111,hdp.10,SBS18,0.998
mSigHdp,5k,310111,hdp.11,SBS4,0.999
mSigHdp,5k,310111,hdp.12,SBS12,0.993
mSigHdp,5k,310111,hdp.13,SBS40,0.999
mSigHdp,5k,310111,hdp.14,SBS7c,0.999
mSigHdp,5k,310111,hdp.15,SBS41,0.994
mSigHdp,5k,310111,hdp.16,SBS17a,0.998
mSigHdp,5k,310111,hdp.17,SBS7d,0.981
mSigHdp,5k,310111,hdp.18,SBS16,0.989
mSigHdp,5k,310111,hdp.19,SBS29,0.953
mSigHdp,10k,145879,hdp.1,SBS1,0.998
mSigHdp,10k,145879,hdp.2,SBS2,0.994
mSigHdp,10k,145879,hdp.3,SBS17b,0.999
mSigHdp,10k,145879,hdp.4,SBS7a,0.923
mSigHdp,10k,145879,hdp.5,SBS3,0.986
mSigHdp,10k,145879,hdp.6,SBS40,0.997
mSigHdp,10k,145879,hdp.7,SBS7c,0.999
mSigHdp,10k,145879,hdp.8,SBS44,0.995
mSigHdp,10k,145879,hdp.9,SBS28,0.985
mSigHdp,10k,145879,hdp.10,SBS41,0.994
mSigHdp,10k,145879,hdp.11,SBS12,0.992
mSigHdp,10k,145879,hdp.12,SBS22,0.99
mSigHdp,10k,145879,hdp.13,SBS4,0.996
mSigHdp,10k,145879,hdp.14,SBS17a,0.998
mSigHdp,10k,145879,hdp.15,SBS18,0.997
mSigHdp,10k,145879,hdp.16,SBS13,0.994
mSigHdp,10k,145879,hdp.17,SBS7d,0.978
mSigHdp,10k,145879,hdp.18,SBS5,0.997
mSigHdp,10k,145879,hdp.20,SBS29,0.945
mSigHdp,10k,145879,hdp.21,SBS38,0.978
mSigHdp,10k,145879,hdp.22,SBS7b,0.989
mSigHdp,10k,200437,hdp.1,SBS1,0.998
mSigHdp,10k,200437,hdp.2,SBS2,0.995
mSigHdp,10k,200437,hdp.3,SBS17b,0.999
mSigHdp,10k,200437,hdp.4,SBS7a,0.93
mSigHdp,10k,200437,hdp.5,SBS13,0.996
mSigHdp,10k,200437,hdp.6,SBS17a,0.999
mSigHdp,10k,200437,hdp.7,SBS28,0.984
mSigHdp,10k,200437,hdp.8,SBS7c,0.999
mSigHdp,10k,200437,hdp.9,SBS7d,0.975
mSigHdp,10k,200437,hdp.10,SBS40,0.997
mSigHdp,10k,200437,hdp.11,SBS41,0.994
mSigHdp,10k,200437,hdp.12,SBS3,0.986
mSigHdp,10k,200437,hdp.13,SBS18,0.997
mSigHdp,10k,200437,hdp.14,SBS7b,0.991
mSigHdp,10k,200437,hdp.15,SBS5,0.997
mSigHdp,10k,200437,hdp.16,SBS44,0.994
mSigHdp,10k,200437,hdp.17,SBS22,0.99
mSigHdp,10k,200437,hdp.18,SBS4,0.997
mSigHdp,10k,200437,hdp.19,SBS12,0.992
mSigHdp,10k,200437,hdp.20,SBS29,0.943
mSigHdp,10k,200437,hdp.22,SBS16,0.989
mSigHdp,10k,200437,hdp.23,SBS38,0.979
mSigHdp,10k,310111,hdp.1,SBS1,0.998
mSigHdp,10k,310111,hdp.2,SBS2,0.993
mSigHdp,10k,310111,hdp.3,SBS17b,0.999
mSigHdp,10k,310111,hdp.4,SBS17a,0.999
mSigHdp,10k,310111,hdp.5,SBS7a,0.955
mSigHdp,10k,310111,hdp.6,SBS22,0.99
mSigHdp,10k,310111,hdp.7,SBS5,0.997
mSigHdp,10k,310111,hdp.8,SBS4,0.997
mSigHdp,10k,310111,hdp.9,SBS13,0.993
mSigHdp,10k,310111,hdp.10,SBS18,0.997
mSigHdp,10k,310111,hdp.11,SBS41,0.994
mSigHdp,10k,310111,hdp.12,SBS12,0.992
mSigHdp,10k,310111,hdp.13,SBS28,0.985
mSigHdp,10k,310111,hdp.14,SBS44,0.994
mSigHdp,10k,310111,hdp.15,SBS3,0.986
mSigHdp,10k,310111,hdp.16,SBS40,0.997
mSigHdp,10k,310111,hdp.17,SBS7d,0.975
mSigHdp,10k,310111,hdp.18,SBS7c,0.999
mSigHdp,10k,310111,hdp.19,SBS29,0.946
mSigHdp,10k,310111,hdp.21,SBS7b,0.995
mSigHdp,10k,310111,hdp.22,SBS38,0.977
mSigHdp,10k,310111,hdp.23,SBS16,0.989
