Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.94),ID83D (ID8 0.99),ID83E (ID3 0.986),ID83F (ID6 0.998),ID83G (ID9 0.994),ID83H (ID4 0.987),ID83I (ID14 0.987)
DEL,repeats,5+,3,0.00013508,8.12e-06,0.00018162,2.957e-05,3.53e-05,0.00016608,0.00016079,0.00094946,0.00010224
DEL,repeats,5+,4,8.596e-05,1.19e-06,4.408e-05,2.94e-05,4.665e-05,7.04e-05,0.00011303,0.00013719,1.41e-05
DEL,repeats,5+,5+,4.06e-05,1.875e-05,0.0006737,7.598e-05,0,0,9.193e-05,0.00012872,2.755e-05
INS,repeats,2,0,0.0002406,0.00059359,0.00830423,0.00230571,0.0020843,0.00191336,0.00131191,0.00125713,0.02497795
INS,repeats,2,1,0.00027733,4.69e-06,0.01953102,0.00250728,0.00344492,0.0001508,0.00282541,0.00075144,3.4e-06
INS,repeats,2,2,0.00101341,0.00024337,0.00736135,0.00093539,0.00143541,0.00036151,0.00108955,0.00026185,0.00110282
INS,repeats,2,3,0.00046905,0.00046303,0.00125913,0.00050444,0.00088956,0.00037878,0.00048125,0.00029589,0.0009547
INS,repeats,2,4,0.00218321,0.00262607,4.219e-05,0.00142091,0.00022553,5.568e-05,0.00017152,0.0002448,0.00344987
INS,repeats,2,5+,0.01615394,0.01693008,0.00070771,0.01391722,1.75e-06,5.711e-05,0.00034018,0.00227206,0.00038999
INS,repeats,3,0,2.692e-05,4.995e-05,0.00395118,0.00057587,0.00025942,0.00098636,0.00089979,0.00018094,0.00777287
INS,repeats,3,1,0.00112862,0.0003918,0.006703,0.00116727,0.00040979,0.00010591,0.00109266,0.00062038,0.00298814
INS,repeats,3,2,0.0001832,4.617e-05,0.00136443,0.00013633,0.00015865,0.00076633,0.0001507,0.00108082,0.00030724
INS,repeats,3,3,1.946e-05,0.00016374,2.03e-05,8.822e-05,2.76e-06,0.00028519,2.633e-05,3.55e-06,0.0002778
INS,repeats,3,4,0.00012948,0.00010578,1.177e-05,0.00013644,2.314e-05,0.00014888,4.426e-05,0.00012239,0.00088838
INS,repeats,3,5+,0.0021925,0.00116939,1.413e-05,0.00082328,7.41e-06,6.7e-07,4.487e-05,0.00014067,0.00187822
INS,repeats,4,0,1.979e-05,4e-07,0.00283959,0.00072142,3.269e-05,0.00161284,0.00027187,0.0005108,0.00503023
INS,repeats,4,1,0.00123648,0.00072051,0.0045284,0.00153534,2.746e-05,0.00069074,0.00140699,0.00166557,0.00174954
INS,repeats,4,2,5.91e-06,5.083e-05,0.00029995,0.00015463,0.00013146,0.00041629,5.898e-05,2.475e-05,5.828e-05
INS,repeats,4,3,0.0002468,6.099e-05,2.02e-06,1.048e-05,2.46e-06,0.00035536,8.48e-06,7.498e-05,0.0007803
INS,repeats,4,4,0.00015948,0.00040405,1.363e-05,0.00020495,1.42e-06,1.371e-05,0.00015005,0.00023773,0.00140963
INS,repeats,4,5+,0.0022911,0.0009324,0.00078612,0.00150886,9.84e-06,8.887e-05,7.322e-05,0.00021229,0.00019741
INS,repeats,5+,0,0,2e-08,0.00506712,0.00030706,4.599e-05,0.0081242,0.00048218,0.00017765,0.00269202
INS,repeats,5+,1,4.311e-05,0.00174155,0.00694494,0.01033388,0.00025361,0.00606815,0.00163329,0.00278748,0.02379881
INS,repeats,5+,2,1.085e-05,0.00024846,0.00035786,8.574e-05,6.3e-06,0.00122824,3.192e-05,4.411e-05,0.00052331
INS,repeats,5+,3,9.553e-05,0.0002314,0.00016472,0.0001471,8.84e-05,5.551e-05,0.00016502,3.849e-05,0.00010665
INS,repeats,5+,4,9.92e-06,0.00021172,0.00016841,0.00010549,1.112e-05,2.41e-05,0.00014796,1.105e-05,1.754e-05
INS,repeats,5+,5+,7.595e-05,0.00020527,0.00062392,0.00041775,4.852e-05,1.943e-05,7.56e-05,3.54e-05,0
DEL,MH,2,1,3.864e-05,0.00010656,0.0192965,0.00181519,0.00981153,8.487e-05,0.00235328,0.19917461,0.00521375
DEL,MH,3,1,5.13e-06,9.24e-06,0.0136646,0.01084493,0.00115809,0.00139289,0.00252225,0.00639232,0.00124045
DEL,MH,3,2,0.00268804,0.00163649,0.00685245,0.00422731,0.00064275,0.00389252,0.00104543,0.04116243,0.00393434
DEL,MH,4,1,6.37e-05,6.048e-05,0.00869646,0.00523604,0.00036775,0.00270291,0.00246065,0.01214654,0.00015455
DEL,MH,4,2,0.00052239,5.474e-05,0.00429394,0.00109091,0.00038294,0.00903038,0.00187185,0.02985699,0.00102293
DEL,MH,4,3,0.00056682,4.47e-06,0.00096703,0.00021472,3.26e-06,0.00464514,0.00167268,0.04627845,0.00226512
DEL,MH,5+,1,0.00052221,0,0.00430368,0.288555,0.0008391,0.08765639,7.995e-05,0.0003037,0.00186839
DEL,MH,5+,2,2e-08,1e-08,0.00221016,0.09666205,0.00106552,0.25932726,0.00018907,6.012e-05,0.00152311
DEL,MH,5+,3,0,1.8e-07,0.00224462,0.01767702,0.00055958,0.22651829,0.00044483,0.00032541,3.58e-05
DEL,MH,5+,4,0.00039656,2.8e-07,0.00017733,9.291e-05,0.00079999,0.12764249,4.929e-05,0.00289632,3.887e-05
DEL,MH,5+,5+,0.00239912,0.0004077,0.00089365,0.00172579,0,0.10414151,6.23e-06,0.00079268,0.0006713
