prog,down_samp_thres,seed,ex.sig,gt.sig,sim
mSigHdp,1k,310111,hdp.15,SBS44,0.995
mSigHdp,1k,310111,hdp.16,SBS3,0.995
mSigHdp,1k,310111,hdp.17,SBS7c,0.998
mSigHdp,1k,310111,hdp.18,SBS36,0.998
mSigHdp,1k,310111,hdp.19,SBS8,0.991
mSigHdp,1k,310111,hdp.20,SBS28,0.99
mSigHdp,1k,310111,hdp.21,SBS37,0.996
mSigHdp,1k,310111,hdp.22,SBS41,0.992
mSigHdp,1k,310111,hdp.24,SBS29,0.988
mSigHdp,1k,310111,hdp.25,SBS7b,0.988
mSigHdp,1k,310111,hdp.27,SBS30,0.958
mSigHdp,1k,528401,hdp.1,SBS1,1
mSigHdp,1k,528401,hdp.2,SBS12,0.993
mSigHdp,1k,528401,hdp.3,SBS2,0.999
mSigHdp,1k,528401,hdp.4,SBS40,0.994
mSigHdp,1k,528401,hdp.5,SBS13,1
mSigHdp,1k,528401,hdp.6,SBS17b,0.999
mSigHdp,1k,528401,hdp.7,SBS5,1
mSigHdp,1k,528401,hdp.8,SBS17a,0.999
mSigHdp,1k,528401,hdp.9,SBS7b,0.986
mSigHdp,1k,528401,hdp.10,SBS22,0.99
mSigHdp,1k,528401,hdp.11,SBS36,0.998
mSigHdp,1k,528401,hdp.12,SBS18,0.993
mSigHdp,1k,528401,hdp.13,SBS7c,0.998
mSigHdp,1k,528401,hdp.14,SBS34,0.989
mSigHdp,1k,528401,hdp.15,SBS8,0.991
mSigHdp,1k,528401,hdp.16,SBS9,0.996
mSigHdp,1k,528401,hdp.17,SBS44,0.995
mSigHdp,1k,528401,hdp.18,SBS3,0.996
mSigHdp,1k,528401,hdp.19,SBS28,0.992
mSigHdp,1k,528401,hdp.20,SBS4,1
mSigHdp,1k,528401,hdp.21,SBS7d,0.999
mSigHdp,1k,528401,hdp.22,SBS37,0.996
mSigHdp,1k,528401,hdp.23,SBS41,0.993
mSigHdp,1k,528401,hdp.24,SBS29,0.988
mSigHdp,1k,528401,hdp.26,SBS30,0.956
mSigHdp,1k,1076753,hdp.1,SBS1,0.999
mSigHdp,1k,1076753,hdp.2,SBS12,0.993
mSigHdp,1k,1076753,hdp.3,SBS2,0.998
mSigHdp,1k,1076753,hdp.4,SBS40,0.994
mSigHdp,1k,1076753,hdp.5,SBS13,1
mSigHdp,1k,1076753,hdp.6,SBS17a,0.999
mSigHdp,1k,1076753,hdp.7,SBS5,1
mSigHdp,1k,1076753,hdp.8,SBS17b,0.999
mSigHdp,1k,1076753,hdp.9,SBS9,0.995
mSigHdp,1k,1076753,hdp.10,SBS7c,0.998
mSigHdp,1k,1076753,hdp.11,SBS34,0.989
mSigHdp,1k,1076753,hdp.12,SBS4,1
mSigHdp,1k,1076753,hdp.13,SBS3,0.995
mSigHdp,1k,1076753,hdp.14,SBS36,0.998
mSigHdp,1k,1076753,hdp.15,SBS18,0.993
mSigHdp,1k,1076753,hdp.16,SBS7d,0.999
mSigHdp,1k,1076753,hdp.17,SBS22,0.99
mSigHdp,1k,1076753,hdp.18,SBS44,0.995
mSigHdp,1k,1076753,hdp.19,SBS8,0.991
mSigHdp,1k,1076753,hdp.20,SBS37,0.996
mSigHdp,1k,1076753,hdp.21,SBS28,0.989
mSigHdp,1k,1076753,hdp.22,SBS41,0.992
mSigHdp,1k,1076753,hdp.23,SBS29,0.988
mSigHdp,1k,1076753,hdp.25,SBS30,0.969
mSigHdp,1k,1076753,hdp.27,SBS7b,0.979
mSigHdp,1k,145879,hdp.1,SBS1,1
mSigHdp,1k,145879,hdp.2,SBS12,0.993
mSigHdp,1k,145879,hdp.3,SBS2,0.999
mSigHdp,1k,145879,hdp.4,SBS40,0.995
mSigHdp,1k,145879,hdp.5,SBS13,1
mSigHdp,1k,145879,hdp.6,SBS5,1
mSigHdp,1k,145879,hdp.7,SBS17a,0.999
mSigHdp,1k,145879,hdp.8,SBS17b,0.999
mSigHdp,1k,145879,hdp.9,SBS44,0.995
mSigHdp,1k,145879,hdp.10,SBS7c,0.999
mSigHdp,1k,145879,hdp.11,SBS36,0.998
mSigHdp,1k,145879,hdp.12,SBS22,0.99
mSigHdp,1k,145879,hdp.13,SBS18,0.994
mSigHdp,1k,145879,hdp.14,SBS4,1
mSigHdp,1k,145879,hdp.15,SBS7d,0.999
mSigHdp,1k,145879,hdp.16,SBS8,0.991
mSigHdp,1k,145879,hdp.17,SBS9,0.995
mSigHdp,1k,145879,hdp.18,SBS28,0.991
mSigHdp,1k,145879,hdp.19,SBS3,0.996
mSigHdp,1k,145879,hdp.20,SBS37,0.996
mSigHdp,1k,145879,hdp.21,SBS34,0.989
mSigHdp,1k,145879,hdp.22,SBS41,0.993
mSigHdp,1k,145879,hdp.24,SBS29,0.988
mSigHdp,1k,145879,hdp.25,SBS30,0.963
mSigHdp,3k,200437,hdp.1,SBS1,0.999
mSigHdp,3k,200437,hdp.2,SBS12,0.994
mSigHdp,3k,200437,hdp.3,SBS2,0.999
mSigHdp,3k,200437,hdp.4,SBS13,1
mSigHdp,3k,200437,hdp.5,SBS5,1
mSigHdp,3k,200437,hdp.6,SBS17b,0.999
mSigHdp,3k,200437,hdp.7,SBS40,0.998
mSigHdp,3k,200437,hdp.8,SBS17a,0.999
mSigHdp,3k,200437,hdp.9,SBS22,0.99
mSigHdp,3k,200437,hdp.10,SBS7d,0.999
mSigHdp,3k,200437,hdp.12,SBS36,0.998
mSigHdp,3k,200437,hdp.13,SBS44,0.996
mSigHdp,3k,200437,hdp.14,SBS3,0.995
mSigHdp,3k,200437,hdp.15,SBS7c,0.998
mSigHdp,3k,200437,hdp.16,SBS8,0.99
mSigHdp,3k,200437,hdp.17,SBS34,0.989
mSigHdp,3k,200437,hdp.18,SBS4,0.999
mSigHdp,3k,200437,hdp.19,SBS18,0.994
mSigHdp,3k,200437,hdp.20,SBS9,0.995
mSigHdp,3k,200437,hdp.21,SBS28,0.99
mSigHdp,3k,200437,hdp.22,SBS37,0.996
mSigHdp,3k,200437,hdp.23,SBS29,0.988
mSigHdp,3k,200437,hdp.24,SBS41,0.991
mSigHdp,3k,200437,hdp.26,SBS30,0.927
mSigHdp,3k,200437,hdp.27,SBS7b,0.981
mSigHdp,3k,310111,hdp.1,SBS1,0.998
mSigHdp,3k,310111,hdp.2,SBS12,0.994
mSigHdp,3k,310111,hdp.3,SBS2,0.999
mSigHdp,3k,310111,hdp.4,SBS13,1
mSigHdp,3k,310111,hdp.5,SBS5,1
mSigHdp,3k,310111,hdp.6,SBS40,0.998
mSigHdp,3k,310111,hdp.7,SBS17a,0.999
mSigHdp,3k,310111,hdp.8,SBS17b,0.999
mSigHdp,3k,310111,hdp.9,SBS3,0.995
mSigHdp,3k,310111,hdp.10,SBS28,0.988
mSigHdp,3k,310111,hdp.11,SBS9,0.995
mSigHdp,3k,310111,hdp.12,SBS4,0.999
mSigHdp,3k,310111,hdp.13,SBS18,0.994
mSigHdp,3k,310111,hdp.14,SBS8,0.991
mSigHdp,3k,310111,hdp.15,SBS22,0.99
mSigHdp,3k,310111,hdp.16,SBS44,0.996
mSigHdp,3k,310111,hdp.17,SBS7c,0.998
mSigHdp,3k,310111,hdp.18,SBS36,0.998
mSigHdp,3k,310111,hdp.19,SBS37,0.996
mSigHdp,3k,310111,hdp.20,SBS7d,0.999
mSigHdp,3k,310111,hdp.21,SBS34,0.989
mSigHdp,3k,310111,hdp.22,SBS41,0.991
mSigHdp,3k,310111,hdp.24,SBS29,0.988
mSigHdp,3k,310111,hdp.25,SBS30,0.923
mSigHdp,3k,528401,hdp.1,SBS1,0.999
mSigHdp,3k,528401,hdp.2,SBS12,0.994
mSigHdp,3k,528401,hdp.3,SBS2,0.999
mSigHdp,3k,528401,hdp.4,SBS5,1
mSigHdp,3k,528401,hdp.5,SBS40,0.998
mSigHdp,3k,528401,hdp.6,SBS13,1
mSigHdp,3k,528401,hdp.7,SBS17b,0.999
mSigHdp,3k,528401,hdp.8,SBS17a,0.999
mSigHdp,3k,528401,hdp.9,SBS36,0.998
mSigHdp,3k,528401,hdp.10,SBS44,0.996
mSigHdp,3k,528401,hdp.11,SBS3,0.995
mSigHdp,3k,528401,hdp.12,SBS37,0.996
mSigHdp,3k,528401,hdp.13,SBS18,0.994
mSigHdp,3k,528401,hdp.14,SBS34,0.989
mSigHdp,3k,528401,hdp.15,SBS28,0.989
mSigHdp,3k,528401,hdp.16,SBS7d,0.999
mSigHdp,3k,528401,hdp.17,SBS7c,0.998
mSigHdp,3k,528401,hdp.18,SBS22,0.99
mSigHdp,3k,528401,hdp.20,SBS7b,0.981
mSigHdp,3k,528401,hdp.21,SBS4,0.999
mSigHdp,3k,528401,hdp.22,SBS9,0.995
mSigHdp,3k,528401,hdp.23,SBS8,0.99
mSigHdp,3k,528401,hdp.24,SBS41,0.991
mSigHdp,3k,528401,hdp.25,SBS29,0.988
mSigHdp,3k,528401,hdp.27,SBS30,0.916
mSigHdp,3k,1076753,hdp.1,SBS1,0.999
mSigHdp,3k,1076753,hdp.2,SBS12,0.994
mSigHdp,3k,1076753,hdp.3,SBS2,0.998
mSigHdp,3k,1076753,hdp.4,SBS5,0.999
mSigHdp,3k,1076753,hdp.5,SBS40,0.997
mSigHdp,3k,1076753,hdp.6,SBS13,1
mSigHdp,3k,1076753,hdp.7,SBS17b,0.999
mSigHdp,3k,1076753,hdp.8,SBS17a,0.999
mSigHdp,3k,1076753,hdp.9,SBS44,0.996
mSigHdp,3k,1076753,hdp.10,SBS8,0.991
mSigHdp,3k,1076753,hdp.11,SBS28,0.991
mSigHdp,3k,1076753,hdp.12,SBS34,0.989
mSigHdp,3k,1076753,hdp.13,SBS7c,0.999
mSigHdp,3k,1076753,hdp.14,SBS7d,0.999
mSigHdp,3k,1076753,hdp.15,SBS18,0.994
mSigHdp,3k,1076753,hdp.16,SBS4,0.999
mSigHdp,3k,1076753,hdp.17,SBS3,0.995
mSigHdp,3k,1076753,hdp.18,SBS36,0.998
mSigHdp,3k,1076753,hdp.19,SBS22,0.99
mSigHdp,3k,1076753,hdp.20,SBS9,0.996
mSigHdp,3k,1076753,hdp.21,SBS37,0.996
mSigHdp,3k,1076753,hdp.22,SBS41,0.992
mSigHdp,3k,1076753,hdp.23,SBS29,0.988
mSigHdp,3k,1076753,hdp.25,SBS30,0.918
mSigHdp,3k,1076753,hdp.28,SBS7b,0.978
mSigHdp,3k,145879,hdp.1,SBS1,0.999
mSigHdp,3k,145879,hdp.2,SBS12,0.994
mSigHdp,3k,145879,hdp.3,SBS2,0.999
mSigHdp,3k,145879,hdp.4,SBS40,0.996
mSigHdp,3k,145879,hdp.5,SBS5,0.999
mSigHdp,3k,145879,hdp.6,SBS13,1
mSigHdp,3k,145879,hdp.7,SBS17a,0.999
mSigHdp,3k,145879,hdp.8,SBS17b,0.999
mSigHdp,3k,145879,hdp.9,SBS3,0.996
mSigHdp,3k,145879,hdp.10,SBS18,0.994
mSigHdp,3k,145879,hdp.11,SBS44,0.996
mSigHdp,3k,145879,hdp.12,SBS34,0.989
mSigHdp,3k,145879,hdp.13,SBS7c,0.998
mSigHdp,3k,145879,hdp.14,SBS28,0.991
mSigHdp,3k,145879,hdp.15,SBS37,0.996
mSigHdp,3k,145879,hdp.16,SBS7d,0.998
mSigHdp,3k,145879,hdp.17,SBS36,0.998
mSigHdp,3k,145879,hdp.18,SBS22,0.99
mSigHdp,3k,145879,hdp.19,SBS4,1
mSigHdp,3k,145879,hdp.20,SBS9,0.995
mSigHdp,3k,145879,hdp.21,SBS8,0.991
mSigHdp,3k,145879,hdp.22,SBS29,0.987
mSigHdp,3k,145879,hdp.23,SBS41,0.993
mSigHdp,3k,145879,hdp.26,SBS30,0.933
mSigHdp,3k,145879,hdp.27,SBS7b,0.987
mSigHdp,5k,200437,hdp.1,SBS1,0.999
mSigHdp,5k,200437,hdp.2,SBS2,0.999
mSigHdp,5k,200437,hdp.3,SBS5,0.999
mSigHdp,5k,200437,hdp.4,SBS13,1
mSigHdp,5k,200437,hdp.5,SBS17b,0.999
mSigHdp,5k,200437,hdp.6,SBS40,0.998
mSigHdp,5k,200437,hdp.7,SBS17a,0.998
mSigHdp,5k,200437,hdp.8,SBS7d,0.999
mSigHdp,5k,200437,hdp.9,SBS22,0.99
mSigHdp,5k,200437,hdp.10,SBS7c,0.998
mSigHdp,5k,200437,hdp.11,SBS18,0.994
mSigHdp,5k,200437,hdp.12,SBS3,0.995
mSigHdp,5k,200437,hdp.13,SBS41,0.991
mSigHdp,5k,200437,hdp.14,SBS44,0.996
mSigHdp,5k,200437,hdp.15,SBS8,0.99
mSigHdp,5k,200437,hdp.16,SBS34,0.989
mSigHdp,5k,200437,hdp.17,SBS12,0.998
mSigHdp,5k,200437,hdp.18,SBS4,0.998
mSigHdp,5k,200437,hdp.19,SBS26,0.99
mSigHdp,5k,200437,hdp.20,SBS9,0.995
mSigHdp,5k,200437,hdp.21,SBS28,0.993
mSigHdp,5k,200437,hdp.22,SBS37,0.996
mSigHdp,5k,200437,hdp.23,SBS36,0.998
mSigHdp,5k,200437,hdp.25,SBS29,0.987
mSigHdp,5k,200437,hdp.28,SBS16,0.976
mSigHdp,5k,310111,hdp.1,SBS1,0.999
mSigHdp,5k,310111,hdp.2,SBS12,0.994
mSigHdp,5k,310111,hdp.3,SBS2,0.999
mSigHdp,5k,310111,hdp.4,SBS13,1
mSigHdp,5k,310111,hdp.5,SBS5,0.999
mSigHdp,5k,310111,hdp.6,SBS17b,0.999
mSigHdp,5k,310111,hdp.7,SBS40,0.999
mSigHdp,5k,310111,hdp.8,SBS17a,0.998
mSigHdp,5k,310111,hdp.9,SBS18,0.995
mSigHdp,5k,310111,hdp.10,SBS3,0.995
mSigHdp,5k,310111,hdp.11,SBS8,0.99
mSigHdp,5k,310111,hdp.12,SBS37,0.996
mSigHdp,5k,310111,hdp.14,SBS36,0.997
mSigHdp,5k,310111,hdp.15,SBS4,0.998
mSigHdp,5k,310111,hdp.16,SBS22,0.99
mSigHdp,5k,310111,hdp.17,SBS7c,0.998
mSigHdp,5k,310111,hdp.18,SBS44,0.996
mSigHdp,5k,310111,hdp.19,SBS28,0.994
mSigHdp,5k,310111,hdp.21,SBS7d,0.999
mSigHdp,5k,310111,hdp.22,SBS9,0.995
mSigHdp,5k,310111,hdp.23,SBS34,0.989
mSigHdp,5k,310111,hdp.24,SBS29,0.985
mSigHdp,5k,310111,hdp.25,SBS41,0.991
mSigHdp,5k,310111,hdp.27,SBS16,0.977
mSigHdp,5k,310111,hdp.28,SBS7b,0.98
mSigHdp,5k,528401,hdp.1,SBS1,0.999
mSigHdp,5k,528401,hdp.2,SBS2,0.999
mSigHdp,5k,528401,hdp.3,SBS13,1
mSigHdp,5k,528401,hdp.4,SBS5,0.999
mSigHdp,5k,528401,hdp.5,SBS40,0.998
mSigHdp,5k,528401,hdp.6,SBS17a,0.998
mSigHdp,5k,528401,hdp.7,SBS17b,0.998
mSigHdp,5k,528401,hdp.8,SBS3,0.994
mSigHdp,5k,528401,hdp.10,SBS22,0.99
mSigHdp,5k,528401,hdp.11,SBS44,0.996
mSigHdp,5k,528401,hdp.12,SBS7b,0.981
mSigHdp,5k,528401,hdp.13,SBS7d,0.999
mSigHdp,5k,528401,hdp.14,SBS9,0.995
mSigHdp,5k,528401,hdp.15,SBS28,0.993
mSigHdp,5k,528401,hdp.16,SBS36,0.998
mSigHdp,5k,528401,hdp.17,SBS4,0.998
mSigHdp,5k,528401,hdp.18,SBS37,0.996
mSigHdp,5k,528401,hdp.19,SBS26,0.99
mSigHdp,5k,528401,hdp.20,SBS8,0.991
mSigHdp,5k,528401,hdp.21,SBS18,0.994
mSigHdp,5k,528401,hdp.22,SBS7c,0.998
mSigHdp,5k,528401,hdp.23,SBS12,0.998
mSigHdp,5k,528401,hdp.24,SBS34,0.989
mSigHdp,5k,528401,hdp.25,SBS29,0.988
mSigHdp,5k,528401,hdp.26,SBS41,0.991
mSigHdp,5k,1076753,hdp.1,SBS1,0.999
mSigHdp,5k,1076753,hdp.2,SBS12,0.994
mSigHdp,5k,1076753,hdp.3,SBS13,1
mSigHdp,5k,1076753,hdp.4,SBS5,0.999
mSigHdp,5k,1076753,hdp.5,SBS2,0.999
mSigHdp,5k,1076753,hdp.6,SBS17b,0.999
mSigHdp,5k,1076753,hdp.7,SBS17a,0.998
mSigHdp,5k,1076753,hdp.8,SBS40,0.999
mSigHdp,5k,1076753,hdp.9,SBS3,0.994
mSigHdp,5k,1076753,hdp.10,SBS28,0.993
mSigHdp,5k,1076753,hdp.11,SBS4,0.998
mSigHdp,5k,1076753,hdp.12,SBS37,0.996
mSigHdp,5k,1076753,hdp.13,SBS7d,0.999
mSigHdp,5k,1076753,hdp.14,SBS7c,0.998
mSigHdp,5k,1076753,hdp.15,SBS22,0.99
mSigHdp,5k,1076753,hdp.16,SBS18,0.994
mSigHdp,5k,1076753,hdp.17,SBS9,0.995
mSigHdp,5k,1076753,hdp.18,SBS44,0.996
mSigHdp,5k,1076753,hdp.19,SBS34,0.989
mSigHdp,5k,1076753,hdp.20,SBS36,0.997
mSigHdp,5k,1076753,hdp.21,SBS8,0.99
mSigHdp,5k,1076753,hdp.22,SBS41,0.991
mSigHdp,5k,1076753,hdp.23,SBS29,0.987
mSigHdp,5k,1076753,hdp.25,SBS30,0.908
mSigHdp,5k,145879,hdp.1,SBS1,0.999
mSigHdp,5k,145879,hdp.2,SBS5,0.999
mSigHdp,5k,145879,hdp.3,SBS13,1
mSigHdp,5k,145879,hdp.4,SBS2,0.999
mSigHdp,5k,145879,hdp.5,SBS17b,0.999
mSigHdp,5k,145879,hdp.6,SBS40,0.999
mSigHdp,5k,145879,hdp.7,SBS17a,0.999
mSigHdp,5k,145879,hdp.8,SBS26,0.991
mSigHdp,5k,145879,hdp.9,SBS7d,0.999
mSigHdp,5k,145879,hdp.10,SBS28,0.993
mSigHdp,5k,145879,hdp.11,SBS44,0.996
mSigHdp,5k,145879,hdp.12,SBS7c,0.998
mSigHdp,5k,145879,hdp.13,SBS36,0.998
mSigHdp,5k,145879,hdp.14,SBS22,0.99
mSigHdp,5k,145879,hdp.15,SBS3,0.994
mSigHdp,5k,145879,hdp.16,SBS18,0.995
mSigHdp,5k,145879,hdp.17,SBS9,0.995
mSigHdp,5k,145879,hdp.18,SBS8,0.99
mSigHdp,5k,145879,hdp.19,SBS12,0.998
mSigHdp,5k,145879,hdp.20,SBS4,0.998
mSigHdp,5k,145879,hdp.21,SBS34,0.989
mSigHdp,5k,145879,hdp.22,SBS37,0.996
mSigHdp,5k,145879,hdp.24,SBS29,0.985
mSigHdp,5k,145879,hdp.25,SBS41,0.992
mSigHdp,5k,145879,hdp.29,SBS16,0.979
mSigHdp,5k,145879,hdp.30,SBS38,0.958
mSigHdp,no_down_samp,200437,hdp.1,SBS1,0.999
mSigHdp,no_down_samp,200437,hdp.2,SBS2,0.983
mSigHdp,no_down_samp,200437,hdp.3,SBS13,0.999
mSigHdp,no_down_samp,200437,hdp.4,SBS17a,0.996
mSigHdp,no_down_samp,200437,hdp.6,SBS17b,0.996
mSigHdp,no_down_samp,200437,hdp.8,SBS7c,0.995
mSigHdp,no_down_samp,200437,hdp.9,SBS5,0.995
mSigHdp,no_down_samp,200437,hdp.12,SBS7d,0.99
mSigHdp,no_down_samp,200437,hdp.13,SBS34,0.989
mSigHdp,no_down_samp,200437,hdp.14,SBS3,0.987
mSigHdp,no_down_samp,200437,hdp.15,SBS44,0.99
mSigHdp,no_down_samp,200437,hdp.16,SBS36,0.997
mSigHdp,no_down_samp,200437,hdp.18,SBS16,0.947
mSigHdp,no_down_samp,200437,hdp.19,SBS22,0.989
mSigHdp,no_down_samp,200437,hdp.20,SBS18,0.997
mSigHdp,no_down_samp,200437,hdp.21,SBS26,0.99
mSigHdp,no_down_samp,200437,hdp.22,SBS40,0.994
mSigHdp,no_down_samp,200437,hdp.23,SBS38,0.992
mSigHdp,no_down_samp,200437,hdp.24,SBS9,0.994
mSigHdp,no_down_samp,200437,hdp.25,SBS37,0.995
mSigHdp,no_down_samp,200437,hdp.26,SBS4,0.99
mSigHdp,no_down_samp,200437,hdp.28,SBS28,0.982
mSigHdp,no_down_samp,200437,hdp.30,SBS41,0.991
mSigHdp,no_down_samp,200437,hdp.31,SBS12,0.996
mSigHdp,no_down_samp,200437,hdp.32,SBS8,0.989
mSigHdp,no_down_samp,310111,hdp.1,SBS1,0.999
mSigHdp,no_down_samp,310111,hdp.3,SBS2,0.999
mSigHdp,no_down_samp,310111,hdp.25,SBS3,0.986
mSigHdp,no_down_samp,310111,hdp.19,SBS4,0.988
mSigHdp,no_down_samp,310111,hdp.7,SBS5,0.995
mSigHdp,no_down_samp,310111,hdp.22,SBS7a,0.987
mSigHdp,no_down_samp,310111,hdp.5,SBS7c,0.992
mSigHdp,no_down_samp,310111,hdp.15,SBS7d,0.985
mSigHdp,no_down_samp,310111,hdp.16,SBS8,0.991
mSigHdp,no_down_samp,310111,hdp.28,SBS9,0.994
mSigHdp,no_down_samp,310111,hdp.24,SBS12,0.996
mSigHdp,no_down_samp,310111,hdp.2,SBS13,0.999
mSigHdp,no_down_samp,310111,hdp.33,SBS16,0.958
mSigHdp,no_down_samp,310111,hdp.10,SBS17a,0.992
mSigHdp,no_down_samp,310111,hdp.8,SBS17b,0.995
mSigHdp,no_down_samp,310111,hdp.31,SBS18,0.997
mSigHdp,no_down_samp,310111,hdp.14,SBS22,0.989
mSigHdp,no_down_samp,310111,hdp.21,SBS26,0.992
mSigHdp,no_down_samp,310111,hdp.17,SBS28,0.982
mSigHdp,no_down_samp,310111,hdp.32,SBS34,0.988
mSigHdp,no_down_samp,310111,hdp.34,SBS36,0.997
mSigHdp,no_down_samp,310111,hdp.20,SBS37,0.995
mSigHdp,no_down_samp,310111,hdp.37,SBS38,0.991
mSigHdp,no_down_samp,310111,hdp.4,SBS40,0.993
mSigHdp,no_down_samp,310111,hdp.36,SBS41,0.992
mSigHdp,no_down_samp,310111,hdp.18,SBS44,0.988
mSigHdp,no_down_samp,528401,hdp.1,SBS1,0.999
mSigHdp,no_down_samp,528401,hdp.2,SBS2,0.998
mSigHdp,no_down_samp,528401,hdp.21,SBS3,0.987
mSigHdp,no_down_samp,528401,hdp.14,SBS4,0.988
mSigHdp,no_down_samp,528401,hdp.27,SBS5,0.996
mSigHdp,no_down_samp,528401,hdp.9,SBS7c,0.991
mSigHdp,no_down_samp,528401,hdp.3,SBS7d,0.989
mSigHdp,no_down_samp,528401,hdp.29,SBS8,0.99
mSigHdp,no_down_samp,528401,hdp.25,SBS9,0.995
mSigHdp,no_down_samp,528401,hdp.30,SBS12,0.996
mSigHdp,no_down_samp,528401,hdp.17,SBS13,0.992
mSigHdp,no_down_samp,528401,hdp.34,SBS16,0.953
mSigHdp,no_down_samp,528401,hdp.4,SBS17a,0.993
mSigHdp,no_down_samp,528401,hdp.6,SBS17b,0.995
mSigHdp,no_down_samp,528401,hdp.23,SBS18,0.996
mSigHdp,no_down_samp,528401,hdp.16,SBS22,0.989
mSigHdp,no_down_samp,528401,hdp.15,SBS26,0.992
mSigHdp,no_down_samp,528401,hdp.24,SBS28,0.985
mSigHdp,no_down_samp,528401,hdp.33,SBS29,0.976
mSigHdp,no_down_samp,528401,hdp.12,SBS34,0.987
mSigHdp,no_down_samp,528401,hdp.26,SBS36,0.997
mSigHdp,no_down_samp,528401,hdp.19,SBS37,0.995
mSigHdp,no_down_samp,528401,hdp.13,SBS38,0.992
mSigHdp,no_down_samp,528401,hdp.5,SBS40,0.994
mSigHdp,no_down_samp,528401,hdp.28,SBS41,0.991
mSigHdp,no_down_samp,528401,hdp.22,SBS44,0.989
mSigHdp,no_down_samp,1076753,hdp.1,SBS1,1
mSigHdp,no_down_samp,1076753,hdp.3,SBS2,0.994
mSigHdp,no_down_samp,1076753,hdp.20,SBS3,0.987
mSigHdp,no_down_samp,1076753,hdp.19,SBS4,0.991
mSigHdp,no_down_samp,1076753,hdp.24,SBS5,0.995
mSigHdp,no_down_samp,1076753,hdp.22,SBS7a,0.987
mSigHdp,no_down_samp,1076753,hdp.7,SBS7c,0.994
mSigHdp,no_down_samp,1076753,hdp.6,SBS7d,0.989
mSigHdp,no_down_samp,1076753,hdp.31,SBS8,0.99
mSigHdp,no_down_samp,1076753,hdp.13,SBS9,0.994
mSigHdp,no_down_samp,1076753,hdp.2,SBS12,0.981
mSigHdp,no_down_samp,1076753,hdp.25,SBS13,0.993
mSigHdp,no_down_samp,1076753,hdp.4,SBS17a,0.995
mSigHdp,no_down_samp,1076753,hdp.5,SBS17b,0.995
mSigHdp,no_down_samp,1076753,hdp.21,SBS18,0.997
mSigHdp,no_down_samp,1076753,hdp.29,SBS22,0.989
mSigHdp,no_down_samp,1076753,hdp.11,SBS28,0.982
mSigHdp,no_down_samp,1076753,hdp.34,SBS29,0.983
mSigHdp,no_down_samp,1076753,hdp.30,SBS34,0.989
mSigHdp,no_down_samp,1076753,hdp.17,SBS36,0.997
mSigHdp,no_down_samp,1076753,hdp.26,SBS37,0.995
mSigHdp,no_down_samp,1076753,hdp.15,SBS38,0.993
mSigHdp,no_down_samp,1076753,hdp.8,SBS40,0.993
mSigHdp,no_down_samp,1076753,hdp.32,SBS41,0.991
mSigHdp,no_down_samp,1076753,hdp.14,SBS44,0.993
mSigHdp,no_down_samp,145879,hdp.1,SBS1,0.999
mSigHdp,no_down_samp,145879,hdp.4,SBS2,0.976
mSigHdp,no_down_samp,145879,hdp.23,SBS3,0.986
