Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13,hdp.14
DEL,repeats,3,0,0.0179117826280602,0.00105140320947485,0.00504403692497228,0.00458836515327433,1.36105884999743e-05,0.00114002790240091,0.00213017441496018,4.41717961201442e-05,0.00160979218332607,0.0116213504554877,0.015888368743867,0.00647559930175214,0.00036768357251067,0.0131458541879699
DEL,repeats,3,1,0.00603261464530902,0.0041836923953181,0.0990054461009796,0.000852380740377756,0.00446383858748534,0.000249487214719682,0.00412498915864831,0.00429365123730477,0.00440529775606883,0.00211464449588157,0.00588413206080245,0.000863125985902481,0.055070983842066,0.00158641158569207
DEL,repeats,3,2,0.00104969261431532,0.000515952949494449,0.0143729127401197,0.000831277177752371,0.00200923468179936,7.4258507164959e-05,0.000961157426899157,0.000668268476442932,0.00144790277130355,0.000226789503761435,0.000520746844007906,0.000421978078024505,0.00610556162494177,0.000557504978941853
DEL,repeats,3,3,0.000582502462962081,0.000145651141347086,0.00371570597434949,0.000144304913929351,0.000455825887153138,0.000115100233365123,0.000319686026371343,0.000251663199891511,0.000376415215949111,0.000250962737245825,0.000244033083400368,0.000487885360020726,0.0053473235405613,0.000391866399559391
DEL,repeats,3,4,0.00596017259995722,3.44928595871128e-05,0.000723704114742072,0.000843398146753128,2.40352799543555e-06,5.11913754733686e-05,3.34085863046912e-05,4.15983312907277e-06,3.79958718100677e-05,3.05968633388798e-05,0.00461917284971625,0.00299689072834252,7.37885046602162e-05,9.53664357788649e-05
DEL,repeats,3,5+,0.00934017102328893,0.000171159832254849,0.00070778147789973,0.000450527867697038,2.53329593885109e-06,0.000123942256563097,7.77241289183173e-05,3.51002036653475e-06,6.20162505405702e-05,5.19024728384951e-05,0.0073809982182217,0.00377806129487144,5.46244759617335e-05,8.42480257001304e-05
DEL,repeats,4,0,0.0111043281790347,0.00234882013053297,0.00646316465021406,0.00422903123160291,1.47051528922618e-05,0.000132874827873697,0.00126874204046313,5.31711871568811e-05,0.000404941897135666,0.00729193422679192,0.0101163014594479,0.00559855760220603,0.000967993274405111,0.00536534384536347
DEL,repeats,4,1,0.00256022100549298,0.00249797436220957,0.0576120562907011,0.000640993052783631,0.00193629193273601,0.00139426889303348,0.00361119188606425,0.000870484019451788,0.000258665731287974,0.00130994128524678,0.00295219356828475,0.00179646806876825,0.00637064070803393,0.00163641057474285
DEL,repeats,4,2,0.000196391518725839,0.000539464298291679,0.0137613940166505,0.000169321386879462,0.000464128214489484,2.65894532727597e-05,0.000496501783791079,2.78749046152223e-05,0.000571000135218851,0.000104398247191081,7.57731664488693e-05,0.000253318749313695,0.000362787652770181,0.000315710030402554
DEL,repeats,4,3,0.0036633143032439,0.000173432002446481,0.00398790058537428,0.000455386314192778,1.85624579929178e-06,4.93804132208394e-05,0.000101975215401679,3.69258680934305e-06,3.49982873569223e-05,6.83399673506937e-05,0.00381457284085037,0.00213481996243197,7.93138997959101e-05,0.000140138011564853
DEL,repeats,4,4,0.00481458115856499,5.02354765707048e-05,0.00042113207627354,0.000494253886158692,2.06594327307195e-06,0.000112130255270975,3.40721732482658e-05,5.35631377120627e-06,1.83329088905943e-05,7.99587886683168e-05,0.00447181901803792,0.00102833386588967,0.000103653615077195,0.000487347946770253
DEL,repeats,4,5+,0.0017076380412672,0.000114208486378382,0.000664263331727463,0.000302390514606452,0.00014535420183664,7.1175343930028e-05,5.4492553284629e-05,3.3772729021877e-05,7.70835790169763e-05,3.55144201191373e-05,0.000805810886547263,0.000352531412305338,0.000451124033230706,5.03646371288836e-05
DEL,repeats,5+,0,0.0217015968590971,0.0144006121094888,0.00569337016350605,0.0126434481475106,4.8362067607688e-06,0.0013718537077528,0.0021109907196823,7.95969061667607e-06,0.00492614294346733,0.20491619598999,0.0194525372882838,0.0347105163334315,0.000198914224884981,0.341811527294011
DEL,repeats,5+,1,0.000196326234056412,0.00791174692789816,0.0150086718957967,0.0031211847238291,0.00280936407360381,0.000124992614669564,0.000716486888194631,8.89934050028264e-05,0.000407304231903377,0.000493957739414589,0.000236741776931836,0.000267102560458335,0.00173532378116078,0.00078968473727908
DEL,repeats,5+,2,0.000293857177869,0.000391583565751442,0.00289214637675855,0.000363900660199508,0.000404857176508147,5.06345045807158e-05,0.000136614453856272,0.000105039654442198,3.72117354796091e-05,0.000239872562790117,0.000228877582097919,0.000902542849351188,0.00133371847901959,0.000442732109980496
DEL,repeats,5+,3,0.00016931579015883,0.000173567481078009,0.000904780422923687,0.000101152252507567,0.000114036871492357,4.18377554390553e-05,0.000139214508153369,1.64237597109412e-05,9.51981208282024e-05,2.40134984613657e-05,0.000179869586477286,0.000272004936670862,0.000456999136919291,0.000107392194792161
DEL,repeats,5+,4,4.18931723712824e-05,7.79466629453138e-05,0.000130023217972455,3.20677586509669e-05,6.23901703603905e-05,2.2080157263962e-05,6.05613575140474e-05,8.6992394273741e-06,2.60750144318306e-05,1.01545836065642e-05,2.59188584702816e-05,0.000112446880390484,0.000379783488440734,3.08634062965114e-05
DEL,repeats,5+,5+,0.000591698896728693,2.06314601727428e-06,0.000166551620140181,0.000155419993386477,2.04506756043554e-05,2.76669758130145e-05,8.02819549553684e-05,1.25898644119668e-05,2.31766877420345e-05,2.80563158298218e-05,0.000621670677709837,0.000179387398628808,0.000469168994559934,6.19773492391331e-05
INS,repeats,2,0,0.00603197920785993,0.00215396315021479,0.00102313076840856,0.0101982312558972,0.000217708293417545,0.00229941499128135,0.00143878317844983,0.000550072692181413,0.0259711411824857,0.00198991045897353,0.00606148875058612,0.0035613015215283,0.00173728214905698,0.00236738171044294
INS,repeats,2,1,0.0188925933876631,0.000268959920946128,0.000746420782756827,0.00270195007983444,0.000235883328275048,0.00257824432189764,0.00172658083587812,3.35623134606742e-05,5.94554002461612e-05,0.00150646860857472,0.020586352804394,0.00297448928726375,0.000431540354268752,0.00175178608590701
INS,repeats,2,2,0.00741721761378466,0.0004912610011939,0.000133070746358434,0.000565420571370609,0.00086287219244586,0.000948129287311651,0.000593481999290215,0.000235995492172539,0.00113440705154149,0.000596557065989227,0.00725352187679687,0.00190058310797242,0.0011675369746853,0.000318046115346016
