Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.97),ID83D (ID8 0.998),ID83E (ID3 0.99),ID83F (ID6 0.997),ID83G (ID9 0.995),ID83H (ID4 0.999),ID83I (ID11 0.992),ID83J (ID14 1)
INS,C,1,4,0.00329185,0.00164432,0,4.9e-07,0.00754508,0.00015421,1.744e-05,1.849e-05,0.00976793,0.00141558
INS,C,1,5+,0.00892823,0.02473094,3.87e-05,2.61e-05,0.00751224,0.00079124,0.00116084,0.00033444,0.00415671,0.0022798
INS,T,1,0,0.00130969,0.00189957,0.010149,0.00387955,0.01540073,0.00675787,0.01605271,0.00109676,0.01479012,0.03357641
INS,T,1,1,5.6e-07,0,0.00714313,0.00200304,0.05340445,3.629e-05,0.00692117,0.00025239,0.26644177,0.00101451
INS,T,1,2,0.00076185,1.2e-07,0.02627259,0,0.05070391,7.92e-06,2.782e-05,0,0.14188297,0.00086489
INS,T,1,3,0.00128027,0.00432166,0.01775177,0.00011257,0.0309497,0.00041773,0.00036865,6.538e-05,0.09366084,0.00045136
INS,T,1,4,0.00350986,0.01696948,0.01273548,0.0002095,0.00796623,0.00124534,0.00079125,0.00025743,0.04181029,0.00444174
INS,T,1,5+,0.00343164,0.90414928,0.00050191,0.00899035,0.01080106,0.02709949,0.02674488,0.00483963,0.03962085,0.23846596
DEL,repeats,2,0,7.263e-05,5.576e-05,0.03037649,0.00901271,0.00644361,0.00121308,0.01188951,0.07326797,0.00010329,0.00010588
DEL,repeats,2,1,0.0032894,5.392e-05,0.01712172,0.00962709,0.01062572,0.0014563,0.00042572,0.23591701,0.00185123,0.00549383
DEL,repeats,2,2,0.00192393,5.3e-07,0.00253528,2.583e-05,0.01316681,0.00206047,0.00024193,0.05423656,0.00157324,0.00251124
DEL,repeats,2,3,0.00084263,1.634e-05,0,0,0.00666593,0.00012134,1e-08,0.01126734,0.00053158,0.00063673
DEL,repeats,2,4,0.00087228,0,0.0004712,0,0.00385153,0,2e-08,0.00266959,0.00056908,3.966e-05
DEL,repeats,2,5+,0,2e-08,0.02860966,1.85e-06,0.00040912,0,4.461e-05,0.00035126,0.00352398,0
DEL,repeats,3,0,1.636e-05,2.552e-05,0.0197103,0.01242239,0.00088142,0.00053309,0.00121296,0.00472794,4.851e-05,0.00091664
DEL,repeats,3,1,0.00489196,0.00463722,0.0023938,0.00054607,0.0001758,0.00590899,0.00332998,0.09831729,0.00321314,0.00479081
DEL,repeats,3,2,0.00277588,0.00018666,8.136e-05,4.1e-06,0,0.00092717,0.00020213,0.02111755,0.00274877,0.00120438
DEL,repeats,3,3,0.00053557,2.181e-05,6.107e-05,0,0,5.543e-05,1.577e-05,0.00409847,0.00044018,0.000586
DEL,repeats,3,4,0,8e-08,0.007652,1e-08,5.713e-05,1e-08,1.246e-05,3.166e-05,0.00053308,0
DEL,repeats,3,5+,0,5e-08,0.01113902,7.3e-07,0.00012487,1e-08,1.58e-05,0.00011119,0.00095574,0
DEL,repeats,4,0,7.63e-06,1.25e-06,0.01235728,0.00743379,0.00029713,0.00213217,0.00037966,0.0073985,5.72e-06,1.194e-05
DEL,repeats,4,1,0.00206047,0.00040284,0.00029921,0.00130272,0.00038926,0.00285767,0.00355125,0.06458457,0.00042025,0.00030179
DEL,repeats,4,2,0.00034521,0,0,7.4e-07,0,0.00025234,8.73e-06,0.01064066,2.599e-05,0.00048828
DEL,repeats,4,3,1.6e-07,2e-08,0.00484047,2e-08,7.57e-06,1.253e-05,2e-08,0.00332841,3.6e-06,0
DEL,repeats,4,4,0,8e-08,0.00603088,6e-08,2.509e-05,3e-08,8.98e-06,3.234e-05,6.294e-05,1e-08
DEL,repeats,4,5+,0.00014989,1e-08,0.00151463,0,0,1e-08,4.11e-06,0.00012693,0.00011373,0
DEL,repeats,5+,0,0,0,0.01610188,0.26721056,0.00121505,0.01004319,0.00026285,0.00181102,0.00081046,0.00166102
DEL,repeats,5+,1,0.00312508,6e-08,1.73e-05,0.0001168,0,0.00809552,0.00020125,0.01241599,0.00280125,0.00070431
DEL,repeats,5+,2,0.00039001,1e-08,1.5e-05,1.76e-06,0,0.0002777,9.45e-06,0.00196092,0.00029024,3.585e-05
DEL,repeats,5+,3,9.646e-05,2e-08,0,0,0,2.27e-06,7.5e-07,0.00046264,3.907e-05,8.91e-06
DEL,repeats,5+,4,4.137e-05,2e-08,0,0,0,0,9.3e-07,2.979e-05,2.57e-06,0
DEL,repeats,5+,5+,1.831e-05,9e-08,0.00012989,0,0,8.5e-07,2.63e-06,3.667e-05,1.682e-05,2.094e-05
INS,repeats,2,0,0.00040007,0.00014287,0.00853341,0.00171055,0.0025709,0.00227633,0.00083104,0.00023535,0.00306836,0.02540533
INS,repeats,2,1,0.00021346,0,0.02169801,0.00099645,0.00331061,0.00019915,0.00085364,3.883e-05,0.00088753,1.475e-05
INS,repeats,2,2,0.00118298,7.12e-06,0.00856305,6.44e-06,0.00147398,0.00090035,0.00017278,1.921e-05,0.00145816,0.00175575
INS,repeats,2,3,0.00051082,0.00017023,0.00123666,2.54e-06,0.00112694,0.00039854,5.988e-05,3.242e-05,0.00053751,0.00104954
INS,repeats,2,4,0.00210544,0.00267172,0,0,2.325e-05,0.00058535,0.00064158,1.852e-05,0.0022554,0.00301796
INS,repeats,2,5+,0.01387452,0.01820395,0.00105146,0.00131465,1.417e-05,0.00186409,0.00080393,0.00029231,0.00328868,0.00062536
INS,repeats,3,0,3.697e-05,1.7e-06,0.00483168,2.751e-05,0.00012645,0.0013843,8.364e-05,2.48e-06,0.00037346,0.00719437
INS,repeats,3,1,0.0014152,3.114e-05,0.00794339,1.53e-05,0.0003994,0.00041282,0.00037355,6.943e-05,0.00267345,0.00342027
INS,repeats,3,2,0.00016213,0,0.00079578,9.34e-06,1.341e-05,0.00065579,1.888e-05,0.000296,0.00019966,0.00022484
INS,repeats,3,3,3.588e-05,1.263e-05,0,1.2e-07,0,1.354e-05,3.55e-06,0,2.801e-05,0.00020758
INS,repeats,3,4,0.00010523,5.1e-07,0,0,0,0,8e-07,0,3.755e-05,0.00045774
INS,repeats,3,5+,0.00242337,0.00054716,0,0,0,5.01e-06,0.00015811,1.766e-05,0.00198491,0.00240515
INS,repeats,4,0,6e-06,1.8e-07,0.00318703,5.468e-05,1.12e-06,0.00157088,5.349e-05,7.18e-06,0.0002762,0.00656619
INS,repeats,4,1,0.0014276,0.00056709,0.00454957,0.00082481,0.00027322,0.00126495,0.00086096,0.00119998,0.00553571,0.00220524
INS,repeats,4,2,2.599e-05,6.68e-06,8.31e-06,4.3e-06,0,0.00028017,1.192e-05,4.627e-05,6.664e-05,1.94e-05
INS,repeats,4,3,0.00013157,2.28e-06,0,1e-07,0,1.465e-05,5.5e-07,0,7.689e-05,0.00079369
INS,repeats,4,4,0.00028939,9.42e-06,0,0,0,1e-08,4.93e-06,3.117e-05,0.00016721,0.00184705
INS,repeats,4,5+,0.00275798,0.00071677,0.00048309,0.00023632,0,0.00070771,0.00052508,4.388e-05,0.0044656,0.00047645
INS,repeats,5+,0,0,6e-08,0.00576136,0.00023143,7.17e-05,0.00904607,0.00016575,3.9e-06,0.00059658,0.0034561
INS,repeats,5+,1,0.00014798,0.00131766,0.00696452,0.00991196,0.00026103,0.00745426,0.00298151,0.00210493,0.01282889,0.03232382
INS,repeats,5+,2,5.931e-05,4.057e-05,0,1.76e-05,0,0.00126726,3.394e-05,8.377e-05,0.00018841,0.0007176
INS,repeats,5+,3,0.0001245,1.432e-05,1.3e-06,0,0,1.454e-05,6.51e-06,0,0.00011789,2.3e-05
INS,repeats,5+,4,5.376e-05,2.746e-05,0,0,0,7.3e-06,1.304e-05,0,8.193e-05,8.893e-05
INS,repeats,5+,5+,0.0001285,6.5e-07,0.00018318,0,0,6.01e-06,5.97e-06,7.845e-05,0.00010278,8.18e-06
DEL,MH,2,1,1.153e-05,1.442e-05,0.02506188,0.00332666,0.00871012,0.00042196,0.00062265,0.19428883,0.00010207,0.00165195
DEL,MH,3,1,2.2e-07,1.82e-06,0.01502847,0.01030247,0.00043384,0.00054768,0.00151556,0.00674377,4.25e-06,0.00152792
DEL,MH,3,2,0.0030135,0.00126348,0.00783985,0.00441604,0.00047458,0.0045842,0.00057158,0.05105661,0.0011198,0.00314257
DEL,MH,4,1,0.0001028,1e-08,0.00972859,0.00635231,0.00014547,0.00263981,0.00077947,0.01130338,2.614e-05,4.5e-07
DEL,MH,4,2,0.00039543,0,0.00553574,0.00052451,0.00027738,0.00940864,0.00227327,0.03045105,4.746e-05,0.0008058
DEL,MH,4,3,0.00047224,0,0.00178832,0.00031174,0.00013457,0.0051175,0.00086512,0.0508275,0.00034261,0.0020575
DEL,MH,5+,1,0.00047918,0,0.00245564,0.31878972,0.0003367,0.05157362,1.558e-05,2.829e-05,0.00018499,0.00158409
DEL,MH,5+,2,1.1e-07,2e-08,0.00057024,0.12969818,0.00063706,0.26377613,7.7e-07,6e-08,1.9e-07,0.00183852
DEL,MH,5+,3,0,2e-08,0.00237019,0.04286311,0.00031591,0.23025172,2.1e-07,6.088e-05,2.7e-07,0.00027036
DEL,MH,5+,4,0.00031265,8.75e-06,7.69e-05,0.01276991,0.00019938,0.12855256,8.9e-06,0.00286746,0.000257,2.15e-06
DEL,MH,5+,5+,0.00272598,0.00027415,0.00015548,0.00986845,1.94e-06,0.10703505,0.00085027,0.00018209,0.0087354,0.00101625
