MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
5:Ins:R:4	0.00000199	0.00017019	0.00024472	0.00001284	0.00001072	0.00002586	0.00005740	0.00012459	0.00026414	0.00000000	0.00001884
5:Ins:R:5	0.00003520	0.00016256	0.00087796	0.00037149	0.00005328	0.00000253	0.00019475	0.00000556	0.00057720	0.00000174	0.00000050
2:Del:M:1	0.00000000	0.00000577	0.02539085	0.00011253	0.00987165	0.00000000	0.01337210	0.00003410	0.00038352	0.21531799	0.00134611
3:Del:M:1	0.00000000	0.00000022	0.01093759	0.01274121	0.00188653	0.00078791	0.01408908	0.00093610	0.00016584	0.00636973	0.00135023
3:Del:M:2	0.00153332	0.00092341	0.01021148	0.00304941	0.00047487	0.00390666	0.00179747	0.00022466	0.01400219	0.04382790	0.00325305
4:Del:M:1	0.00002207	0.00002058	0.01199323	0.00559446	0.00008629	0.00251534	0.00318413	0.00191618	0.00048756	0.01280502	0.00000000
4:Del:M:2	0.00047385	0.00003668	0.00680224	0.00083462	0.00018925	0.00966853	0.00100320	0.00150448	0.00081233	0.03176739	0.00048353
4:Del:M:3	0.00034499	0.00000000	0.00197782	0.00005262	0.00000000	0.00498907	0.00011051	0.00100022	0.00192659	0.05008408	0.00144542
5:Del:M:1	0.00054965	0.00000000	0.00000621	0.35607019	0.00004308	0.06432510	0.00077123	0.00007957	0.00045457	0.00011389	0.00151608
5:Del:M:2	0.00000000	0.00000002	0.00127401	0.12015981	0.00112517	0.27262417	0.00378934	0.00000003	0.00010907	0.00000042	0.00143890
5:Del:M:3	0.00000000	0.00000001	0.00457135	0.02168079	0.00055875	0.24689640	0.00052420	0.00001803	0.00010776	0.00021438	0.00003866
5:Del:M:4	0.00034391	0.00000000	0.00065723	0.00008593	0.00107948	0.14059270	0.00000000	0.00000000	0.00042495	0.00351937	0.00000322
5:Del:M:5	0.00202449	0.00018953	0.00000000	0.00041272	0.00000000	0.11371548	0.00599632	0.00000000	0.00501687	0.00036049	0.00065450
