Data_set,Noise_level,Approach,Run,cpu_time
indel_set2,Realistic,NR_hdp_gb_1,seed.200437,595095.812
indel_set2,Realistic,NR_hdp_gb_1,seed.310111,584868.425
indel_set2,Realistic,NR_hdp_gb_1,seed.528401,590655.636
indel_set2,Realistic,NR_hdp_gb_50,seed.1076753,535856.25
indel_set2,Realistic,NR_hdp_gb_50,seed.145879,535016.292
indel_set2,Realistic,NR_hdp_gb_50,seed.200437,538469.25
indel_set2,Realistic,NR_hdp_gb_50,seed.310111,534511.943
indel_set2,Realistic,NR_hdp_gb_50,seed.528401,534307.816
indel_set2,Realistic,SignatureAnalyzer,seed.1076753,120675.468
indel_set2,Realistic,SignatureAnalyzer,seed.145879,161793.674
indel_set2,Realistic,SignatureAnalyzer,seed.200437,168239.008
indel_set2,Realistic,SignatureAnalyzer,seed.310111,111497.293
indel_set2,Realistic,SignatureAnalyzer,seed.528401,137332.951
indel_set2,Realistic,signeR,seed.1076753,296634.33
indel_set2,Realistic,signeR,seed.145879,263977.388
indel_set2,Realistic,signeR,seed.200437,277795.83
indel_set2,Realistic,signeR,seed.310111,290525.969
indel_set2,Realistic,signeR,seed.528401,287834.434
indel_set2,Realistic,SigProfilerExtractor,seed.1076753,129188.65
indel_set2,Realistic,SigProfilerExtractor,seed.145879,128062.9
indel_set2,Realistic,SigProfilerExtractor,seed.200437,128862.09
indel_set2,Realistic,SigProfilerExtractor,seed.310111,126674.87
indel_set2,Realistic,SigProfilerExtractor,seed.528401,129836.98
SBS_set1,Moderate,mSigHdp,seed.1076753,9021055.564
SBS_set1,Moderate,mSigHdp,seed.145879,12280424.606
SBS_set1,Moderate,mSigHdp,seed.200437,12038797.09
SBS_set1,Moderate,mSigHdp,seed.310111,8825779.456
SBS_set1,Moderate,mSigHdp,seed.528401,9060065.306
SBS_set1,Noiseless,mSigHdp,seed.1076753,6825712.496
SBS_set1,Noiseless,mSigHdp,seed.145879,6558289.12
SBS_set1,Noiseless,mSigHdp,seed.200437,6415796.623
SBS_set1,Noiseless,mSigHdp,seed.310111,4521641.276
SBS_set1,Noiseless,mSigHdp,seed.528401,5001828.582
SBS_set1,Realistic,mSigHdp,seed.1076753,17875397.175
SBS_set1,Realistic,mSigHdp,seed.145879,17777271.397
SBS_set1,Realistic,mSigHdp,seed.200437,17756133.684
SBS_set1,Realistic,mSigHdp,seed.310111,17459401.501
SBS_set1,Realistic,mSigHdp,seed.528401,18103805.217
SBS_set1,Realistic,NR_hdp_gb_1,seed.1076753,44903442.705
SBS_set1,Realistic,NR_hdp_gb_1,seed.145879,44455802.97
SBS_set1,Realistic,NR_hdp_gb_1,seed.200437,45117615.791
SBS_set1,Realistic,NR_hdp_gb_1,seed.310111,44956989.098
SBS_set1,Realistic,NR_hdp_gb_1,seed.528401,43134899.532
SBS_set1,Realistic,NR_hdp_gb_20,seed.1076753,14086166.971
SBS_set1,Realistic,NR_hdp_gb_20,seed.145879,14125877.708
SBS_set1,Realistic,NR_hdp_gb_20,seed.200437,14113375.146
SBS_set1,Realistic,NR_hdp_gb_20,seed.310111,14020604.483
SBS_set1,Realistic,NR_hdp_gb_20,seed.528401,14494105.136
SBS_set1,Moderate,SignatureAnalyzer,seed.1076753,3267629.117
SBS_set1,Moderate,SignatureAnalyzer,seed.145879,3329984.929
SBS_set1,Moderate,SignatureAnalyzer,seed.200437,3135480.673
SBS_set1,Moderate,SignatureAnalyzer,seed.310111,3068528.608
SBS_set1,Moderate,SignatureAnalyzer,seed.528401,3389296.796
SBS_set1,Noiseless,SignatureAnalyzer,seed.1076753,2932796.351
SBS_set1,Noiseless,SignatureAnalyzer,seed.145879,2953163.058
SBS_set1,Noiseless,SignatureAnalyzer,seed.200437,2782454.993
SBS_set1,Noiseless,SignatureAnalyzer,seed.310111,2803906.806
SBS_set1,Noiseless,SignatureAnalyzer,seed.528401,2729284.39
SBS_set1,Realistic,SignatureAnalyzer,seed.1076753,4016281.778
SBS_set1,Realistic,SignatureAnalyzer,seed.145879,4245677.486
SBS_set1,Realistic,SignatureAnalyzer,seed.200437,4232091.226
SBS_set1,Realistic,SignatureAnalyzer,seed.310111,4122607.682
SBS_set1,Realistic,SignatureAnalyzer,seed.528401,4233571.47
SBS_set1,Realistic,signeR,seed.1076753,3302646.823
SBS_set1,Realistic,signeR,seed.145879,3063782.962
SBS_set1,Realistic,signeR,seed.200437,3407795.45
SBS_set1,Realistic,signeR,seed.310111,3161017.217
SBS_set1,Realistic,signeR,seed.528401,4219074.275
SBS_set1,Moderate,SigProfilerExtractor,seed.1076753,974357.2
SBS_set1,Moderate,SigProfilerExtractor,seed.145879,969703.76
SBS_set1,Moderate,SigProfilerExtractor,seed.200437,978217.84
SBS_set1,Moderate,SigProfilerExtractor,seed.310111,952874.22
SBS_set1,Moderate,SigProfilerExtractor,seed.528401,919379.15
SBS_set1,Noiseless,SigProfilerExtractor,seed.1076753,1251305.66
SBS_set1,Noiseless,SigProfilerExtractor,seed.145879,1247181.47
SBS_set1,Noiseless,SigProfilerExtractor,seed.200437,1296423.41
SBS_set1,Noiseless,SigProfilerExtractor,seed.310111,1280948.73
SBS_set1,Noiseless,SigProfilerExtractor,seed.528401,1292867.39
SBS_set1,Realistic,SigProfilerExtractor,seed.1076753,357324.52
SBS_set1,Realistic,SigProfilerExtractor,seed.145879,393020.23
SBS_set1,Realistic,SigProfilerExtractor,seed.200437,361345.89
SBS_set1,Realistic,SigProfilerExtractor,seed.310111,360435.51
SBS_set1,Realistic,SigProfilerExtractor,seed.528401,359717.25
SBS_set2,Realistic,mSigHdp,seed.1076753,24462112.846
SBS_set2,Realistic,mSigHdp,seed.145879,23800788.824
SBS_set2,Realistic,mSigHdp,seed.200437,25439862.31
SBS_set2,Realistic,mSigHdp,seed.310111,24911450.045
SBS_set2,Realistic,mSigHdp,seed.528401,25037565.107
SBS_set2,Realistic,NR_hdp_gb_20,seed.1076753,31082611.152
SBS_set2,Realistic,NR_hdp_gb_20,seed.145879,30574178.921
SBS_set2,Realistic,NR_hdp_gb_20,seed.200437,31421002.22
SBS_set2,Realistic,NR_hdp_gb_20,seed.310111,30687345.959
SBS_set2,Realistic,NR_hdp_gb_20,seed.528401,31536141.721
SBS_set2,Realistic,SignatureAnalyzer,seed.1076753,6397205.75
SBS_set2,Realistic,SignatureAnalyzer,seed.145879,5310002.954
SBS_set2,Realistic,SignatureAnalyzer,seed.200437,5603919.865
SBS_set2,Realistic,SignatureAnalyzer,seed.310111,6500565.178
SBS_set2,Realistic,SignatureAnalyzer,seed.528401,5898554.229
SBS_set2,Realistic,signeR,seed.1076753,1538994.096
SBS_set2,Realistic,signeR,seed.145879,1656785.884
SBS_set2,Realistic,signeR,seed.200437,1569906.974
SBS_set2,Realistic,signeR,seed.310111,1390289.565
SBS_set2,Realistic,signeR,seed.528401,1442116.337
SBS_set2,Realistic,SigProfilerExtractor,seed.1076753,3848239.21
SBS_set2,Realistic,SigProfilerExtractor,seed.145879,3749668.53
SBS_set2,Realistic,SigProfilerExtractor,seed.200437,3949493.73
SBS_set2,Realistic,SigProfilerExtractor,seed.310111,3846206.98
SBS_set2,Realistic,SigProfilerExtractor,seed.528401,3974440.67
indel_set1,Realistic,mSigHdp_ds_10k,seed.1076753,151107.622
indel_set1,Realistic,mSigHdp_ds_10k,seed.145879,153456.696
indel_set1,Realistic,mSigHdp_ds_10k,seed.200437,151338.397
indel_set1,Realistic,mSigHdp_ds_10k,seed.310111,150500.274
indel_set1,Realistic,mSigHdp_ds_10k,seed.528401,149832.551
