dataset_name,sig_names,sigs_prev_prop,Approach,num_seeds_with_miss,num_seeds_with_hit
SBS_set2,SBS41,0.0203703703703704,SigProfilerExtractor,5,0
SBS_set2,SBS44,0.0194444444444444,mSigHdp,0,5
SBS_set2,SBS44,0.0194444444444444,SigProfilerExtractor,0,5
SBS_set2,SBS30,0.0185185185185185,mSigHdp,0,5
SBS_set2,SBS30,0.0185185185185185,SigProfilerExtractor,5,0
SBS_set2,SBS37,0.0138888888888889,mSigHdp,0,5
SBS_set2,SBS37,0.0138888888888889,SigProfilerExtractor,5,0
SBS_set2,SBS8,0.012037037037037,mSigHdp,0,5
SBS_set2,SBS8,0.012037037037037,SigProfilerExtractor,5,0
SBS_set2,SBS6,0.0111111111111111,mSigHdp,5,0
SBS_set2,SBS6,0.0111111111111111,SigProfilerExtractor,5,0
SBS_set2,SBS28,0.0111111111111111,mSigHdp,0,5
SBS_set2,SBS28,0.0111111111111111,SigProfilerExtractor,5,0
SBS_set2,SBS34,0.00925925925925926,mSigHdp,0,5
SBS_set2,SBS34,0.00925925925925926,SigProfilerExtractor,5,0
SBS_set2,SBS39,0.00925925925925926,mSigHdp,5,0
SBS_set2,SBS39,0.00925925925925926,SigProfilerExtractor,5,0
SBS_set2,SBS38,0.00740740740740741,mSigHdp,5,0
SBS_set2,SBS38,0.00740740740740741,SigProfilerExtractor,5,0
SBS_set2,SBS26,0.00648148148148148,mSigHdp,5,0
SBS_set2,SBS26,0.00648148148148148,SigProfilerExtractor,5,0
SBS_set2,SBS16,0.00555555555555556,mSigHdp,5,0
SBS_set2,SBS16,0.00555555555555556,SigProfilerExtractor,5,0
SBS_set2,SBS22,0.00277777777777778,mSigHdp,0,5
SBS_set2,SBS22,0.00277777777777778,SigProfilerExtractor,4,1
SBS_set2,SBS35,0.00185185185185185,mSigHdp,5,0
SBS_set2,SBS35,0.00185185185185185,SigProfilerExtractor,5,0
