Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15,W.16,W.17
INS,T,1,5+,5.6857579727338e-83,0.9328964031069,0,1.34888741685218e-151,4.99414556739331e-133,2.5141582757377e-144,0,0.0018988234536413,1.37052901267032e-60,4.49249190354633e-203,0,2.07261378350488e-115,2.64635685751058e-90,1.29314969168273e-53,2.75122349050597e-240,8.88791596984292e-292,0
DEL,repeats,2,0,0.000560042466977904,0.000217848646564436,7.0185777026106e-110,0.0178495024800802,1.52209144464133e-151,0.0309905280941607,0,6.98833643605412e-05,0.0512009619254328,0.0745908014398094,0,1.11262204270985e-308,0.00665907989589559,0.00743358852860188,4.3206190592477e-24,3.58394728770809e-216,9.8693518354868e-06
DEL,repeats,2,1,0.000584373211256964,0.00027925649247614,6.24192016155526e-129,0,0.022413879956962,0.00584526832947188,0.000692707271528353,0.00185063623283929,0.0302778645072173,0.241091457257658,0.00468275619857564,0.00859397876154589,0.00875973561998113,0.00654993696605852,0,0.0207655879465198,0
DEL,repeats,2,2,0.00168478443271101,0.000182215182744483,0,0,0.0118337051859007,0.00258673311036847,0.000514716450375323,0.00144777537945366,0.00176592768930707,0.0528075915588528,0.00444394163864974,1.47114969437105e-144,0.0154257977917557,0,0,1.56983498054134e-14,0
DEL,repeats,2,3,0.000203194817652166,0.000256563249645651,0,0,0.00429046574799507,0,0,0.000490273772400362,0,0.00985077861391592,0.000115879593150148,0,0.00748473175820117,0,0,0.0138579896050768,0
DEL,repeats,2,4,0.000204118845476389,0,0,9.12096368046762e-147,0.00663465465304471,0,0,0.000519135841406053,0.00132749855216885,0.00327880869229213,0,0.000970637210151956,0.00279110016937504,0,0,0.0126669283117739,0
DEL,repeats,2,5+,0,0,0,0,0,0,0.00366055842650798,0,0.0623661690340989,0,0,0,0,0,0,0,0
DEL,repeats,3,0,0.000621141629829314,9.3612486282938e-05,0,0.00331627211315069,0,0.0059361865303462,0.000400012479787023,3.12104669714319e-06,0.0400362166176902,0.0039922264570345,0.00149384609246148,0,0.000505247317027792,0.0135257606029899,4.00527157336506e-66,0,7.9337963471469e-260
DEL,repeats,3,1,0.00497859710023935,0.00311469642212092,1.11403137919425e-61,5.50837876682682e-34,0.0501915022724109,0.000806459190568472,0,0.00400156922182145,0.00162890523321586,0.106630173986404,0.00432588664601847,2.35832509084942e-36,3.02013465830785e-262,0,0.00270807067990659,4.09923719433939e-90,7.117364526402e-122
DEL,repeats,3,2,0.000341132132807066,0.000185371960583988,0,0,0.0169262763042454,6.26861632612523e-05,0,0.00176079660248671,0,0.0189790499036828,0.0019170803800434,0.00449670686396764,0,6.1028646795928e-05,0,2.62223557415974e-263,0
