Signature,NumberOfPostSamples
low confidence hdp.221,4
low confidence hdp.222,4
low confidence hdp.223,4
low confidence hdp.224,4
low confidence hdp.225,4
low confidence hdp.226,3
low confidence hdp.227,3
low confidence hdp.228,3
low confidence hdp.229,3
low confidence hdp.230,3
low confidence hdp.231,3
low confidence hdp.232,2
low confidence hdp.233,2
low confidence hdp.234,2
low confidence hdp.235,2
low confidence hdp.236,2
low confidence hdp.237,2
low confidence hdp.238,2
low confidence hdp.239,2
low confidence hdp.240,2
low confidence hdp.241,2
low confidence hdp.242,2
low confidence hdp.243,2
low confidence hdp.244,2
low confidence hdp.245,2
low confidence hdp.246,2
low confidence hdp.247,2
low confidence hdp.248,2
low confidence hdp.249,2
low confidence hdp.250,2
low confidence hdp.251,2
low confidence hdp.252,2
low confidence hdp.253,2
low confidence hdp.254,2
low confidence hdp.255,2
low confidence hdp.256,2
low confidence hdp.257,2
low confidence hdp.258,2
low confidence hdp.259,2
low confidence hdp.260,2
low confidence hdp.261,2
low confidence hdp.262,2
low confidence hdp.263,2
low confidence hdp.264,2
low confidence hdp.265,2
low confidence hdp.266,2
low confidence hdp.267,2
low confidence hdp.268,2
low confidence hdp.269,2
low confidence hdp.270,2
low confidence hdp.271,2
low confidence hdp.272,2
low confidence hdp.273,2
low confidence hdp.274,2
low confidence hdp.275,2
low confidence hdp.276,2
low confidence hdp.277,2
low confidence hdp.278,2
