Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10
DEL,repeats,5+,0,0.0277917283162715,0.0405331002533304,2.30533743084008e-05,0.0169916570076628,0.010395786025631,0.0314044549188881,0.0191566560678184,0.00168703323297124,0.0264143532093342,0.000633312222925903
DEL,repeats,5+,1,0.000587211219134518,0.000829263426936184,0.00177630365720212,0.000217800280989467,0.000712062485318299,0.000271369816295678,0.000282063735749196,0.00031668985210254,0.00501510340020138,0.0576314122862571
DEL,repeats,5+,2,0.000175688004277247,0.000753680388278791,0.00013457407252529,0.000327399900507852,0.000698522694646726,0.000194699094458329,0.000244178994746156,0.000112160989286316,0.00272193146486385,0.000633312222925903
DEL,repeats,5+,3,0.000317625344673761,0.000296215258071563,0.000146043126243719,0.000116200952804096,0.00037764596873124,0.000293957456339046,0.000157754429332971,8.97287914290531e-05,0.000957101917523264,0.00189993666877771
DEL,repeats,5+,4,6.96124919064468e-05,0.000126547082752102,2.03034360873273e-05,5.76195845732874e-05,7.6181713778613e-05,0.00012311854502512,5.32754170355249e-05,5.1132215704056e-05,0.000730274295451276,0.00126662444585181
DEL,repeats,5+,5+,0.000590454862059261,3.61260276916147e-05,4.2689909210378e-05,0.000701030992735167,0.000917443165505181,0.000474340440910734,0.000671862203725787,0.000228940372249128,0.000464720006196267,0
INS,repeats,2,0,0.00662663666427453,0.0013371475312478,0.000557883424915333,0.00551558882996701,0.00539046798736721,0.00692199819807897,0.005480264565721,0.00115459841912384,0.0016707790698961,0.00823305889803673
INS,repeats,2,1,0.0184800963149434,0.00132321796482857,0.000144734023916921,0.0162072350000767,0.0186402135045546,0.0263899988292603,0.0174284607340938,0.00114998002544735,0.0064479900859732,0.00379987333755541
INS,repeats,2,2,0.0077549630218415,0.000323165940926162,0.000804867397237979,0.00537650179785782,0.00590073865267664,0.00742115322945988,0.00950255855190313,0.000589504964278374,0.00156289763988625,0.0107663077897403
INS,repeats,2,3,0.00123136794530558,0.000762159254794844,0.000414680803720327,0.00131869282933888,0.00255983608696787,0.00109820469619306,0.000653807756841526,0.00158905730997702,0.00168184383194839,0.00759974667511083
INS,repeats,2,4,0.000140762917958246,0.000503008756064888,0.00261454081375151,0.000628066587080526,0.000404399290058205,0.000374445807479499,0.000287095302913662,0.000582247488501025,0.00101242572778472,0
INS,repeats,2,5+,0.00119140961996543,0.00169901344148652,0.0213861460450693,0.00571985856359272,0.0014017761595281,0.000872010159984119,0.00241899990795192,0.00124597663686593,0.0016707790698961,0.0994300189993667
INS,repeats,3,0,0.0037799205612274,0.000575836163104564,0.000103097983246355,0.0031036758628194,0.00334237073578159,0.00411572252452191,0.00224378298081286,0.000329555377344206,0.0010456200139416,0.00126662444585181
INS,repeats,3,1,0.00288772301985002,0.000517029167482505,0.000726041323799182,0.00557768945203557,0.00809826299167384,0.00481084919346218,0.00571586029883365,0.000563114143269829,0.00151310621065094,0.0151994933502217
INS,repeats,3,2,0.000655872988114747,0.000863754244656846,0.000111652431784366,0.00111973476454902,0.00287418761255971,0.000634999007416381,0.000734016856933899,0.000198590928089301,0.00122542239729135,0.00253324889170361
INS,repeats,3,3,2.89131619326234e-05,7.4220363681599e-05,0.000161497120378315,5.71605514640162e-05,9.65729647900191e-05,3.53130710537166e-05,0.00013259659351064,9.40172998429416e-05,0.000351306195160273,0
INS,repeats,3,4,5.60367277688369e-05,0.000443535563787997,0.000124150653998706,6.25159377388475e-05,0.000207011980267794,9.22593748250253e-05,4.35082572456787e-05,0.000119088579801059,0.00127798001703973,0.00126662444585181
INS,repeats,3,5+,7.02416467840909e-05,0.000194166043217631,0.0022381862448189,0.00039555538787489,0.000324628716101584,6.74447843548461e-05,0.000443073885012116,0.00015108745027392,0.000686015247242108,0.00253324889170361
INS,repeats,4,0,0.00334615322614054,0.00175724508545214,2.12832044954343e-05,0.0025413821626816,0.00162493801059693,0.00381094845182406,0.00180751651019973,0.000145479400809604,0.00291556480077896,0.000633312222925903
INS,repeats,4,1,0.00278180130089375,0.00148773825690614,0.00130072077856778,0.00305038430470495,0.00261187455954898,0.00363056546725238,0.00324506484654164,0.000382666904623903,0.0028298128948737,0.00949968334388854
INS,repeats,4,2,0.00061694927301783,0.000272837811820158,1.13373201509528e-05,0.000239702717917553,0.000357417847727925,0.000490247229673669,0.000507004385454746,0.000209147256492719,0.000237892384124279,0.000633312222925903
INS,repeats,4,3,4.03218370472369e-05,0.000143868195777755,0.000146388926858345,3.66352138637442e-05,9.62467047738365e-05,7.12624136579506e-05,7.07379148416137e-05,7.48839546117465e-05,0.000295982384898813,0
INS,repeats,4,4,5.00527658214661e-05,0.000155617482235715,0.000353251794536406,5.12805559214462e-05,0.000273569023569024,4.04032434578559e-05,0.000113358248470034,0.000134263301880973,0.000199165716941257,0.000633312222925903
INS,repeats,4,5+,0.00037851355561021,0.00034427226221791,0.00256815413130382,0.000848555490567154,0.000777967008587164,0.000680174287503118,0.000670974280108528,0.000202549551240583,0.00076070239109508,0.00696643445218493
INS,repeats,5+,0,0.00302497665171296,0.00397004755614539,2.71206482042401e-05,0.00372199346100778,0.00445263357085063,0.00298952188010608,0.00517748261223577,0.000190013911261524,0.000995828584706286,0
INS,repeats,5+,1,0.00354354008308675,0.00891095561004506,0.00121446822526249,0.00344379753806991,0.00411397567405319,0.00342536789221051,0.00384086159372226,0.00117571107593068,0.00414375338858338,0.00126662444585181
