Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.967),ID83D (ID8 0.998),ID83E (ID3 0.989),ID83F (ID6 0.998),ID83G (ID9 0.997),ID83H (ID4 0.999),ID83I (ID11 0.993),ID83J (ID14 0.999)
INS,T,1,4,0.00354393,0.0167048,0.01283671,0.00024569,0.00836896,0.00132674,0.00078829,0.00027323,0.04195227,0.0044936
INS,T,1,5+,0.00250206,0.90370459,0.00032232,0.00730099,0.01122005,0.01766874,0.02071774,0.00549706,0.04081305,0.25538521
DEL,repeats,2,0,6.062e-05,6.372e-05,0.03008562,0.00928153,0.00623416,0.00098118,0.01187569,0.07351965,0.00070306,8.182e-05
DEL,repeats,2,1,0.00323417,6.448e-05,0.01669548,0.00958755,0.0102868,0.00088485,0.00061993,0.23385107,0.00191648,0.00535076
DEL,repeats,2,2,0.00174979,4.29e-06,0.00250976,3.297e-05,0.01280803,0.00187904,0.00051548,0.05403469,0.0011879,0.00243415
DEL,repeats,2,3,0.00071322,2.414e-05,0,0,0.00650855,0.00015861,1.14e-06,0.0109381,0.00057674,0.00065406
DEL,repeats,2,4,0.00071994,0,0.00045283,9.9e-07,0.00381531,1.89e-06,0.00012184,0.00256232,0.00100541,3.055e-05
DEL,repeats,2,5+,0,5.4e-07,0.02811163,0.00045848,0.00047643,0,1e-08,0.00037137,0.0036184,0
DEL,repeats,3,0,1.466e-05,2.933e-05,0.01976468,0.01260807,0.00086852,0.00050643,0.00118783,0.00474784,0.00030649,0.00089566
DEL,repeats,3,1,0.00481599,0.00459892,0.00229569,0.00040061,0.0001591,0.00552696,0.00355282,0.09697707,0.00340617,0.00483878
DEL,repeats,3,2,0.00235797,0.00019702,7.952e-05,0,0,0.00078833,0.00025803,0.02068647,0.00322765,0.00117925
DEL,repeats,3,3,0.00043707,2.889e-05,5.072e-05,0,0,3.105e-05,4.306e-05,0.00403158,0.000707,0.00055052
DEL,repeats,3,4,0,8e-08,0.00751349,0.00011384,8.054e-05,1e-08,1.56e-06,2.402e-05,0.00059489,0
DEL,repeats,3,5+,0,2e-07,0.01101997,0.00017868,0.00014822,1e-08,1e-08,9.66e-05,0.00105755,0
DEL,repeats,4,0,6.01e-06,1.16e-06,0.01227971,0.00764328,0.00028208,0.00209434,0.00032171,0.00735522,0.00016916,7.04e-06
DEL,repeats,4,1,0.00206143,0.00040308,0.00022416,0.00123884,0.00039098,0.00276837,0.00359908,0.06391272,0.00079671,0.00024867
DEL,repeats,4,2,0.00035156,0,1.32e-06,2.7e-07,0,0.00024452,0,0.01037834,7.963e-05,0.00047282
DEL,repeats,4,3,1e-07,2e-08,0.00476923,2.727e-05,8.75e-06,1.317e-05,3e-08,0.00329622,6.7e-05,0
DEL,repeats,4,4,0,9e-08,0.00595521,9.195e-05,1.597e-05,2e-08,2.84e-06,2.714e-05,0.00012901,1e-08
DEL,repeats,4,5+,0.00013452,1e-08,0.00150949,4.77e-06,2.9e-07,0,0.00014164,0.00012868,0.00024776,0
DEL,repeats,5+,0,0,0,0.0155231,0.27037916,0.00107892,0.01016916,4.23e-05,0.00193978,0.00075589,0.00153233
DEL,repeats,5+,1,0.00281033,1e-08,2.732e-05,3.909e-05,0,0.00813007,0.00014791,0.01226308,0.00265319,0.00072009
DEL,repeats,5+,2,0.00032341,1e-08,1.244e-05,1.46e-06,0,0.00024788,8.51e-06,0.00188534,0.00043844,4.519e-05
DEL,repeats,5+,3,8.376e-05,2e-08,1e-08,0,0,0,2.6e-06,0.00044096,3.421e-05,7.89e-06
DEL,repeats,5+,4,4.165e-05,2e-08,0,0,0,0,3e-08,2.556e-05,1.67e-06,0
DEL,repeats,5+,5+,1.514e-05,2e-07,0.0001253,1.13e-06,0,5.4e-07,2.599e-05,3.261e-05,4.081e-05,2.376e-05
INS,repeats,2,0,0.00031854,0.00016592,0.00858794,0.00176616,0.00252505,0.00206966,0.0008995,0.00031085,0.00279931,0.02588456
INS,repeats,2,1,0.00019059,1.12e-06,0.02167217,0.0010848,0.00340275,2.604e-05,0.00111062,5.284e-05,0.00106577,1.707e-05
INS,repeats,2,2,0.00098684,4.68e-06,0.00852573,3.567e-05,0.00150301,0.00070242,0.00043026,1.938e-05,0.00185871,0.00171777
INS,repeats,2,3,0.00040717,0.000169,0.00123399,4.22e-06,0.0011189,0.00040356,0.00041323,2.981e-05,0.00066542,0.00100848
INS,repeats,2,4,0.00190119,0.00280344,0,0,2.208e-05,0.00058864,0,2.084e-05,0.0005623,0.00317305
INS,repeats,2,5+,0.01360176,0.01840265,0.00101001,0.00137367,2.79e-06,0.00088197,0.00086468,0.00028308,0.00376523,0.00078176
INS,repeats,3,0,3.568e-05,1e-07,0.00480329,3.26e-05,0.00013297,0.0013566,0.00011591,2.96e-06,0.00041757,0.00721015
INS,repeats,3,1,0.00118102,2.484e-05,0.00794045,6.445e-05,0.00043102,0.00017811,0.00084914,7.684e-05,0.0032591,0.00357359
INS,repeats,3,2,0.00014506,0,0.00078157,2.31e-06,1.31e-05,0.00064649,0.00016639,0.00029312,0.00029591,0.00025465
INS,repeats,3,3,2.764e-05,1.574e-05,0,0,0,2.027e-05,0,0,4.582e-05,0.00020693
INS,repeats,3,4,9.863e-05,5.5e-07,0,0,0,2e-08,1e-08,0,2.106e-05,0.00045076
INS,repeats,3,5+,0.00197215,0.0005795,0,0,0,0.0001238,0,1.801e-05,0.00249139,0.00243995
INS,repeats,4,0,5.63e-06,4e-08,0.00316346,3.085e-05,2.41e-06,0.00158983,9.418e-05,9.76e-06,0.00026498,0.00648929
INS,repeats,4,1,0.001127,0.00058842,0.00451014,0.00087596,0.00025544,0.00064249,0.00174662,0.00128718,0.00515973,0.00223177
INS,repeats,4,2,2.034e-05,7.9e-06,9.29e-06,8.2e-07,0,0.00026535,1.342e-05,5.547e-05,6.095e-05,2.696e-05
INS,repeats,4,3,0.00011166,2.72e-06,0,0,0,1.567e-05,0,0,8.081e-05,0.00082817
INS,repeats,4,4,0.0002456,1.002e-05,0,0,0,3.2e-06,0,2.679e-05,0.00016772,0.00182542
INS,repeats,4,5+,0.00217534,0.00073723,0.00049487,0.00024549,0,0.00022073,0.00047057,5.591e-05,0.00569667,0.00052739
INS,repeats,5+,0,0,6e-08,0.00566236,0.00029108,6.196e-05,0.00903937,0.00025828,2.319e-05,0.00065325,0.0035751
INS,repeats,5+,1,7.845e-05,0.00135687,0.00695829,0.01006296,0.00026012,0.00526416,0.00393765,0.00216604,0.01247412,0.03272114
INS,repeats,5+,2,4.545e-05,4.111e-05,0,5.6e-06,0,0.00127701,2.427e-05,8.238e-05,0.00017901,0.0006989
INS,repeats,5+,3,0.00010204,1.724e-05,1.33e-06,0,0,8.79e-06,3.93e-06,0,0.00017269,1.857e-05
INS,repeats,5+,4,3.99e-05,3.147e-05,0,0,0,9.68e-06,1.28e-06,0,9.276e-05,9.197e-05
INS,repeats,5+,5+,0.00010693,1.26e-06,0.00018241,0,0,6.48e-06,4.477e-05,6.454e-05,0.00018907,1.572e-05
DEL,MH,2,1,4.32e-06,2.522e-05,0.02437836,0.00344041,0.00851031,2.06e-06,0.00069926,0.19258414,0.00044897,0.00166416
DEL,MH,3,1,0,1.68e-06,0.01491806,0.01054097,0.00052338,0.00046855,0.00148924,0.00673665,0.00020177,0.00152423
DEL,MH,3,2,0.00283684,0.00132284,0.00762684,0.00438429,0.00052049,0.00445468,0.00070469,0.05100485,0.0016742,0.003116
DEL,MH,4,1,9.543e-05,4e-08,0.00963306,0.00654787,0.00016694,0.00265689,0.00065457,0.01120474,0.00014704,0
DEL,MH,4,2,0.00039854,0,0.00542031,0.00042333,0.00028452,0.00958114,0.00226692,0.03046628,0.00015452,0.00074277
DEL,MH,4,3,0.00048763,0,0.0017474,0.00019235,0.00015479,0.00513985,0.00094411,0.0499781,0.00040396,0.00198463
DEL,MH,5+,1,0.00044667,1e-08,0.00158857,0.32228717,0.00022596,0.05245728,4e-08,1.871e-05,6.302e-05,0.00162585
DEL,MH,5+,2,1e-07,2e-08,0.00051638,0.12829441,0.00068011,0.26903343,4.8e-07,5e-08,1.577e-05,0.00191404
DEL,MH,5+,3,0,1e-08,0.00242489,0.04119551,0.00034595,0.23490112,2.1e-07,4.515e-05,5.76e-05,0.00024928
DEL,MH,5+,4,0.00028158,2.137e-05,5.95e-05,0.01156907,0.00018872,0.13138218,8.98e-06,0.00294699,6.848e-05,4.7e-07
DEL,MH,5+,5+,0.00224664,0.00031125,0.00020953,0.00883487,0,0.10875209,0.00081049,0.00022609,0.0069218,0.00101941
